geom                     rho0_km    rho/r  arc_min     dv     k arm                         t_1sig     t_D3  db_1h_mrad  db_50h_mrad
A1_leo_5km_box               5.0   0.0007     3000    0.0  0.50 nonlinear                    536.0     53.0      0.2155        4.634
A1_leo_5km_box               5.0   0.0007     3000    0.0  0.50 linear_classical               nan      nan           0            0
A1_leo_5km_box               5.0   0.0007     3000    0.0  0.50 nonlinear_minus_linear       536.0     53.0      0.2155        4.634
A1_leo_5km_box               5.0   0.0007     3000    0.0  2.00 nonlinear                     29.0     29.0      0.4477        9.018
A1_leo_5km_box               5.0   0.0007     3000    0.0  2.00 linear_classical               nan      nan           0            0
A1_leo_5km_box               5.0   0.0007     3000    0.0  2.00 nonlinear_minus_linear        29.0     29.0      0.4477        9.018
A1_leo_5km_box               5.0   0.0007     3000    1.0  0.50 nonlinear                    301.0     53.0      0.2155        1.686
A1_leo_5km_box               5.0   0.0007     3000    1.0  0.50 linear_classical             301.0    301.0           0         6.33
A1_leo_5km_box               5.0   0.0007     3000    1.0  0.50 nonlinear_minus_linear       548.0     53.0      0.2155        4.643
A1_leo_5km_box               5.0   0.0007     3000    1.0  2.00 nonlinear                     29.0     29.0      0.4477        5.791
A1_leo_5km_box               5.0   0.0007     3000    1.0  2.00 linear_classical             301.0    302.0           0        3.232
A1_leo_5km_box               5.0   0.0007     3000    1.0  2.00 nonlinear_minus_linear        29.0     29.0      0.4477        9.023
A1_leo_5km_box               5.0   0.0007     3000   10.0  0.50 nonlinear                    301.0     53.0      0.2155        4.685
A1_leo_5km_box               5.0   0.0007     3000   10.0  0.50 linear_classical             301.0    301.0           0      0.00462
A1_leo_5km_box               5.0   0.0007     3000   10.0  0.50 nonlinear_minus_linear       308.0     53.0      0.2155         4.68
A1_leo_5km_box               5.0   0.0007     3000   10.0  2.00 nonlinear                     29.0     29.0      0.4477        9.116
A1_leo_5km_box               5.0   0.0007     3000   10.0  2.00 linear_classical             301.0    302.0           0     0.008886
A1_leo_5km_box               5.0   0.0007     3000   10.0  2.00 nonlinear_minus_linear        29.0     29.0      0.4477        9.107

A2_leo_10km_drift           10.2   0.0015     3000    0.0  0.50 nonlinear                     75.0     68.0       0.408        22.75
A2_leo_10km_drift           10.2   0.0015     3000    0.0  0.50 linear_classical               nan      nan           0            0
A2_leo_10km_drift           10.2   0.0015     3000    0.0  0.50 nonlinear_minus_linear        75.0     68.0       0.408        22.75
A2_leo_10km_drift           10.2   0.0015     3000    0.0  2.00 nonlinear                     63.0     27.0      0.7823        44.53
A2_leo_10km_drift           10.2   0.0015     3000    0.0  2.00 linear_classical               nan      nan           0            0
A2_leo_10km_drift           10.2   0.0015     3000    0.0  2.00 nonlinear_minus_linear        63.0     27.0      0.7823        44.53
A2_leo_10km_drift           10.2   0.0015     3000    1.0  0.50 nonlinear                     75.0     68.0       0.408        21.43
A2_leo_10km_drift           10.2   0.0015     3000    1.0  0.50 linear_classical             302.0    303.0           0        1.324
A2_leo_10km_drift           10.2   0.0015     3000    1.0  0.50 nonlinear_minus_linear        75.0     68.0       0.408        22.75
A2_leo_10km_drift           10.2   0.0015     3000    1.0  2.00 nonlinear                     63.0     27.0      0.7823        43.87
A2_leo_10km_drift           10.2   0.0015     3000    1.0  2.00 linear_classical             303.0    306.0           0       0.6646
A2_leo_10km_drift           10.2   0.0015     3000    1.0  2.00 nonlinear_minus_linear        63.0     27.0      0.7823        44.53
A2_leo_10km_drift           10.2   0.0015     3000   10.0  0.50 nonlinear                     75.0     68.0       0.408         22.9
A2_leo_10km_drift           10.2   0.0015     3000   10.0  0.50 linear_classical             302.0    303.0           0      0.03555
A2_leo_10km_drift           10.2   0.0015     3000   10.0  0.50 nonlinear_minus_linear        75.0     68.0       0.408        22.86
A2_leo_10km_drift           10.2   0.0015     3000   10.0  2.00 nonlinear                     63.0     27.0      0.7823        44.78
A2_leo_10km_drift           10.2   0.0015     3000   10.0  2.00 linear_classical             302.0    303.0           0      0.06005
A2_leo_10km_drift           10.2   0.0015     3000   10.0  2.00 nonlinear_minus_linear        63.0     27.0      0.7823        44.72

A3_leo_100km               101.6   0.0150     3000    0.0  0.50 nonlinear                      8.0     11.0       3.755        211.5
A3_leo_100km               101.6   0.0150     3000    0.0  0.50 linear_classical               nan      nan           0            0
A3_leo_100km               101.6   0.0150     3000    0.0  0.50 nonlinear_minus_linear         8.0     11.0       3.755        211.5
A3_leo_100km               101.6   0.0150     3000    0.0  2.00 nonlinear                      6.0      8.0       3.985        325.4
A3_leo_100km               101.6   0.0150     3000    0.0  2.00 linear_classical               nan      nan           0            0
A3_leo_100km               101.6   0.0150     3000    0.0  2.00 nonlinear_minus_linear         6.0      8.0       3.985        325.4
A3_leo_100km               101.6   0.0150     3000    1.0  0.50 nonlinear                      8.0     11.0       3.755        211.4
A3_leo_100km               101.6   0.0150     3000    1.0  0.50 linear_classical               nan    320.0           0      0.06425
A3_leo_100km               101.6   0.0150     3000    1.0  0.50 nonlinear_minus_linear         8.0     11.0       3.755        211.5
A3_leo_100km               101.6   0.0150     3000    1.0  2.00 nonlinear                      6.0      8.0       3.985        325.4
A3_leo_100km               101.6   0.0150     3000    1.0  2.00 linear_classical               nan    372.0           0      0.03214
A3_leo_100km               101.6   0.0150     3000    1.0  2.00 nonlinear_minus_linear         6.0      8.0       3.985        325.4
