   sep_km  orbits     dv |   sigLOS_m    sig/rho  sigLOS_RB_m    BO/RB  gain_vs_dv0
      5.0    0.25    0.0 |       0.00   0.00e+00        10.98      0.0          nan
      5.0    0.25    1.0 |     186.45   3.73e-02        11.61     16.1         0.00
      5.0    0.25    5.0 |      39.04   7.81e-03        13.68      2.9         0.00
      5.0    0.25   25.0 |      16.78   3.36e-03        10.85      1.5         0.00

      5.0    0.50    0.0 |        inf        inf         7.69      inf          nan
      5.0    0.50    1.0 |      36.09   7.22e-03         7.76      4.7          inf
      5.0    0.50    5.0 |      11.42   2.28e-03         6.19      1.8          inf
      5.0    0.50   25.0 |       7.54   1.51e-03         4.51      1.7          inf

      5.0    1.00    0.0 |        inf        inf         5.88      inf          nan
      5.0    1.00    1.0 |       9.12   1.82e-03         4.71      1.9          inf
      5.0    1.00    5.0 |       5.21   1.04e-03         3.85      1.4          inf
      5.0    1.00   25.0 |       4.54   9.07e-04         3.47      1.3          inf

      5.0    2.00    0.0 |        inf        inf         4.87      inf          nan
      5.0    2.00    1.0 |       5.53   1.11e-03         4.38      1.3          inf
      5.0    2.00    5.0 |       4.51   9.02e-04         3.80      1.2          inf
      5.0    2.00   25.0 |       4.29   8.57e-04         3.59      1.2          inf

      5.0    3.00    0.0 |        inf        inf         4.53      inf          nan
      5.0    3.00    1.0 |       5.95   1.19e-03         4.24      1.4          inf
      5.0    3.00    5.0 |       5.11   1.02e-03         3.50      1.5          inf
      5.0    3.00   25.0 |       4.82   9.63e-04         3.02      1.6          inf

     10.0    0.25    0.0 |        inf        inf        12.60      inf          nan
     10.0    0.25    1.0 |     754.83   7.55e-02        12.68     59.5          inf
     10.0    0.25    5.0 |     148.62   1.49e-02        13.45     11.0          inf
     10.0    0.25   25.0 |      42.06   4.21e-03        15.03      2.8          inf

     10.0    0.50    0.0 |        inf        inf         8.64      inf          nan
     10.0    0.50    1.0 |     137.16   1.37e-02         8.75     15.7          inf
     10.0    0.50    5.0 |      34.88   3.49e-03         8.53      4.1          inf
     10.0    0.50   25.0 |      16.19   1.62e-03         6.78      2.4          inf

     10.0    1.00    0.0 |        inf        inf         7.27      inf          nan
     10.0    1.00    1.0 |      27.12   2.71e-03         7.11      3.8          inf
     10.0    1.00    5.0 |      12.71   1.27e-03         6.79      1.9          inf
     10.0    1.00   25.0 |       9.09   9.09e-04         6.28      1.4          inf

     10.0    2.00    0.0 |        inf        inf         6.26      inf          nan
     10.0    2.00    1.0 |      13.19   1.32e-03         6.38      2.1          inf
     10.0    2.00    5.0 |       9.67   9.67e-04         6.14      1.6          inf
     10.0    2.00   25.0 |       8.66   8.66e-04         5.50      1.6          inf

     10.0    3.00    0.0 |        inf        inf         5.58      inf          nan
     10.0    3.00    1.0 |      13.67   1.37e-03         5.67      2.4          inf
     10.0    3.00    5.0 |      10.75   1.07e-03         5.32      2.0          inf
     10.0    3.00   25.0 |       9.88   9.88e-04         4.37      2.3          inf

     50.0    0.25    0.0 |        inf        inf        19.06      inf          nan
     50.0    0.25    1.0 |   19436.29   3.89e-01        19.04   1020.7          inf
     50.0    0.25    5.0 |    3848.27   7.70e-02        18.99    202.7          inf
     50.0    0.25   25.0 |     756.76   1.51e-02        18.79     40.3          inf

     50.0    0.50    0.0 |        inf        inf        15.68      inf          nan
     50.0    0.50    1.0 |    3426.82   6.85e-02        15.67    218.6          inf
