control: RK4(h=15 s, J2 off) vs oracle over 1 orbit = 1.20e-08 rel   |   J2-STM symplecticity = 1.68e-09

   i_t      da_m       dI    dv   ax   J2  orb |      sig_rng    /box  sig_plane    J2 gain
-- i_t = 51.6 deg, RAAN rate = -4.770 deg/day --
  51.6       0.0   0.0000   0.0    -    0  1.0 |          inf     inf        inf        inf
  51.6       0.0   0.0000   0.0    -    1  1.0 |    235056.31  47.011      0.812        inf

  51.6       0.0   1.0000   0.0    -    0  1.0 |        67.31   0.013      3.389          1
  51.6       0.0   1.0000   0.0    -    1  1.0 |        67.85   0.014      3.469      0.984

  51.6     601.4   0.0000   0.0    -    0  1.0 |      2353.05   0.471      1.051          1
  51.6     601.4   0.0000   0.0    -    1  1.0 |      2365.07   0.473      1.048       0.99

  51.6     601.4   1.0000   0.0    -    0  1.0 |        68.36   0.014      3.752          1
  51.6     601.4   1.0000   0.0    -    1  1.0 |        68.08   0.014      3.850       1.01

  51.6   30070.4   0.0000   0.0    -    0  1.0 |       416.16   0.083     11.012          1
  51.6   30070.4   0.0000   0.0    -    1  1.0 |       414.99   0.083     11.016       1.01

  51.6   30070.4   1.0000   0.0    -    0  1.0 |       231.27   0.046     18.488          1
  51.6   30070.4   1.0000   0.0    -    1  1.0 |       229.45   0.046     18.520       1.02

wrote /Users/pete/space_training/web_data/results/j2_n3d_observability.csv (12 rows) in 2.0 s
