control: RK4(h=15 s, J2 off) vs oracle over 1 orbit = 1.20e-08 rel   |   J2-STM symplecticity = 1.68e-09

   i_t      da_m       dI    dv   ax   J2  orb |      sig_rng    /box  sig_plane    J2 gain
-- i_t = 51.6 deg, RAAN rate = -4.770 deg/day --
  51.6       0.0   0.0000   0.0    -    0  1.0 |          inf     inf        inf        inf
  51.6       0.0   0.0000   0.0    -    0  3.0 |    285574.14  57.115      0.419          1
  51.6       0.0   0.0000   0.0    -    1  1.0 |    235056.31  47.011      0.812        inf
  51.6       0.0   0.0000   0.0    -    1  3.0 |     19524.74   3.905      0.418        214

  51.6       0.0   0.0000   1.0  nor    0  1.0 |         9.31   0.002      0.805          1
  51.6       0.0   0.0000   1.0  nor    0  3.0 |         7.47   0.001      0.677          1
  51.6       0.0   0.0000   1.0  nor    1  1.0 |         9.26   0.002      0.801       1.01
  51.6       0.0   0.0000   1.0  nor    1  3.0 |         7.39   0.001      0.674       1.02

  51.6       0.0   0.0417   0.0    -    0  1.0 |      1718.16   0.344      0.926          1
  51.6       0.0   0.0417   0.0    -    0  3.0 |       683.73   0.137      0.502          1
  51.6       0.0   0.0417   0.0    -    1  1.0 |      1717.01   0.343      0.924          1
  51.6       0.0   0.0417   0.0    -    1  3.0 |       682.82   0.137      0.504          1

  51.6       0.0   0.0417   1.0  nor    0  1.0 |        14.70   0.003      1.042          1
  51.6       0.0   0.0417   1.0  nor    0  3.0 |         9.20   0.002      0.949          1
  51.6       0.0   0.0417   1.0  nor    1  1.0 |        14.68   0.003      1.043          1
  51.6       0.0   0.0417   1.0  nor    1  3.0 |         9.20   0.002      0.951          1

  51.6       0.0   1.0000   0.0    -    0  1.0 |        67.31   0.013      3.389          1
  51.6       0.0   1.0000   0.0    -    0  3.0 |        36.43   0.007      1.994          1
  51.6       0.0   1.0000   0.0    -    1  1.0 |        67.85   0.014      3.469      0.984
  51.6       0.0   1.0000   0.0    -    1  3.0 |        36.70   0.007      2.414      0.985

  51.6       0.0   1.0000   1.0  nor    0  1.0 |        53.46   0.011      3.397          1
  51.6       0.0   1.0000   1.0  nor    0  3.0 |        27.25   0.005      2.672          1
  51.6       0.0   1.0000   1.0  nor    1  1.0 |        54.08   0.011      3.469      0.977
  51.6       0.0   1.0000   1.0  nor    1  3.0 |        30.91   0.006      2.707      0.777

  51.6     601.4   0.0000   0.0    -    0  1.0 |      2353.05   0.471      1.051          1
  51.6     601.4   0.0000   0.0    -    0  3.0 |       343.29   0.069      0.874          1
  51.6     601.4   0.0000   0.0    -    1  1.0 |      2365.07   0.473      1.048       0.99
  51.6     601.4   0.0000   0.0    -    1  3.0 |       346.80   0.069      0.871       0.98

  51.6     601.4   0.0000   1.0  nor    0  1.0 |        14.65   0.003      1.112          1
  51.6     601.4   0.0000   1.0  nor    0  3.0 |        11.57   0.002      1.033          1
  51.6     601.4   0.0000   1.0  nor    1  1.0 |        14.59   0.003      1.111       1.01
  51.6     601.4   0.0000   1.0  nor    1  3.0 |        11.54   0.002      1.032          1

  51.6     601.4   0.0417   0.0    -    0  1.0 |      1197.28   0.239      1.218          1
  51.6     601.4   0.0417   0.0    -    0  3.0 |       285.47   0.057      0.979          1
  51.6     601.4   0.0417   0.0    -    1  1.0 |      1194.32   0.239      1.219          1
  51.6     601.4   0.0417   0.0    -    1  3.0 |       284.86   0.057      0.982          1

  51.6     601.4   0.0417   1.0  nor    0  1.0 |        20.16   0.004      1.303          1
  51.6     601.4   0.0417   1.0  nor    0  3.0 |        14.39   0.003      1.245          1
  51.6     601.4   0.0417   1.0  nor    1  1.0 |        20.17   0.004      1.305      0.999
  51.6     601.4   0.0417   1.0  nor    1  3.0 |        14.41   0.003      1.248      0.998

  51.6     601.4   1.0000   0.0    -    0  1.0 |        68.36   0.014      3.752          1
  51.6     601.4   1.0000   0.0    -    0  3.0 |        36.93   0.007      3.011          1
  51.6     601.4   1.0000   0.0    -    1  1.0 |        68.08   0.014      3.850       1.01
