   sep_km     dI     dv   ax   orb |     sig_rng   sig_inpl  sig_plane   pl/rng   rng/rho
      5.0  0.000    0.0    -  1.00 |   681894.96      1.266      0.731   0.0000  1.36e+02
      5.0  0.000    0.0    -  3.00 |   220930.05      0.856      0.424   0.0000  4.42e+01
      5.0  0.000    1.0  pro  1.00 |        9.12      1.946      0.840   0.0921  1.82e-03
      5.0  0.000    1.0  pro  3.00 |        5.95      0.728      0.616   0.1036  1.19e-03
      5.0  0.000    1.0  nor  1.00 |        9.55      0.891      1.091   0.1143  1.91e-03
      5.0  0.000    1.0  nor  3.00 |        7.36      0.501      0.462   0.0628  1.47e-03
      5.0  0.000    5.0  pro  1.00 |        5.21      2.025      0.841   0.1612  1.04e-03
      5.0  0.000    5.0  pro  3.00 |        5.11      0.735      0.637   0.1249  1.02e-03
      5.0  0.000    5.0  nor  1.00 |        4.54      0.899      1.132   0.2493  9.08e-04
      5.0  0.000    5.0  nor  3.00 |        3.42      0.427      0.496   0.1452  6.83e-04
      5.0  0.000   25.0  pro  1.00 |        4.54      2.086      0.910   0.2006  9.07e-04
      5.0  0.000   25.0  pro  3.00 |        4.82      0.697      0.574   0.1192  9.63e-04
      5.0  0.000   25.0  nor  1.00 |        4.75      1.110      1.294   0.2722  9.51e-04
      5.0  0.000   25.0  nor  3.00 |        4.19      0.572      0.621   0.1482  8.37e-04
      5.0  0.010    0.0    -  1.00 |     4063.87      0.900      0.781   0.0002  8.13e-01
      5.0  0.010    0.0    -  3.00 |     1011.81      0.497      0.431   0.0004  2.02e-01
      5.0  0.010    1.0  pro  1.00 |        9.05      1.943      0.861   0.0952  1.81e-03
      5.0  0.010    1.0  pro  3.00 |        5.29      0.668      0.626   0.1183  1.06e-03
      5.0  0.010    1.0  nor  1.00 |        8.95      0.897      1.162   0.1298  1.79e-03
      5.0  0.010    1.0  nor  3.00 |        9.32      0.458      0.480   0.0515  1.86e-03
      5.0  0.010    5.0  pro  1.00 |        5.19      2.019      0.873   0.1681  1.04e-03
      5.0  0.010    5.0  pro  3.00 |        4.47      0.684      0.650   0.1453  8.94e-04
      5.0  0.010    5.0  nor  1.00 |        3.99      0.915      1.171   0.2933  7.98e-04
      5.0  0.010    5.0  nor  3.00 |        3.84      0.421      0.512   0.1335  7.68e-04
      5.0  0.010   25.0  pro  1.00 |        4.58      2.084      1.054   0.2299  9.17e-04
      5.0  0.010   25.0  pro  3.00 |        4.27      0.659      0.610   0.1429  8.55e-04
      5.0  0.010   25.0  nor  1.00 |        4.74      1.125      1.318   0.2784  9.47e-04
      5.0  0.010   25.0  nor  3.00 |        4.42      0.572      0.630   0.1426  8.83e-04
      5.0  0.050    0.0    -  1.00 |     1532.11      1.032      0.979   0.0006  3.06e-01
      5.0  0.050    0.0    -  3.00 |      634.17      0.408      0.531   0.0008  1.27e-01
      5.0  0.050    1.0  pro  1.00 |        8.84      1.994      1.123   0.1270  1.77e-03
      5.0  0.050    1.0  pro  3.00 |        3.17      0.522      0.767   0.2423  6.33e-04
      5.0  0.050    1.0  nor  1.00 |       13.57      1.000      1.910   0.1408  2.71e-03
      5.0  0.050    1.0  nor  3.00 |       15.81      0.395      0.673   0.0425  3.16e-03
      5.0  0.050    5.0  pro  1.00 |        5.04      2.043      1.223   0.2425  1.01e-03
      5.0  0.050    5.0  pro  3.00 |        3.35      0.562      0.817   0.2436  6.70e-04
      5.0  0.050    5.0  nor  1.00 |        3.25      1.021      1.930   0.5937  6.50e-04
      5.0  0.050    5.0  nor  3.00 |        5.31      0.425      0.692   0.1302  1.06e-03
      5.0  0.050   25.0  pro  1.00 |        5.23      2.125      1.908   0.3646  1.05e-03
      5.0  0.050   25.0  pro  3.00 |        3.40      0.646      0.823   0.2422  6.80e-04
      5.0  0.050   25.0  nor  1.00 |        4.00      1.202      1.999   0.4995  8.01e-04
      5.0  0.050   25.0  nor  3.00 |        4.45      0.553      0.765   0.1719  8.90e-04
      5.0  0.250    0.0    -  1.00 |      301.63      1.592      1.902   0.0063  6.03e-02
      5.0  0.250    0.0    -  3.00 |      157.44      0.661      1.057   0.0067  3.15e-02
