LEO 500 km, rho0 = 5 km, i_t = 51.6 deg, sigma_beta = 1 mrad, 60 s cadence
box: 5 km / 1 m/s   plane box: 0.0417 deg pos (5.00 km) / 0.0075 deg vel

 v_tol      da_m   dI_deg    dv      axis  orb |     sig_rng    /box  sig_vrng   /vbox sig_plane  /plbox       gain
   0.0       0.0   0.0000   0.0         -  1.0 |         inf     inf       inf     inf       inf     inf        inf
   0.0       0.0   0.0000   0.0         -  3.0 |   300531.80  60.106    0.1814   0.181     0.419  0.0001          1
   0.0       0.0   0.0000   1.0       pro  1.0 |       19.08   0.004    0.0013   0.001     0.975  0.0002        inf
   0.0       0.0   0.0000   1.0       pro  3.0 |        5.57   0.001    0.0011   0.001     0.739  0.0001   2.91e+09
   0.0       0.0   0.0000   1.0       rad  1.0 |       17.03   0.003    0.0021   0.002     0.918  0.0002        inf
   0.0       0.0   0.0000   1.0       rad  3.0 |       10.46   0.002    0.0009   0.001     0.506  0.0001   8.26e+08
   0.0       0.0   0.0000   1.0       nor  1.0 |       12.47   0.002    0.0009   0.001     1.763  0.0004        inf
   0.0       0.0   0.0000   1.0       nor  3.0 |        7.47   0.001    0.0005   0.000     0.677  0.0001   1.62e+09
   0.0       0.0   0.0000   1.0  perp_los  1.0 |       11.18   0.002    0.0020   0.002     0.415  0.0001        inf
   0.0       0.0   0.0000   1.0  perp_los  3.0 |        2.77   0.001    0.0007   0.001     0.226  0.0000   1.17e+10
   0.0       0.0   0.0075   0.0         -  1.0 |     5069.86   1.014    0.0035   0.003     0.767  0.0002          1
   0.0       0.0   0.0075   0.0         -  3.0 |     1142.88   0.229    0.0008   0.001     0.424  0.0001          1
   0.0       0.0   0.0075   1.0       pro  1.0 |       19.02   0.004    0.0013   0.001     0.992  0.0002   7.11e+04
   0.0       0.0   0.0075   1.0       pro  3.0 |        5.31   0.001    0.0011   0.001     0.747  0.0001   4.63e+04
   0.0       0.0   0.0075   1.0       rad  1.0 |       16.94   0.003    0.0021   0.002     0.928  0.0002   8.96e+04
   0.0       0.0   0.0075   1.0       rad  3.0 |        9.37   0.002    0.0009   0.001     0.510  0.0001   1.49e+04
   0.0       0.0   0.0075   1.0       nor  1.0 |       12.23   0.002    0.0008   0.001     1.782  0.0004   1.72e+05
   0.0       0.0   0.0075   1.0       nor  3.0 |        6.54   0.001    0.0005   0.000     0.716  0.0001   3.05e+04
   0.0       0.0   0.0075   1.0  perp_los  1.0 |       11.18   0.002    0.0020   0.002     0.456  0.0001   2.06e+05
   0.0       0.0   0.0075   1.0  perp_los  3.0 |        2.43   0.000    0.0006   0.001     0.241  0.0000   2.21e+05
   0.0       0.0   0.0417   0.0         -  1.0 |     1718.09   0.344    0.0029   0.003     0.926  0.0002          1
   0.0       0.0   0.0417   0.0         -  3.0 |      683.84   0.137    0.0009   0.001     0.502  0.0001          1
   0.0       0.0   0.0417   1.0       pro  1.0 |       18.17   0.004    0.0014   0.001     1.292  0.0003   8.94e+03
   0.0       0.0   0.0417   1.0       pro  3.0 |        3.51   0.001    0.0011   0.001     0.894  0.0002    3.8e+04
   0.0       0.0   0.0417   1.0       rad  1.0 |       16.92   0.003    0.0022   0.002     1.110  0.0002   1.03e+04
   0.0       0.0   0.0417   1.0       rad  3.0 |        6.22   0.001    0.0006   0.001     0.592  0.0001   1.21e+04
   0.0       0.0   0.0417   1.0       nor  1.0 |       13.71   0.003    0.0009   0.001     2.144  0.0004   1.57e+04
   0.0       0.0   0.0417   1.0       nor  3.0 |        9.20   0.002    0.0004   0.000     0.949  0.0002   5.52e+03
   0.0       0.0   0.0417   1.0  perp_los  1.0 |       12.24   0.002    0.0021   0.002     0.718  0.0001   1.97e+04
   0.0       0.0   0.0417   1.0  perp_los  3.0 |        1.89   0.000    0.0004   0.000     0.350  0.0001   1.31e+05
   0.0       0.0   0.1000   0.0         -  1.0 |      824.66   0.165    0.0048   0.005     1.261  0.0003          1
   0.0       0.0   0.1000   0.0         -  3.0 |      393.55   0.079    0.0021   0.002     0.693  0.0001          1
   0.0       0.0   0.1000   1.0       pro  1.0 |       18.59   0.004    0.0016   0.002     1.702  0.0003   1.97e+03
   0.0       0.0   0.1000   1.0       pro  3.0 |        2.89   0.001    0.0013   0.001     1.172  0.0002   1.85e+04
   0.0       0.0   0.1000   1.0       rad  1.0 |       18.79   0.004    0.0026   0.003     1.466  0.0003   1.93e+03
   0.0       0.0   0.1000   1.0       rad  3.0 |        6.56   0.001    0.0007   0.001     0.775  0.0002    3.6e+03
   0.0       0.0   0.1000   1.0       nor  1.0 |       17.68   0.004    0.0011   0.001     2.814  0.0006   2.18e+03
   0.0       0.0   0.1000   1.0       nor  3.0 |       14.11   0.003    0.0004   0.000     1.357  0.0003        778
   0.0       0.0   0.1000   1.0  perp_los  1.0 |       14.96   0.003    0.0023   0.002     1.036  0.0002   3.04e+03
   0.0       0.0   0.1000   1.0  perp_los  3.0 |        2.37   0.000    0.0005   0.001     0.504  0.0001   2.76e+04
   0.0       0.0   0.2500   0.0         -  1.0 |      297.82   0.060    0.0093   0.009     1.904  0.0004          1
   0.0       0.0   0.2500   0.0         -  3.0 |      155.58   0.031    0.0046   0.005     1.057  0.0002          1
   0.0       0.0   0.2500   1.0       pro  1.0 |       22.19   0.004    0.0025   0.003     2.388  0.0005        180
   0.0       0.0   0.2500   1.0       pro  3.0 |        3.40   0.001    0.0016   0.002     1.664  0.0003   2.09e+03
   0.0       0.0   0.2500   1.0       rad  1.0 |       23.55   0.005    0.0037   0.004     2.152  0.0004        160
   0.0       0.0   0.2500   1.0       rad  3.0 |        9.48   0.002    0.0009   0.001     1.158  0.0002        270
   0.0       0.0   0.2500   1.0       nor  1.0 |       24.48   0.005    0.0017   0.002     3.807  0.0008        148
   0.0       0.0   0.2500   1.0       nor  3.0 |       21.86   0.004    0.0010   0.001     2.016  0.0004       50.7
   0.0       0.0   0.2500   1.0  perp_los  1.0 |       20.92   0.004    0.0026   0.003     1.578  0.0003        203
   0.0       0.0   0.2500   1.0  perp_los  3.0 |        3.56   0.001    0.0009   0.001     0.773  0.0002   1.91e+03
   0.0       0.0   1.0000   0.0         -  1.0 |       67.31   0.013    0.0306   0.031     3.389  0.0007          1
   0.0       0.0   1.0000   0.0         -  3.0 |       36.43   0.007    0.0167   0.017     1.994  0.0004          1
   0.0       0.0   1.0000   1.0       pro  1.0 |       34.79   0.007    0.0171   0.017     3.740  0.0007       3.74
   0.0       0.0   1.0000   1.0       pro  3.0 |        6.08   0.001    0.0022   0.002     2.892  0.0006         36
   0.0       0.0   1.0000   1.0       rad  1.0 |       32.72   0.007    0.0180   0.018     3.637  0.0007       4.23
   0.0       0.0   1.0000   1.0       rad  3.0 |       18.93   0.004    0.0054   0.005     2.165  0.0004        3.7
   0.0       0.0   1.0000   1.0       nor  1.0 |       34.85   0.007    0.0163   0.016     4.553  0.0009       3.73
   0.0       0.0   1.0000   1.0       nor  3.0 |       27.25   0.005    0.0124   0.012     2.672  0.0005       1.79
   0.0       0.0   1.0000   1.0  perp_los  1.0 |       38.37   0.008    0.0129   0.013     3.307  0.0007       3.08
   0.0       0.0   1.0000   1.0  perp_los  3.0 |        9.08   0.002    0.0077   0.008     1.075  0.0002       16.1

   0.1      60.1   0.0000   0.0         -  1.0 |    22920.20   4.584    0.4437   0.444     0.763  0.0002          1
   0.1      60.1   0.0000   0.0         -  3.0 |     2938.71   0.588    0.0567   0.057     0.485  0.0001          1
   0.1      60.1   0.0000   1.0       pro  1.0 |       19.56   0.004    0.0013   0.001     1.000  0.0002   1.37e+06
   0.1      60.1   0.0000   1.0       pro  3.0 |        5.77   0.001    0.0012   0.001     0.772  0.0002    2.6e+05
   0.1      60.1   0.0000   1.0       rad  1.0 |       17.29   0.003    0.0018   0.002     0.948  0.0002   1.76e+06
   0.1      60.1   0.0000   1.0       rad  3.0 |       10.70   0.002    0.0011   0.001     0.566  0.0001   7.54e+04
   0.1      60.1   0.0000   1.0       nor  1.0 |       12.73   0.003    0.0009   0.001     1.778  0.0004   3.24e+06
   0.1      60.1   0.0000   1.0       nor  3.0 |        8.06   0.002    0.0006   0.001     0.720  0.0001   1.33e+05
   0.1      60.1   0.0000   1.0  perp_los  1.0 |       11.72   0.002    0.0022   0.002     0.460  0.0001   3.83e+06
   0.1      60.1   0.0000   1.0  perp_los  3.0 |        3.81   0.001    0.0007   0.001     0.299  0.0001   5.93e+05
   0.1      60.1   0.0075   0.0         -  1.0 |     4911.70   0.982    0.0948   0.095     0.796  0.0002          1
   0.1      60.1   0.0075   0.0         -  3.0 |     1023.80   0.205    0.0198   0.020     0.489  0.0001          1
   0.1      60.1   0.0075   1.0       pro  1.0 |       19.49   0.004    0.0013   0.001     1.017  0.0002   6.35e+04
   0.1      60.1   0.0075   1.0       pro  3.0 |        5.52   0.001    0.0012   0.001     0.779  0.0002   3.44e+04
   0.1      60.1   0.0075   1.0       rad  1.0 |       17.21   0.003    0.0018   0.002     0.958  0.0002   8.15e+04
   0.1      60.1   0.0075   1.0       rad  3.0 |        9.82   0.002    0.0010   0.001     0.570  0.0001   1.09e+04
   0.1      60.1   0.0075   1.0       nor  1.0 |       12.50   0.003    0.0009   0.001     1.796  0.0004   1.54e+05
   0.1      60.1   0.0075   1.0       nor  3.0 |        7.01   0.001    0.0006   0.001     0.754  0.0002   2.13e+04
   0.1      60.1   0.0075   1.0  perp_los  1.0 |       11.71   0.002    0.0022   0.002     0.493  0.0001   1.76e+05
   0.1      60.1   0.0075   1.0  perp_los  3.0 |        3.33   0.001    0.0007   0.001     0.310  0.0001   9.44e+04
   0.1      60.1   0.0417   0.0         -  1.0 |     1675.64   0.335    0.0307   0.031     0.950  0.0002          1
