cls,nav_seed,component,block,z,rho
E3-ecc,20260815,range,pos,1.4594111889563595,1376403.721306393
E3-ecc,20260815,range,vel,0.2367023315144034,1376403.721306393
E3-ecc,20260815,range,pos,-0.8971797763351813,337491.6108708506
E3-ecc,20260815,range,vel,0.6572683173990495,337491.6108708506
E3-ecc,20260815,range,pos,-1.0349698394580675,987657.1436506076
E3-ecc,20260815,range,vel,0.021570163097432694,987657.1436506076
E3-ecc,20260815,range,pos,2.4329482936145657,66933.12841705774
E3-ecc,20260815,range,vel,-1.0415842603240817,66933.12841705774
E3-ecc,20260815,range,pos,1.7463864136078087,1676264.1445155798
E3-ecc,20260815,range,vel,-0.964818411424538,1676264.1445155798
E3-ecc,20260815,range,pos,-0.4391704307601099,2377172.7978204223
E3-ecc,20260815,range,vel,-1.02971571696554,2377172.7978204223
E3-ecc,20260815,range,pos,0.850208897984234,170594.0581655548
E3-ecc,20260815,range,vel,0.5130142562416925,170594.0581655548
E3-ecc,20260815,range,pos,-1.335013281627249,77312.69130176166
E3-ecc,20260815,range,vel,1.3072397127492827,77312.69130176166
E3-ecc,20260815,inplane,pos,2.292157256358493,1376403.721306393
E3-ecc,20260815,inplane,vel,1.9124741314417206,1376403.721306393
E3-ecc,20260815,inplane,pos,0.33994445914594845,337491.6108708506
E3-ecc,20260815,inplane,vel,-0.09554899796789947,337491.6108708506
E3-ecc,20260815,inplane,pos,-4.446340772323795,987657.1436506076
E3-ecc,20260815,inplane,vel,-2.522426414371083,987657.1436506076
E3-ecc,20260815,inplane,pos,-0.10420971215961675,66933.12841705774
E3-ecc,20260815,inplane,vel,1.6490149130861431,66933.12841705774
E3-ecc,20260815,inplane,pos,1.3659628220666127,1676264.1445155798
E3-ecc,20260815,inplane,vel,1.6530663113805786,1676264.1445155798
E3-ecc,20260815,inplane,pos,-1.6410757054938876,2377172.7978204223
E3-ecc,20260815,inplane,vel,-0.5318053420959867,2377172.7978204223
E3-ecc,20260815,inplane,pos,0.5890666089274985,170594.0581655548
E3-ecc,20260815,inplane,vel,1.2034780706737784,170594.0581655548
E3-ecc,20260815,inplane,pos,-0.3621338472794576,77312.69130176166
E3-ecc,20260815,inplane,vel,-1.4905830195136516,77312.69130176166
E3-ecc,20260815,plane,pos,-0.4385622789768061,1376403.721306393
E3-ecc,20260815,plane,vel,0.36363496611417734,1376403.721306393
E3-ecc,20260815,plane,pos,-0.5546705003057361,337491.6108708506
E3-ecc,20260815,plane,vel,1.4966386653973214,337491.6108708506
E3-ecc,20260815,plane,pos,-1.543743266429202,987657.1436506076
E3-ecc,20260815,plane,vel,-1.4031866672791657,987657.1436506076
E3-ecc,20260815,plane,pos,1.8379219421006863,66933.12841705774
E3-ecc,20260815,plane,vel,-1.8803687375679607,66933.12841705774
E3-ecc,20260815,plane,pos,0.7661108835696914,1676264.1445155798
E3-ecc,20260815,plane,vel,2.2453005816112266,1676264.1445155798
E3-ecc,20260815,plane,pos,-0.5319650950343138,2377172.7978204223
E3-ecc,20260815,plane,vel,-0.4496745749797146,2377172.7978204223
E3-ecc,20260815,plane,pos,-1.8138877553504513,170594.0581655548
E3-ecc,20260815,plane,vel,-1.6644140616093432,170594.0581655548
E3-ecc,20260815,plane,pos,-1.3841807438494222,77312.69130176166
E3-ecc,20260815,plane,vel,1.0354895838116553,77312.69130176166
E3-ecc,20260815,range,pos,0.15596460134612683,134250.5128448466
E3-ecc,20260815,range,vel,0.23642802993290213,134250.5128448466
E3-ecc,20260815,range,pos,0.843080328495619,217893.44909852263
E3-ecc,20260815,range,vel,-1.90264168526388,217893.44909852263
E3-ecc,20260815,range,pos,1.817553892362391,6762140.323194665
E3-ecc,20260815,range,vel,1.6862456137711772,6762140.323194665
E3-ecc,20260815,range,pos,-0.035836361747510564,4158976.580563835
E3-ecc,20260815,range,vel,0.0875206063132649,4158976.580563835
E3-ecc,20260815,range,pos,-0.32966013414993206,272774.14663419884
E3-ecc,20260815,range,vel,-1.6384855679765475,272774.14663419884
E3-ecc,20260815,range,pos,1.6070633078697447,342966.01207345957
E3-ecc,20260815,range,vel,-2.2789929650461374,342966.01207345957
E3-ecc,20260815,range,pos,0.8089592516374874,2733096.2087535798
E3-ecc,20260815,range,vel,0.5576778444716751,2733096.2087535798
E3-ecc,20260815,inplane,pos,-0.15090196163939287,134250.5128448466
E3-ecc,20260815,inplane,vel,0.0619247684320087,134250.5128448466
E3-ecc,20260815,inplane,pos,-1.0914228905757002,217893.44909852263
E3-ecc,20260815,inplane,vel,0.822278263945011,217893.44909852263
E3-ecc,20260815,inplane,pos,-1.0287309532907842,6762140.323194665
E3-ecc,20260815,inplane,vel,1.9249951421135123,6762140.323194665
E3-ecc,20260815,inplane,pos,-0.028438693457526237,4158976.580563835
E3-ecc,20260815,inplane,vel,-0.11182647229034029,4158976.580563835
E3-ecc,20260815,inplane,pos,-1.3943848502928344,272774.14663419884
E3-ecc,20260815,inplane,vel,-0.588715962994683,272774.14663419884
E3-ecc,20260815,inplane,pos,-2.230454651652843,342966.01207345957
E3-ecc,20260815,inplane,vel,1.3035860587925436,342966.01207345957
E3-ecc,20260815,inplane,pos,-0.5725690923663855,2733096.2087535798
E3-ecc,20260815,inplane,vel,0.752823700987508,2733096.2087535798
E3-ecc,20260815,plane,pos,0.5896856901708213,134250.5128448466
E3-ecc,20260815,plane,vel,0.6229002011962174,134250.5128448466
E3-ecc,20260815,plane,pos,-1.1688461118139113,217893.44909852263
E3-ecc,20260815,plane,vel,-0.1745236919442383,217893.44909852263
E3-ecc,20260815,plane,pos,-0.030276662094003884,6762140.323194665
E3-ecc,20260815,plane,vel,0.3605887340619446,6762140.323194665
E3-ecc,20260815,plane,pos,0.36447184496475227,4158976.580563835
E3-ecc,20260815,plane,vel,-0.29038751370554683,4158976.580563835
E3-ecc,20260815,plane,pos,-0.9649609713099521,272774.14663419884
E3-ecc,20260815,plane,vel,0.4065479737733078,272774.14663419884
E3-ecc,20260815,plane,pos,0.7308249489057377,342966.01207345957
E3-ecc,20260815,plane,vel,0.7112941836609183,342966.01207345957
E3-ecc,20260815,plane,pos,0.8496231491494567,2733096.2087535798
E3-ecc,20260815,plane,vel,-1.3020976433696472,2733096.2087535798
E3-ecc,20260815,range,pos,-1.7009659574428808,58241.586348766046
E3-ecc,20260815,range,vel,-0.9936577045889275,58241.586348766046
E3-ecc,20260815,range,pos,-1.030699726121933,452067.5323909479
E3-ecc,20260815,range,vel,1.7040179018000214,452067.5323909479
E3-ecc,20260815,range,pos,0.6438503915360299,554108.241410419
E3-ecc,20260815,range,vel,-1.2934775537327108,554108.241410419
E3-ecc,20260815,range,pos,-22.20673045530548,262505.5866528508
E3-ecc,20260815,range,vel,-17.543025412502733,262505.5866528508
E3-ecc,20260815,range,pos,-0.22219605231246245,287141.89795757027
E3-ecc,20260815,range,vel,0.039418227180705076,287141.89795757027
E3-ecc,20260815,range,pos,5.651477964661998,4031946.8836531052
E3-ecc,20260815,range,vel,-0.31512433859653993,4031946.8836531052
E3-ecc,20260815,range,pos,-0.1658049949335851,144489.73886988487
E3-ecc,20260815,range,vel,0.5020157304409595,144489.73886988487
E3-ecc,20260815,inplane,pos,-0.3256550808299602,58241.586348766046
E3-ecc,20260815,inplane,vel,-0.4319854791820165,58241.586348766046
E3-ecc,20260815,inplane,pos,-0.9018677226557834,452067.5323909479
E3-ecc,20260815,inplane,vel,-0.07351691774695225,452067.5323909479
E3-ecc,20260815,inplane,pos,-0.8451085306780293,554108.241410419
E3-ecc,20260815,inplane,vel,0.40173584193527256,554108.241410419
E3-ecc,20260815,inplane,pos,8.967136244641608,262505.5866528508
E3-ecc,20260815,inplane,vel,-8.540780661196223,262505.5866528508
E3-ecc,20260815,inplane,pos,1.584769505983038,287141.89795757027
E3-ecc,20260815,inplane,vel,1.0629948954840702,287141.89795757027
E3-ecc,20260815,inplane,pos,9.824552451091517,4031946.8836531052
E3-ecc,20260815,inplane,vel,5.82897540593824,4031946.8836531052
E3-ecc,20260815,inplane,pos,0.9900432627446785,144489.73886988487
E3-ecc,20260815,inplane,vel,1.3882281106557988,144489.73886988487
E3-ecc,20260815,plane,pos,-0.6984317771303702,58241.586348766046
E3-ecc,20260815,plane,vel,-1.5697784696538715,58241.586348766046
E3-ecc,20260815,plane,pos,1.866372290828545,452067.5323909479
E3-ecc,20260815,plane,vel,-0.6816304788790892,452067.5323909479
E3-ecc,20260815,plane,pos,0.6150095620263826,554108.241410419
E3-ecc,20260815,plane,vel,-2.3735043195158143,554108.241410419
E3-ecc,20260815,plane,pos,-0.6567372272195874,262505.5866528508
E3-ecc,20260815,plane,vel,-27.332564450984492,262505.5866528508
E3-ecc,20260815,plane,pos,-0.9363068378721177,287141.89795757027
E3-ecc,20260815,plane,vel,-0.703383426730835,287141.89795757027
E3-ecc,20260815,plane,pos,-0.23003622220538622,4031946.8836531052
