cls,nav_seed,component,block,z,rho
J2X-incl,20260815,range,pos,0.6508823077812349,132113.9656953699
J2X-incl,20260815,range,vel,0.4002112024870783,132113.9656953699
J2X-incl,20260815,range,pos,0.42354919161696153,700035.5077374189
J2X-incl,20260815,range,vel,-1.731852796669887,700035.5077374189
J2X-incl,20260815,range,pos,-0.09633383577737581,256340.7450361937
J2X-incl,20260815,range,vel,0.03518696800790915,256340.7450361937
J2X-incl,20260815,range,pos,-0.343992904829701,4797459.223753292
J2X-incl,20260815,range,vel,-0.3115430630416475,4797459.223753292
J2X-incl,20260815,range,pos,0.12350492374905941,569043.5641900417
J2X-incl,20260815,range,vel,-0.5777747779645628,569043.5641900417
J2X-incl,20260815,range,pos,0.1957803791431025,477370.6820195697
J2X-incl,20260815,range,vel,0.3676779307312613,477370.6820195697
J2X-incl,20260815,range,pos,0.4953800611808091,83372.59798119744
J2X-incl,20260815,range,vel,1.9390877278425824,83372.59798119744
J2X-incl,20260815,range,pos,2.012821448194138,10141317.996496987
J2X-incl,20260815,range,vel,2.1512742186458746,10141317.996496987
J2X-incl,20260815,inplane,pos,-0.24813770647038602,132113.9656953699
J2X-incl,20260815,inplane,vel,-0.6573873209910513,132113.9656953699
J2X-incl,20260815,inplane,pos,-1.6968864625520754,700035.5077374189
J2X-incl,20260815,inplane,vel,0.19282184469368932,700035.5077374189
J2X-incl,20260815,inplane,pos,-0.3039690451863012,256340.7450361937
J2X-incl,20260815,inplane,vel,-0.149870897363205,256340.7450361937
J2X-incl,20260815,inplane,pos,0.3833721175402197,4797459.223753292
J2X-incl,20260815,inplane,vel,-0.3352193276979128,4797459.223753292
J2X-incl,20260815,inplane,pos,-0.4563065548382553,569043.5641900417
J2X-incl,20260815,inplane,vel,0.1441394162129941,569043.5641900417
J2X-incl,20260815,inplane,pos,0.6390137113784949,477370.6820195697
J2X-incl,20260815,inplane,vel,0.3317949206684323,477370.6820195697
J2X-incl,20260815,inplane,pos,0.6122398775532484,83372.59798119744
J2X-incl,20260815,inplane,vel,0.17580384036782623,83372.59798119744
J2X-incl,20260815,inplane,pos,-1.2512100766766694,10141317.996496987
J2X-incl,20260815,inplane,vel,1.2746457960905089,10141317.996496987
J2X-incl,20260815,plane,pos,0.37340205251159053,132113.9656953699
J2X-incl,20260815,plane,vel,0.9819002205583586,132113.9656953699
J2X-incl,20260815,plane,pos,-0.03326962398472878,700035.5077374189
J2X-incl,20260815,plane,vel,0.7813412661489372,700035.5077374189
J2X-incl,20260815,plane,pos,-2.1578451098452613,256340.7450361937
J2X-incl,20260815,plane,vel,-0.21016181084455748,256340.7450361937
J2X-incl,20260815,plane,pos,-0.750980443734494,4797459.223753292
J2X-incl,20260815,plane,vel,0.19114785817944038,4797459.223753292
J2X-incl,20260815,plane,pos,-0.054169529566222376,569043.5641900417
J2X-incl,20260815,plane,vel,-1.0834923947036825,569043.5641900417
J2X-incl,20260815,plane,pos,0.2907656161608955,477370.6820195697
J2X-incl,20260815,plane,vel,-0.47696593259636116,477370.6820195697
J2X-incl,20260815,plane,pos,0.8339701956279667,83372.59798119744
J2X-incl,20260815,plane,vel,1.3671935319789372,83372.59798119744
J2X-incl,20260815,plane,pos,-1.171535429312116,10141317.996496987
J2X-incl,20260815,plane,vel,0.6685705201304121,10141317.996496987
J2X-incl,20260815,range,pos,0.4873793974936417,1534075.1742400564
J2X-incl,20260815,range,vel,-0.5432783428153218,1534075.1742400564
J2X-incl,20260815,range,pos,0.9621206046206554,601776.3948183163
J2X-incl,20260815,range,vel,1.0924834229374507,601776.3948183163
J2X-incl,20260815,range,pos,-0.8880761649573521,519737.9429992672
J2X-incl,20260815,range,vel,-1.310565945083343,519737.9429992672
J2X-incl,20260815,range,pos,-1.7015776456238967,79699.04866380195
J2X-incl,20260815,range,vel,-0.9166817015231734,79699.04866380195
J2X-incl,20260815,range,pos,1.7924939764012033,923069.2475866855
J2X-incl,20260815,range,vel,1.7344381382871084,923069.2475866855
J2X-incl,20260815,range,pos,-0.0605068476445538,84968.29034642832
J2X-incl,20260815,range,vel,-0.7888414293899948,84968.29034642832
J2X-incl,20260815,range,pos,-2.698611879598261,13563490.54964522
J2X-incl,20260815,range,vel,-1.3207531541533086,13563490.54964522
J2X-incl,20260815,range,pos,-0.6417892101762215,153538.39977001847
J2X-incl,20260815,range,vel,-0.5152448600615052,153538.39977001847
J2X-incl,20260815,inplane,pos,-0.03361448086381965,1534075.1742400564
J2X-incl,20260815,inplane,vel,0.21428704874426133,1534075.1742400564
J2X-incl,20260815,inplane,pos,1.5135458869237624,601776.3948183163
J2X-incl,20260815,inplane,vel,0.7287083312989715,601776.3948183163
J2X-incl,20260815,inplane,pos,-1.0193809289555282,519737.9429992672
J2X-incl,20260815,inplane,vel,-0.649821346280875,519737.9429992672
J2X-incl,20260815,inplane,pos,-1.409142095100134,79699.04866380195
J2X-incl,20260815,inplane,vel,1.9939539831365936,79699.04866380195
J2X-incl,20260815,inplane,pos,1.02149583109457,923069.2475866855
J2X-incl,20260815,inplane,vel,1.7421042766504553,923069.2475866855
J2X-incl,20260815,inplane,pos,-0.8001583646398194,84968.29034642832
J2X-incl,20260815,inplane,vel,-0.013752025772276083,84968.29034642832
J2X-incl,20260815,inplane,pos,1.4023937695640372,13563490.54964522
J2X-incl,20260815,inplane,vel,1.4874013810754594,13563490.54964522
J2X-incl,20260815,inplane,pos,0.42588946788758575,153538.39977001847
J2X-incl,20260815,inplane,vel,-0.4737281594771955,153538.39977001847
J2X-incl,20260815,plane,pos,2.759575804642034,1534075.1742400564
J2X-incl,20260815,plane,vel,1.40748447758394,1534075.1742400564
J2X-incl,20260815,plane,pos,0.71179485269571,601776.3948183163
J2X-incl,20260815,plane,vel,-0.31373200238167076,601776.3948183163
J2X-incl,20260815,plane,pos,0.3543151097607052,519737.9429992672
J2X-incl,20260815,plane,vel,-0.25349487121520753,519737.9429992672
J2X-incl,20260815,plane,pos,-1.263930812598871,79699.04866380195
J2X-incl,20260815,plane,vel,2.4398876908632046,79699.04866380195
J2X-incl,20260815,plane,pos,-0.9409677496137602,923069.2475866855
J2X-incl,20260815,plane,vel,-2.162133819101296,923069.2475866855
J2X-incl,20260815,plane,pos,-0.5912879194857682,84968.29034642832
J2X-incl,20260815,plane,vel,0.6804745829665101,84968.29034642832
J2X-incl,20260815,plane,pos,-1.117098436255396,13563490.54964522
J2X-incl,20260815,plane,vel,-0.8625967994597924,13563490.54964522
J2X-incl,20260815,plane,pos,0.8799285860694672,153538.39977001847
J2X-incl,20260815,plane,vel,0.1840553646787872,153538.39977001847
J2X-incl,20260815,range,pos,-0.8363714042146867,43817.37657046017
J2X-incl,20260815,range,vel,-0.4462768497767491,43817.37657046017
J2X-incl,20260815,range,pos,-1.8515638627932105,2478494.2407324924
J2X-incl,20260815,range,vel,-1.0748057177910055,2478494.2407324924
J2X-incl,20260815,range,pos,-0.7200337075171666,352442.40975083254
J2X-incl,20260815,range,vel,1.509267287813201,352442.40975083254
J2X-incl,20260815,range,pos,1.1215643100307868,8441991.256778812
J2X-incl,20260815,range,vel,0.9518672507691793,8441991.256778812
J2X-incl,20260815,range,pos,0.08238219002735357,120210.72730528691
J2X-incl,20260815,range,vel,-0.48246115033450343,120210.72730528691
J2X-incl,20260815,range,pos,-0.9462925846169984,125249.73910958158
J2X-incl,20260815,range,vel,-1.048732378143077,125249.73910958158
J2X-incl,20260815,range,pos,-0.41748446816139834,78611.28115217436
J2X-incl,20260815,range,vel,0.2286955547029988,78611.28115217436
J2X-incl,20260815,inplane,pos,-1.359683302148063,43817.37657046017
J2X-incl,20260815,inplane,vel,-0.9532985190618891,43817.37657046017
J2X-incl,20260815,inplane,pos,-2.4214672970771978,2478494.2407324924
J2X-incl,20260815,inplane,vel,-2.200713945061873,2478494.2407324924
J2X-incl,20260815,inplane,pos,1.7218783932974526,352442.40975083254
J2X-incl,20260815,inplane,vel,-1.047877623098692,352442.40975083254
J2X-incl,20260815,inplane,pos,-0.9430398997020957,8441991.256778812
J2X-incl,20260815,inplane,vel,0.9201125049723915,8441991.256778812
J2X-incl,20260815,inplane,pos,-0.42154338524017027,120210.72730528691
J2X-incl,20260815,inplane,vel,0.14395827612339332,120210.72730528691
J2X-incl,20260815,inplane,pos,-0.6252137990330824,125249.73910958158
J2X-incl,20260815,inplane,vel,-0.9613643469209633,125249.73910958158
J2X-incl,20260815,inplane,pos,-1.0659407141936181,78611.28115217436
J2X-incl,20260815,inplane,vel,-1.3737641720243783,78611.28115217436
J2X-incl,20260815,plane,pos,0.03486541428468996,43817.37657046017
J2X-incl,20260815,plane,vel,0.6269932190215757,43817.37657046017
J2X-incl,20260815,plane,pos,-1.1408617230036222,2478494.2407324924
J2X-incl,20260815,plane,vel,1.8251130686344144,2478494.2407324924
J2X-incl,20260815,plane,pos,1.832099773645844,352442.40975083254
J2X-incl,20260815,plane,vel,-0.9529605272350934,352442.40975083254
J2X-incl,20260815,plane,pos,0.7124877405403722,8441991.256778812
J2X-incl,20260815,plane,vel,-0.9087881304879102,8441991.256778812
J2X-incl,20260815,plane,pos,0.2979947572852168,120210.72730528691
J2X-incl,20260815,plane,vel,-0.3242421823417788,120210.72730528691
J2X-incl,20260815,plane,pos,0.5677046566582901,125249.73910958158
J2X-incl,20260815,plane,vel,0.7507570975526616,125249.73910958158
J2X-incl,20260815,plane,pos,-1.7646283741057802,78611.28115217436
J2X-incl,20260815,plane,vel,1.0304119716335032,78611.28115217436
J2X-incl,20260815,range,pos,-0.2885678605277004,146688.96972468647
J2X-incl,20260815,range,vel,-0.01909802553757121,146688.96972468647
J2X-incl,20260815,range,pos,0.4204933478490946,86069.93396016817
J2X-incl,20260815,range,vel,0.03750521769422952,86069.93396016817
J2X-incl,20260815,range,pos,-0.8397305177049117,76057.35530713497
J2X-incl,20260815,range,vel,0.478943717172123,76057.35530713497
J2X-incl,20260815,range,pos,0.4689761843046185,37082.49310027309
J2X-incl,20260815,range,vel,-0.7983652002036906,37082.49310027309
J2X-incl,20260815,range,pos,-0.7987922589810057,1252349.961654372
J2X-incl,20260815,range,vel,-1.6898527725802546,1252349.961654372
J2X-incl,20260815,range,pos,-0.0006999002418107014,11254372.07120853
J2X-incl,20260815,range,vel,0.7037106538353852,11254372.07120853
J2X-incl,20260815,range,pos,0.9668831507669741,6169775.93229937
J2X-incl,20260815,range,vel,-1.153189281264152,6169775.93229937
J2X-incl,20260815,range,pos,0.6779417269961914,487668.4426806572
J2X-incl,20260815,range,vel,0.46878086998191054,487668.4426806572
J2X-incl,20260815,inplane,pos,1.1524526596564464,146688.96972468647
J2X-incl,20260815,inplane,vel,-0.8936585779626057,146688.96972468647
J2X-incl,20260815,inplane,pos,-1.5494910488003817,86069.93396016817
J2X-incl,20260815,inplane,vel,0.5507472525151417,86069.93396016817
J2X-incl,20260815,inplane,pos,-1.4797923204599088,76057.35530713497
J2X-incl,20260815,inplane,vel,-0.7830057365537593,76057.35530713497
J2X-incl,20260815,inplane,pos,-2.52749830582592,37082.49310027309
J2X-incl,20260815,inplane,vel,-0.7672686947026063,37082.49310027309
J2X-incl,20260815,inplane,pos,-2.1129876722527188,1252349.961654372
J2X-incl,20260815,inplane,vel,-0.6478034205940192,1252349.961654372
J2X-incl,20260815,inplane,pos,-0.7653273855836624,11254372.07120853
J2X-incl,20260815,inplane,vel,-1.3507614810769528,11254372.07120853
J2X-incl,20260815,inplane,pos,0.03937696499468963,6169775.93229937
J2X-incl,20260815,inplane,vel,0.3054960429354031,6169775.93229937
J2X-incl,20260815,inplane,pos,0.5727958265142877,487668.4426806572
J2X-incl,20260815,inplane,vel,0.012757355912587372,487668.4426806572
J2X-incl,20260815,plane,pos,0.20346238408783693,146688.96972468647
J2X-incl,20260815,plane,vel,-0.83635902987465,146688.96972468647
J2X-incl,20260815,plane,pos,-0.09066584837763286,86069.93396016817
J2X-incl,20260815,plane,vel,-0.06239203852128976,86069.93396016817
J2X-incl,20260815,plane,pos,-1.4565236854515455,76057.35530713497
J2X-incl,20260815,plane,vel,0.2586850480230492,76057.35530713497
J2X-incl,20260815,plane,pos,0.7662813424743964,37082.49310027309
J2X-incl,20260815,plane,vel,0.26693590054095573,37082.49310027309
J2X-incl,20260815,plane,pos,-1.0328403700079465,1252349.961654372
J2X-incl,20260815,plane,vel,-0.383766097932782,1252349.961654372
J2X-incl,20260815,plane,pos,-0.5930152602244678,11254372.07120853
J2X-incl,20260815,plane,vel,0.10396000573857744,11254372.07120853
J2X-incl,20260815,plane,pos,2.6208435976737556,6169775.93229937
J2X-incl,20260815,plane,vel,-0.8014537358171542,6169775.93229937
J2X-incl,20260815,plane,pos,-2.248468386161748,487668.4426806572
J2X-incl,20260815,plane,vel,-0.5378589678863904,487668.4426806572
J2X-incl,20260815,range,pos,0.4422771551019867,188325.48957106235
J2X-incl,20260815,range,vel,-0.6190956596672162,188325.48957106235
J2X-incl,20260815,range,pos,0.732613391081939,4243842.523438303
J2X-incl,20260815,range,vel,-0.8708185526099107,4243842.523438303
J2X-incl,20260815,range,pos,-0.3114198999200016,434588.6532115036
J2X-incl,20260815,range,vel,-0.061897687029142,434588.6532115036
J2X-incl,20260815,range,pos,-4.657223592369919,1811077.1408995404
J2X-incl,20260815,range,vel,4.752640098330883,1811077.1408995404
J2X-incl,20260815,range,pos,1.2227478723548684,255525.5361999104
J2X-incl,20260815,range,vel,-0.6498587903119211,255525.5361999104
J2X-incl,20260815,range,pos,-0.2182254754334435,45058.62614849456
J2X-incl,20260815,range,vel,-1.3676312773647266,45058.62614849456
J2X-incl,20260815,range,pos,0.8067879084195014,3243453.941792132
J2X-incl,20260815,range,vel,-0.039358880577269675,3243453.941792132
J2X-incl,20260815,inplane,pos,-0.16123964314955702,188325.48957106235
J2X-incl,20260815,inplane,vel,0.46874728359173223,188325.48957106235
J2X-incl,20260815,inplane,pos,0.34025962764214274,4243842.523438303
J2X-incl,20260815,inplane,vel,0.7395161049675348,4243842.523438303
J2X-incl,20260815,inplane,pos,-1.799538662253627,434588.6532115036
J2X-incl,20260815,inplane,vel,-1.1868225475250804,434588.6532115036
J2X-incl,20260815,inplane,pos,-4.620239259072838,1811077.1408995404
J2X-incl,20260815,inplane,vel,-4.7023193381569115,1811077.1408995404
J2X-incl,20260815,inplane,pos,0.299740727649112,255525.5361999104
J2X-incl,20260815,inplane,vel,1.197223082712405,255525.5361999104
J2X-incl,20260815,inplane,pos,-1.5096633075723154,45058.62614849456
J2X-incl,20260815,inplane,vel,-0.6456313841148174,45058.62614849456
J2X-incl,20260815,inplane,pos,-0.7861185363119741,3243453.941792132
J2X-incl,20260815,inplane,vel,0.8997885715224332,3243453.941792132
J2X-incl,20260815,plane,pos,-0.9249930289947352,188325.48957106235
J2X-incl,20260815,plane,vel,-0.11204753052602079,188325.48957106235
J2X-incl,20260815,plane,pos,0.9046658325276897,4243842.523438303
J2X-incl,20260815,plane,vel,0.6317774837115858,4243842.523438303
J2X-incl,20260815,plane,pos,-2.329074229896431,434588.6532115036
J2X-incl,20260815,plane,vel,-1.7451400571870388,434588.6532115036
J2X-incl,20260815,plane,pos,-0.30878517334568484,1811077.1408995404
J2X-incl,20260815,plane,vel,1.0101792198186867,1811077.1408995404
J2X-incl,20260815,plane,pos,0.30098966599754456,255525.5361999104
J2X-incl,20260815,plane,vel,-1.0816147797024989,255525.5361999104
J2X-incl,20260815,plane,pos,-0.9683220688047555,45058.62614849456
J2X-incl,20260815,plane,vel,0.17778496426575055,45058.62614849456
J2X-incl,20260815,plane,pos,-0.7406418003656542,3243453.941792132
J2X-incl,20260815,plane,vel,-0.019126552220174592,3243453.941792132
