cls,nav_seed,component,block,z,rho
NORMBURN,20260815,range,pos,0.1851959224130072,2920087.255198282
NORMBURN,20260815,range,vel,-0.17771392912763403,2920087.255198282
NORMBURN,20260815,range,pos,0.5124379777839411,11288603.535479601
NORMBURN,20260815,range,vel,0.2850402976950712,11288603.535479601
NORMBURN,20260815,range,pos,0.4919867905070938,12061584.829497522
NORMBURN,20260815,range,vel,-0.868248540239519,12061584.829497522
NORMBURN,20260815,range,pos,-0.12693067964982382,8029252.083398671
NORMBURN,20260815,range,vel,-0.2604994792432108,8029252.083398671
NORMBURN,20260815,range,pos,-0.41769736222339465,13036279.976390118
NORMBURN,20260815,range,vel,0.13238601864547833,13036279.976390118
NORMBURN,20260815,range,pos,-0.2070830893855796,12189255.22286339
NORMBURN,20260815,range,vel,-0.15002546802219763,12189255.22286339
NORMBURN,20260815,range,pos,3.922191933349667,1594629.3559040807
NORMBURN,20260815,range,vel,3.9735574133104365,1594629.3559040807
NORMBURN,20260815,inplane,pos,0.9795004022699019,2920087.255198282
NORMBURN,20260815,inplane,vel,0.4424544802017064,2920087.255198282
NORMBURN,20260815,inplane,pos,0.17173855066116397,11288603.535479601
NORMBURN,20260815,inplane,vel,-0.11398248704927325,11288603.535479601
NORMBURN,20260815,inplane,pos,0.033553155409136795,12061584.829497522
NORMBURN,20260815,inplane,vel,0.1436151144894072,12061584.829497522
NORMBURN,20260815,inplane,pos,0.8522717698816548,8029252.083398671
NORMBURN,20260815,inplane,vel,0.8766352306990784,8029252.083398671
NORMBURN,20260815,inplane,pos,-0.7714448027139145,13036279.976390118
NORMBURN,20260815,inplane,vel,2.2050968694369244,13036279.976390118
NORMBURN,20260815,inplane,pos,0.01873459418626482,12189255.22286339
NORMBURN,20260815,inplane,vel,0.42760757409694417,12189255.22286339
NORMBURN,20260815,inplane,pos,-2.3465411491890955,1594629.3559040807
NORMBURN,20260815,inplane,vel,3.9979630930700187,1594629.3559040807
NORMBURN,20260815,plane,pos,0.7759890544008688,2920087.255198282
NORMBURN,20260815,plane,vel,-1.030029411366999,2920087.255198282
NORMBURN,20260815,plane,pos,0.3119294794685646,11288603.535479601
NORMBURN,20260815,plane,vel,-1.4649868085037945,11288603.535479601
NORMBURN,20260815,plane,pos,0.7466366768554462,12061584.829497522
NORMBURN,20260815,plane,vel,-0.16321382421454125,12061584.829497522
NORMBURN,20260815,plane,pos,-0.817184059516263,8029252.083398671
NORMBURN,20260815,plane,vel,0.10816220844572919,8029252.083398671
NORMBURN,20260815,plane,pos,1.6277150755270013,13036279.976390118
NORMBURN,20260815,plane,vel,0.058194674147402294,13036279.976390118
NORMBURN,20260815,plane,pos,1.4786117217977768,12189255.22286339
NORMBURN,20260815,plane,vel,0.8514613926276833,12189255.22286339
NORMBURN,20260815,plane,pos,-0.40181673209856694,1594629.3559040807
NORMBURN,20260815,plane,vel,3.387379965627345,1594629.3559040807
NORMBURN,20260815,range,pos,1.172424567175398,3094114.217093229
NORMBURN,20260815,range,vel,0.5614952422625441,3094114.217093229
NORMBURN,20260815,range,pos,-1.0924484193631618,11221562.176580757
NORMBURN,20260815,range,vel,1.323123452412545,11221562.176580757
NORMBURN,20260815,range,pos,-0.39870124761323095,11800443.474541184
NORMBURN,20260815,range,vel,-0.1573283598956064,11800443.474541184
NORMBURN,20260815,range,pos,0.3543034928782068,7597776.693702315
NORMBURN,20260815,range,vel,0.9556815276221726,7597776.693702315
NORMBURN,20260815,range,pos,0.9892664487920227,12684640.279332986
NORMBURN,20260815,range,vel,0.593100589750102,12684640.279332986
NORMBURN,20260815,range,pos,-0.49339386639768373,13539531.863704793
NORMBURN,20260815,range,vel,-0.1633411207851741,13539531.863704793
NORMBURN,20260815,range,pos,-0.15618744883866606,12330708.57952589
NORMBURN,20260815,range,vel,-0.08544575652203362,12330708.57952589
NORMBURN,20260815,range,pos,3.027179699876669,1660409.4026624106
NORMBURN,20260815,range,vel,3.501671731983045,1660409.4026624106
NORMBURN,20260815,inplane,pos,1.6029724177909306,3094114.217093229
NORMBURN,20260815,inplane,vel,1.1065060660564023,3094114.217093229
NORMBURN,20260815,inplane,pos,-1.1939833339629748,11221562.176580757
NORMBURN,20260815,inplane,vel,-1.1353431621801582,11221562.176580757
NORMBURN,20260815,inplane,pos,-0.25814346432813795,11800443.474541184
NORMBURN,20260815,inplane,vel,0.12583101595058527,11800443.474541184
NORMBURN,20260815,inplane,pos,-1.4652798897279355,7597776.693702315
NORMBURN,20260815,inplane,vel,-1.4151915189915538,7597776.693702315
NORMBURN,20260815,inplane,pos,-0.5318160276236472,12684640.279332986
NORMBURN,20260815,inplane,vel,-0.585249566640826,12684640.279332986
NORMBURN,20260815,inplane,pos,0.034786442215519485,13539531.863704793
NORMBURN,20260815,inplane,vel,0.37440843658606193,13539531.863704793
NORMBURN,20260815,inplane,pos,0.05317547656106916,12330708.57952589
NORMBURN,20260815,inplane,vel,0.395933091431215,12330708.57952589
NORMBURN,20260815,inplane,pos,-0.31188187143965596,1660409.4026624106
NORMBURN,20260815,inplane,vel,3.0979687691214326,1660409.4026624106
NORMBURN,20260815,plane,pos,-1.68786675731338,3094114.217093229
NORMBURN,20260815,plane,vel,0.7592153830982534,3094114.217093229
NORMBURN,20260815,plane,pos,1.4128932957189826,11221562.176580757
NORMBURN,20260815,plane,vel,0.7475424292613047,11221562.176580757
NORMBURN,20260815,plane,pos,-0.3057313205607556,11800443.474541184
NORMBURN,20260815,plane,vel,-0.7293393552819071,11800443.474541184
NORMBURN,20260815,plane,pos,-0.1277581990383324,7597776.693702315
NORMBURN,20260815,plane,vel,0.15296652616313855,7597776.693702315
NORMBURN,20260815,plane,pos,0.6086202583446595,12684640.279332986
NORMBURN,20260815,plane,vel,1.5958212995323409,12684640.279332986
NORMBURN,20260815,plane,pos,0.2729879821826201,13539531.863704793
NORMBURN,20260815,plane,vel,2.302041625909627,13539531.863704793
NORMBURN,20260815,plane,pos,2.148236703318896,12330708.57952589
NORMBURN,20260815,plane,vel,-0.7625522782061983,12330708.57952589
NORMBURN,20260815,plane,pos,-1.9906909351951192,1660409.4026624106
NORMBURN,20260815,plane,vel,2.0565917745680564,1660409.4026624106
NORMBURN,20260815,range,pos,-0.40430448042888745,5427878.9351243265
NORMBURN,20260815,range,vel,-0.35311317375930396,5427878.9351243265
NORMBURN,20260815,range,pos,0.08518700282711861,13966933.600416027
NORMBURN,20260815,range,vel,0.05364023726071616,13966933.600416027
NORMBURN,20260815,range,pos,0.24460910072203926,4710754.099628602
NORMBURN,20260815,range,vel,-0.7055119532305943,4710754.099628602
NORMBURN,20260815,inplane,pos,-0.9898092321810625,5427878.9351243265
NORMBURN,20260815,inplane,vel,-0.44005713225768994,5427878.9351243265
NORMBURN,20260815,inplane,pos,-0.18955247770629324,13966933.600416027
NORMBURN,20260815,inplane,vel,-0.19655830219029732,13966933.600416027
NORMBURN,20260815,inplane,pos,-0.18278369110299578,4710754.099628602
NORMBURN,20260815,inplane,vel,0.26803742362553035,4710754.099628602
NORMBURN,20260815,plane,pos,2.307506141308893,5427878.9351243265
NORMBURN,20260815,plane,vel,1.0238744452013655,5427878.9351243265
NORMBURN,20260815,plane,pos,-0.011782079985488835,13966933.600416027
NORMBURN,20260815,plane,vel,0.7158932224758091,13966933.600416027
NORMBURN,20260815,plane,pos,0.0723464615914332,4710754.099628602
NORMBURN,20260815,plane,vel,0.781455258062346,4710754.099628602
NORMBURN,20260815,range,pos,-0.29886684736194563,10254826.097021561
NORMBURN,20260815,range,vel,-0.2757091697978236,10254826.097021561
NORMBURN,20260815,range,pos,-0.7223400698046636,13538386.096306102
NORMBURN,20260815,range,vel,-0.8504190115218649,13538386.096306102
NORMBURN,20260815,range,pos,-1.0135910412557345,7033672.472012859
NORMBURN,20260815,range,vel,-0.20062822375212924,7033672.472012859
NORMBURN,20260815,range,pos,-0.02277731338194057,14473358.591946611
NORMBURN,20260815,range,vel,0.2188076118054507,14473358.591946611
NORMBURN,20260815,range,pos,0.6517496092879996,4620123.501641751
NORMBURN,20260815,range,vel,-0.518433194798685,4620123.501641751
NORMBURN,20260815,range,pos,-6.145730252079379,2109164.704448746
NORMBURN,20260815,range,vel,-7.608948569306614,2109164.704448746
NORMBURN,20260815,inplane,pos,0.2553132118366213,10254826.097021561
NORMBURN,20260815,inplane,vel,-0.5046255445828917,10254826.097021561
NORMBURN,20260815,inplane,pos,0.7617561477318167,13538386.096306102
NORMBURN,20260815,inplane,vel,0.7279004516429117,13538386.096306102
NORMBURN,20260815,inplane,pos,0.6010049382723204,7033672.472012859
NORMBURN,20260815,inplane,vel,0.6597327644006621,7033672.472012859
NORMBURN,20260815,inplane,pos,-0.6553094104615016,14473358.591946611
NORMBURN,20260815,inplane,vel,-0.09351519050493988,14473358.591946611
NORMBURN,20260815,inplane,pos,-0.24116027140070123,4620123.501641751
NORMBURN,20260815,inplane,vel,-0.024564273172704564,4620123.501641751
