cls,nav_seed,component,block,z,rho
TB5-3D,20260815,range,pos,-0.9880699335030809,635474.7387624938
TB5-3D,20260815,range,vel,1.8159793935725543,635474.7387624938
TB5-3D,20260815,range,pos,-1.1532607264512085,709985.916646211
TB5-3D,20260815,range,vel,-0.6938341020328508,709985.916646211
TB5-3D,20260815,range,pos,1.0995144632766847,1256105.6883813727
TB5-3D,20260815,range,vel,-1.2859049498757043,1256105.6883813727
TB5-3D,20260815,range,pos,-0.6652704316930553,559070.8233695411
TB5-3D,20260815,range,vel,1.0474271472296377,559070.8233695411
TB5-3D,20260815,range,pos,-0.7956147284870894,242626.09240159125
TB5-3D,20260815,range,vel,0.6869949115065882,242626.09240159125
TB5-3D,20260815,range,pos,1.508206598727757,710644.9352138697
TB5-3D,20260815,range,vel,-1.5900880129615726,710644.9352138697
TB5-3D,20260815,range,pos,-0.47720667748338946,613311.9267096759
TB5-3D,20260815,range,vel,0.7494387435596761,613311.9267096759
TB5-3D,20260815,range,pos,-0.6167113031412691,117127.48379002069
TB5-3D,20260815,range,vel,0.23027036504199008,117127.48379002069
TB5-3D,20260815,inplane,pos,0.6339952049084836,635474.7387624938
TB5-3D,20260815,inplane,vel,-0.638725295192217,635474.7387624938
TB5-3D,20260815,inplane,pos,-1.9070276649691813,709985.916646211
TB5-3D,20260815,inplane,vel,-0.7355451518552929,709985.916646211
TB5-3D,20260815,inplane,pos,0.058393064073573746,1256105.6883813727
TB5-3D,20260815,inplane,vel,0.7674373739607262,1256105.6883813727
TB5-3D,20260815,inplane,pos,0.11587689889738678,559070.8233695411
TB5-3D,20260815,inplane,vel,-0.6662787720270016,559070.8233695411
TB5-3D,20260815,inplane,pos,-0.26084463903075106,242626.09240159125
TB5-3D,20260815,inplane,vel,0.04646216831524455,242626.09240159125
TB5-3D,20260815,inplane,pos,0.022893780068435714,710644.9352138697
TB5-3D,20260815,inplane,vel,0.7093799327560694,710644.9352138697
TB5-3D,20260815,inplane,pos,0.3228361115878746,613311.9267096759
TB5-3D,20260815,inplane,vel,-0.24821741634734018,613311.9267096759
TB5-3D,20260815,inplane,pos,0.111726585353635,117127.48379002069
TB5-3D,20260815,inplane,vel,-0.7851384146594955,117127.48379002069
TB5-3D,20260815,plane,pos,-2.24034340051349,635474.7387624938
TB5-3D,20260815,plane,vel,-0.02319574858624977,635474.7387624938
