cls,nav_seed,component,block,z,rho
X3-loose,20260815,range,pos,-0.5801766002415992,150680.71095983073
X3-loose,20260815,range,vel,-0.3840299123596242,150680.71095983073
X3-loose,20260815,range,pos,-0.7185846498293805,133003.79866440306
X3-loose,20260815,range,vel,-0.5918949067563806,133003.79866440306
X3-loose,20260815,range,pos,-0.6124423552745255,1150682.2463235355
X3-loose,20260815,range,vel,0.048424184151834394,1150682.2463235355
X3-loose,20260815,range,pos,-0.20356311194701718,420292.03722190537
X3-loose,20260815,range,vel,-0.21713258805904992,420292.03722190537
X3-loose,20260815,range,pos,1.1802941188191312,238373.6911435646
X3-loose,20260815,range,vel,-2.4268287014881706,238373.6911435646
X3-loose,20260815,range,pos,-0.23298988571810736,285429.756894134
X3-loose,20260815,range,vel,0.1419681069027015,285429.756894134
X3-loose,20260815,range,pos,0.4641392304303235,99673.72617225729
X3-loose,20260815,range,vel,0.10460227640134159,99673.72617225729
X3-loose,20260815,range,pos,0.4047549556369695,13955463.176429227
X3-loose,20260815,range,vel,-0.29375598774258793,13955463.176429227
X3-loose,20260815,inplane,pos,1.1615265166986526,150680.71095983073
X3-loose,20260815,inplane,vel,-0.5416289018078237,150680.71095983073
X3-loose,20260815,inplane,pos,-2.941968977215189,133003.79866440306
X3-loose,20260815,inplane,vel,-1.5379578661446922,133003.79866440306
X3-loose,20260815,inplane,pos,-0.11772496101877218,1150682.2463235355
X3-loose,20260815,inplane,vel,-0.6256014210039752,1150682.2463235355
X3-loose,20260815,inplane,pos,-0.42956715280912927,420292.03722190537
X3-loose,20260815,inplane,vel,-0.4370412370037772,420292.03722190537
X3-loose,20260815,inplane,pos,-1.5903283689118801,238373.6911435646
X3-loose,20260815,inplane,vel,0.09591457392519942,238373.6911435646
X3-loose,20260815,inplane,pos,-0.5533620572300494,285429.756894134
X3-loose,20260815,inplane,vel,-0.49196121891509,285429.756894134
X3-loose,20260815,inplane,pos,0.4055416488421053,99673.72617225729
X3-loose,20260815,inplane,vel,-0.2589400719242763,99673.72617225729
X3-loose,20260815,inplane,pos,0.1483418248517115,13955463.176429227
X3-loose,20260815,inplane,vel,-0.46917102142312833,13955463.176429227
X3-loose,20260815,plane,pos,0.7567724203862105,150680.71095983073
X3-loose,20260815,plane,vel,-0.1619818761037118,150680.71095983073
X3-loose,20260815,plane,pos,-0.04265912422128367,133003.79866440306
X3-loose,20260815,plane,vel,-0.6854980222438347,133003.79866440306
X3-loose,20260815,plane,pos,1.0459054034005468,1150682.2463235355
X3-loose,20260815,plane,vel,1.1091989261405804,1150682.2463235355
X3-loose,20260815,plane,pos,2.02383908127933,420292.03722190537
X3-loose,20260815,plane,vel,0.8440147475295247,420292.03722190537
X3-loose,20260815,plane,pos,0.5698435751260239,238373.6911435646
X3-loose,20260815,plane,vel,1.3677358297741171,238373.6911435646
X3-loose,20260815,plane,pos,-1.2380609367933364,285429.756894134
X3-loose,20260815,plane,vel,-0.9238826426964678,285429.756894134
X3-loose,20260815,plane,pos,-0.07726010411537441,99673.72617225729
X3-loose,20260815,plane,vel,-0.48038872264871196,99673.72617225729
X3-loose,20260815,plane,pos,-0.8070915388002141,13955463.176429227
X3-loose,20260815,plane,vel,1.3532345379860797,13955463.176429227
X3-loose,20260815,range,pos,-1.0155494372586777,4140408.205248168
X3-loose,20260815,range,vel,0.7473026084641387,4140408.205248168
X3-loose,20260815,range,pos,-0.7962985264629785,222093.11595846334
X3-loose,20260815,range,vel,-1.2626154446525057,222093.11595846334
X3-loose,20260815,range,pos,-1.12136859801421,3992253.1418413934
X3-loose,20260815,range,vel,-0.5961070882964038,3992253.1418413934
X3-loose,20260815,range,pos,-1.2816000561604088,158747.87245676343
X3-loose,20260815,range,vel,1.04037364597096,158747.87245676343
X3-loose,20260815,range,pos,-1.9385525195789282,1023890.8768858827
X3-loose,20260815,range,vel,1.8271737380369875,1023890.8768858827
X3-loose,20260815,range,pos,0.7912921662715634,9629926.52757489
X3-loose,20260815,range,vel,0.8568236089445314,9629926.52757489
X3-loose,20260815,range,pos,-2.195144730386885,314331.7513525935
X3-loose,20260815,range,vel,1.7240077850496003,314331.7513525935
X3-loose,20260815,range,pos,-1.0691556430619438,3171549.881569235
X3-loose,20260815,range,vel,-1.7227239907376162,3171549.881569235
X3-loose,20260815,inplane,pos,-0.30563100478344113,4140408.205248168
X3-loose,20260815,inplane,vel,-0.3356748207867766,4140408.205248168
X3-loose,20260815,inplane,pos,2.372607402117013,222093.11595846334
X3-loose,20260815,inplane,vel,0.9728721326832688,222093.11595846334
X3-loose,20260815,inplane,pos,1.0663883236727556,3992253.1418413934
X3-loose,20260815,inplane,vel,-1.136885973555904,3992253.1418413934
X3-loose,20260815,inplane,pos,-0.5045780318987142,158747.87245676343
X3-loose,20260815,inplane,vel,-0.5876141929895067,158747.87245676343
X3-loose,20260815,inplane,pos,-0.8714584588380199,1023890.8768858827
X3-loose,20260815,inplane,vel,-1.9200754460218823,1023890.8768858827
X3-loose,20260815,inplane,pos,-0.8138832261036894,9629926.52757489
X3-loose,20260815,inplane,vel,1.0079551602245205,9629926.52757489
X3-loose,20260815,inplane,pos,-0.606229708762357,314331.7513525935
X3-loose,20260815,inplane,vel,-2.1057206241623976,314331.7513525935
X3-loose,20260815,inplane,pos,-0.8152503994134632,3171549.881569235
X3-loose,20260815,inplane,vel,-0.9410395758068199,3171549.881569235
X3-loose,20260815,plane,pos,2.664572834738531,4140408.205248168
X3-loose,20260815,plane,vel,2.3205103414308175,4140408.205248168
X3-loose,20260815,plane,pos,0.24122313714763804,222093.11595846334
X3-loose,20260815,plane,vel,1.0317961623521217,222093.11595846334
X3-loose,20260815,plane,pos,-1.4331576832295734,3992253.1418413934
X3-loose,20260815,plane,vel,0.03553369455070817,3992253.1418413934
X3-loose,20260815,plane,pos,-0.12133099147381586,158747.87245676343
X3-loose,20260815,plane,vel,-0.5751340495142989,158747.87245676343
X3-loose,20260815,plane,pos,0.31607755155228034,1023890.8768858827
X3-loose,20260815,plane,vel,-1.5116092159036407,1023890.8768858827
X3-loose,20260815,plane,pos,-1.1707017864104987,9629926.52757489
X3-loose,20260815,plane,vel,1.55326198584826,9629926.52757489
X3-loose,20260815,plane,pos,0.09077710350658051,314331.7513525935
X3-loose,20260815,plane,vel,2.459157029120906,314331.7513525935
X3-loose,20260815,plane,pos,0.9127755443623999,3171549.881569235
X3-loose,20260815,plane,vel,-0.35499520329681467,3171549.881569235
X3-loose,20260815,range,pos,-2.125791678443033,4408650.125026507
X3-loose,20260815,range,vel,2.5625196993569768,4408650.125026507
X3-loose,20260815,range,pos,2.079864377671308,158188.57733632188
X3-loose,20260815,range,vel,-1.0532299651244943,158188.57733632188
X3-loose,20260815,range,pos,0.09069349988462265,5479944.901213524
X3-loose,20260815,range,vel,-0.04778564944917997,5479944.901213524
X3-loose,20260815,range,pos,1.3603351043425578,293353.9361853427
X3-loose,20260815,range,vel,1.0396667315213646,293353.9361853427
X3-loose,20260815,range,pos,-1.0271691748251521,13872770.196210003
X3-loose,20260815,range,vel,-1.4641257048760443,13872770.196210003
X3-loose,20260815,range,pos,-0.18053667493307765,140180.82100712598
X3-loose,20260815,range,vel,-0.4821943894132895,140180.82100712598
X3-loose,20260815,inplane,pos,-0.9933977697593923,4408650.125026507
X3-loose,20260815,inplane,vel,-1.9762560442893355,4408650.125026507
X3-loose,20260815,inplane,pos,1.9390059168082519,158188.57733632188
X3-loose,20260815,inplane,vel,2.2261647683463193,158188.57733632188
X3-loose,20260815,inplane,pos,-0.3126096858466667,5479944.901213524
X3-loose,20260815,inplane,vel,0.0831825280109705,5479944.901213524
X3-loose,20260815,inplane,pos,1.5454483210766714,293353.9361853427
X3-loose,20260815,inplane,vel,1.4643086991719052,293353.9361853427
X3-loose,20260815,inplane,pos,1.1346392572107926,13872770.196210003
X3-loose,20260815,inplane,vel,0.2028083858350828,13872770.196210003
X3-loose,20260815,inplane,pos,-0.5378302519693283,140180.82100712598
X3-loose,20260815,inplane,vel,-0.47019015832133504,140180.82100712598
X3-loose,20260815,plane,pos,0.28735968128281764,4408650.125026507
X3-loose,20260815,plane,vel,-1.8729907564761519,4408650.125026507
X3-loose,20260815,plane,pos,-1.0889588480223433,158188.57733632188
X3-loose,20260815,plane,vel,0.27321965851407093,158188.57733632188
X3-loose,20260815,plane,pos,-0.9671629843943633,5479944.901213524
X3-loose,20260815,plane,vel,1.3772571858930964,5479944.901213524
X3-loose,20260815,plane,pos,-0.05660932870242921,293353.9361853427
X3-loose,20260815,plane,vel,0.9952229532071343,293353.9361853427
X3-loose,20260815,plane,pos,-1.2541984418742884,13872770.196210003
X3-loose,20260815,plane,vel,0.23476250835948761,13872770.196210003
X3-loose,20260815,plane,pos,1.1966380660707223,140180.82100712598
X3-loose,20260815,plane,vel,1.3164764920712582,140180.82100712598
X3-loose,20260815,range,pos,1.164665051255026,104169.20044892958
X3-loose,20260815,range,vel,-0.21031387484441247,104169.20044892958
X3-loose,20260815,range,pos,-0.036562757209028934,84736.25091240865
X3-loose,20260815,range,vel,-0.9053254912864467,84736.25091240865
X3-loose,20260815,range,pos,-0.41061315513408075,1646805.093786882
X3-loose,20260815,range,vel,-0.04340716436219172,1646805.093786882
X3-loose,20260815,range,pos,0.828673152674366,13481023.792769011
X3-loose,20260815,range,vel,1.7040132265586048,13481023.792769011
X3-loose,20260815,range,pos,-1.223618814015673,1557054.3379885815
X3-loose,20260815,range,vel,1.3379532741358051,1557054.3379885815
X3-loose,20260815,range,pos,0.2985111053773349,9203373.134936478
X3-loose,20260815,range,vel,-0.11029106686866405,9203373.134936478
X3-loose,20260815,range,pos,0.434782434144773,104025.26368908574
X3-loose,20260815,range,vel,0.2813051829096843,104025.26368908574
X3-loose,20260815,range,pos,-0.32234108161184744,295559.8567110219
X3-loose,20260815,range,vel,-0.2000606889657976,295559.8567110219
X3-loose,20260815,inplane,pos,0.025416058921956017,104169.20044892958
X3-loose,20260815,inplane,vel,-0.11186448357700589,104169.20044892958
X3-loose,20260815,inplane,pos,-0.9632398774356763,84736.25091240865
X3-loose,20260815,inplane,vel,0.17737961013065565,84736.25091240865
X3-loose,20260815,inplane,pos,0.43574780665458307,1646805.093786882
X3-loose,20260815,inplane,vel,-0.48609808104488983,1646805.093786882
X3-loose,20260815,inplane,pos,-1.7618369356529573,13481023.792769011
X3-loose,20260815,inplane,vel,2.0342492051826664,13481023.792769011
X3-loose,20260815,inplane,pos,-0.7045063562422073,1557054.3379885815
X3-loose,20260815,inplane,vel,-1.4304238901970847,1557054.3379885815
X3-loose,20260815,inplane,pos,-0.15796389090155236,9203373.134936478
X3-loose,20260815,inplane,vel,-0.4118565350068163,9203373.134936478
X3-loose,20260815,inplane,pos,-0.20117380987237193,104025.26368908574
X3-loose,20260815,inplane,vel,-0.5694999148433216,104025.26368908574
X3-loose,20260815,inplane,pos,-1.2135882795350494,295559.8567110219
X3-loose,20260815,inplane,vel,-1.0612224936575279,295559.8567110219
X3-loose,20260815,plane,pos,-1.2811490525419655,104169.20044892958
X3-loose,20260815,plane,vel,1.1937989800904516,104169.20044892958
X3-loose,20260815,plane,pos,-2.166668783476102,84736.25091240865
X3-loose,20260815,plane,vel,-1.3089230610608469,84736.25091240865
X3-loose,20260815,plane,pos,-0.5466705310503286,1646805.093786882
X3-loose,20260815,plane,vel,0.2765671732205223,1646805.093786882
X3-loose,20260815,plane,pos,-0.9321747786496725,13481023.792769011
X3-loose,20260815,plane,vel,0.23587792844201752,13481023.792769011
X3-loose,20260815,plane,pos,0.9867024630579375,1557054.3379885815
X3-loose,20260815,plane,vel,0.5495617108931384,1557054.3379885815
X3-loose,20260815,plane,pos,-0.5300920363008441,9203373.134936478
X3-loose,20260815,plane,vel,-0.38997691165456055,9203373.134936478
X3-loose,20260815,plane,pos,-1.626630864469407,104025.26368908574
X3-loose,20260815,plane,vel,-0.17138460093615004,104025.26368908574
X3-loose,20260815,plane,pos,1.171592082355388,295559.8567110219
X3-loose,20260815,plane,vel,0.4880898000182158,295559.8567110219
X3-loose,20260815,range,pos,0.6885559536288238,3399045.3226098623
X3-loose,20260815,range,vel,0.04638341070747717,3399045.3226098623
X3-loose,20260815,range,pos,0.49991173823578056,299420.9135700928
X3-loose,20260815,range,vel,-0.789685522752297,299420.9135700928
X3-loose,20260815,range,pos,-0.6864898695336806,6515293.240879912
X3-loose,20260815,range,vel,-0.7948499159638053,6515293.240879912
X3-loose,20260815,range,pos,0.3209147054395253,100318.49676270456
X3-loose,20260815,range,vel,0.33497302910521476,100318.49676270456
X3-loose,20260815,range,pos,-0.17227016215410035,48330.66311181106
X3-loose,20260815,range,vel,-0.029140077955094826,48330.66311181106
X3-loose,20260815,range,pos,0.4154567452689913,234947.20342298827
X3-loose,20260815,range,vel,1.8338832974844899,234947.20342298827
X3-loose,20260815,range,pos,-0.7981461793294827,11518623.036943538
X3-loose,20260815,range,vel,-1.0915254215624124,11518623.036943538
X3-loose,20260815,range,pos,0.5169586430681693,12379927.530988066
X3-loose,20260815,range,vel,1.0671623060813478,12379927.530988066
X3-loose,20260815,inplane,pos,-1.1912252597443642,3399045.3226098623
X3-loose,20260815,inplane,vel,0.8315603113834806,3399045.3226098623
X3-loose,20260815,inplane,pos,-0.1575423055303777,299420.9135700928
X3-loose,20260815,inplane,vel,0.3875313186227148,299420.9135700928
X3-loose,20260815,inplane,pos,0.4603418378494081,6515293.240879912
X3-loose,20260815,inplane,vel,-0.7535014635113679,6515293.240879912
X3-loose,20260815,inplane,pos,1.3402799972949908,100318.49676270456
X3-loose,20260815,inplane,vel,0.9363550750681283,100318.49676270456
X3-loose,20260815,inplane,pos,-0.4622060281531347,48330.66311181106
X3-loose,20260815,inplane,vel,-0.277128355307589,48330.66311181106
X3-loose,20260815,inplane,pos,2.009102876579839,234947.20342298827
X3-loose,20260815,inplane,vel,1.0998183522182525,234947.20342298827
X3-loose,20260815,inplane,pos,1.4315346577567363,11518623.036943538
X3-loose,20260815,inplane,vel,-1.8740426642237968,11518623.036943538
X3-loose,20260815,inplane,pos,-1.1684759752581848,12379927.530988066
X3-loose,20260815,inplane,vel,1.9177262038224907,12379927.530988066
