gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
143.35,-74.84,0.0408,0.0342,676.0,571.4,104.6,56.45,268.86,268.86,A_tight1_s7,0,7,0,safety_cap,2000,410,1.6486,1.6486,4.261,4,2,0,367.0,343.09,1,86,185,139,4.26
142.56,45.99,0.0289,0.0344,556.5,761.6,-205.1,109.83,177.14,177.14,A_tight1_s7,1,7,0,safety_cap,2000,471,,3.5798,7.623,0,0,0,314.0,259.14,1,96,195,180,7.62
-58.09,-157.41,0.0149,0.0166,467.7,718.6,-250.9,136.29,90.1,136.29,A_tight1_s7,2,7,0,safety_cap,2000,333,1.6215,1.6215,0.706,10,4,0,141.0,132.68,1,41,223,69,0.71
-151.0,28.28,0.0137,0.0439,578.7,664.6,-86.0,46.4,216.65,216.65,A_tight1_s7,3,7,0,safety_cap,2000,450,,2.5332,6.015,0,0,0,334.0,295.89,1,75,194,181,6.01
102.28,-5.35,0.0172,0.0027,396.5,754.5,-358.0,195.25,68.16,195.25,A_tight1_s7,4,7,0,safety_cap,2000,511,1.3621,1.3621,3.998,4,2,0,215.0,205.13,1,101,173,237,4.0
-52.53,-41.06,0.0212,0.0142,382.8,502.8,-120.0,67.37,29.8,67.37,A_tight1_s7,5,7,1,success,1991,484,2.0103,2.0103,2.87,1,0,0,69.0,66.49,1,36,231,217,2.87
-84.1,-1.78,0.0318,0.0229,416.6,753.2,-336.6,183.21,136.81,183.21,A_tight1_s7,6,7,0,safety_cap,2000,407,,4.2658,6.257,0,0,0,187.0,181.5,1,56,230,121,6.26
17.29,60.98,0.0126,0.0198,644.5,769.8,-125.3,66.42,51.62,66.42,A_tight1_s7,7,7,0,safety_cap,2000,498,1.5351,1.5351,2.84,17,6,0,87.0,83.96,1,22,313,163,2.84
112.71,124.71,0.041,0.0439,495.7,697.4,-201.6,109.46,35.04,109.46,A_tight1_s7,8,7,0,safety_cap,2000,442,,4.7975,9.123,0,0,0,139.0,139.06,1,68,177,197,9.12
67.3,130.39,0.0072,0.011,338.9,798.1,-459.2,250.83,37.51,250.83,A_tight1_s7,9,7,0,safety_cap,2000,497,,3.0161,6.654,0,0,0,253.0,238.78,1,98,176,223,6.65
-18.46,-42.06,0.0124,0.0138,760.9,680.6,80.4,42.48,20.74,42.48,A_tight1_s7,10,7,0,safety_cap,2000,488,1.6862,1.6862,3.048,5,0,0,67.0,62.27,1,30,322,136,3.05
115.42,45.38,0.0119,0.0245,415.7,670.6,-254.9,139.97,87.54,139.97,A_tight1_s7,11,7,1,success,1984,461,1.8182,1.8182,4.097,2,0,0,224.0,216.0,1,98,169,194,4.1
36.4,-137.6,0.021,0.0477,730.7,796.4,-65.7,34.41,255.84,255.84,A_tight1_s7,12,7,0,safety_cap,2000,449,,9.7468,7.996,0,0,0,411.0,275.3,1,98,169,182,8.0
82.64,-84.56,0.0279,0.0202,499.2,417.4,81.8,45.74,183.49,183.49,A_tight1_s7,13,7,0,safety_cap,2000,445,1.7084,1.7084,2.983,4,2,0,244.0,225.33,1,60,195,190,3.96
-124.4,-47.67,0.0156,0.0211,467.5,662.6,-195.1,106.62,87.35,106.62,A_tight1_s7,14,7,0,safety_cap,2000,385,,2.7653,7.117,0,0,0,163.0,152.61,1,62,185,138,7.12
55.59,-22.15,0.0083,0.0094,772.9,541.0,231.8,124.23,42.2,124.23,A_tight1_s7,15,7,1,success,1881,347,,6.2499,5.352,0,0,0,129.0,127.36,1,50,194,103,5.35
-55.73,107.01,0.0013,0.0181,553.4,678.6,-125.2,67.68,72.82,72.82,A_tight1_s7,16,7,0,safety_cap,2000,379,2.5526,2.5526,2.298,12,5,0,110.0,102.12,1,53,243,83,2.3
33.43,-116.23,0.0215,0.0118,661.5,445.5,216.0,118.35,123.06,123.06,A_tight1_s7,17,7,0,safety_cap,2000,474,2.2778,2.2778,3.219,6,1,0,151.0,140.06,1,41,282,151,3.22
63.95,-143.35,0.0381,0.0479,757.7,640.5,117.3,62.27,315.34,315.34,A_tight1_s7,18,7,0,safety_cap,2000,500,2.2216,2.2216,2.569,3,0,0,365.0,348.78,1,63,219,218,2.57
96.1,92.43,0.0067,0.0473,318.5,602.5,-284.0,158.81,153.56,158.81,A_tight1_s7,19,7,1,success,1940,473,1.2822,1.2822,3.93,2,0,0,266.0,253.93,1,65,199,209,3.93
58.3,157.98,0.0387,0.0211,528.2,797.0,-268.8,143.87,175.69,175.69,A_tight1_s7,20,7,1,success,1991,422,1.4267,1.4267,1.606,1,0,0,215.0,206.87,1,52,224,146,1.61
-148.38,6.97,0.0136,0.0085,405.1,601.3,-196.2,108.7,81.96,108.7,A_tight1_s7,21,7,0,safety_cap,2000,491,2.4808,2.4808,4.997,1,1,0,167.0,159.12,1,71,190,230,5.0
-57.6,1.86,0.0174,0.0331,781.2,700.5,80.7,42.5,107.01,107.01,A_tight1_s7,22,7,0,safety_cap,2000,438,1.7495,1.7495,3.118,13,6,0,149.0,137.39,1,51,228,159,3.12
-85.16,-175.77,0.0364,0.0333,583.7,660.9,-77.2,41.65,186.72,186.72,A_tight1_s7,23,7,0,safety_cap,2000,407,2.3612,2.3612,1.788,4,1,0,253.0,231.38,1,63,217,127,2.63
