gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-39.91,90.93,0.045,0.0054,556.2,428.6,127.6,70.85,186.43,186.43,B_tight5_s42,0,42,1,success,1973,440,,4.2991,7.246,0,0,0,236.0,206.67,1,56,221,163,7.25
165.15,151.8,0.0267,0.0052,394.1,461.7,-67.5,38.02,82.95,82.95,B_tight5_s42,1,42,0,safety_cap,2000,428,,5.1322,9.435,0,0,0,192.0,182.25,1,76,175,177,9.43
99.22,61.46,0.0264,0.0182,472.1,620.5,-148.4,81.41,61.96,81.41,B_tight5_s42,2,42,1,success,1938,271,,4.9884,5.493,0,0,0,185.0,183.59,1,57,161,53,5.49
-90.05,21.97,0.0095,0.0272,650.8,393.4,257.4,142.01,122.75,142.01,B_tight5_s42,3,42,0,safety_cap,2000,488,,5.3719,8.944,0,0,0,261.0,258.95,1,98,166,224,8.94
-90.64,54.51,0.0261,0.0125,618.7,490.2,128.6,70.41,140.95,140.95,B_tight5_s42,4,42,1,success,1987,431,6.2131,2.2181,4.411,1,0,0,195.0,187.33,1,64,189,178,4.41
-158.98,11.77,0.0233,0.0333,684.2,432.7,251.5,137.65,216.09,216.09,B_tight5_s42,5,42,1,success,1982,477,,4.1443,5.276,0,0,0,331.0,318.1,1,86,177,214,5.28
-110.69,157.35,0.0223,0.0172,565.6,453.7,111.9,61.9,109.4,109.4,B_tight5_s42,6,42,1,success,1939,345,,5.0267,5.452,0,0,0,187.0,175.35,1,66,168,111,5.45
-18.45,173.59,0.0183,0.0205,514.1,446.3,67.9,37.79,147.65,147.65,B_tight5_s42,7,42,1,success,1600,384,,4.6344,5.712,0,0,0,159.0,157.03,1,30,298,56,5.71
40.01,38.99,0.02,0.0266,539.0,710.8,-171.8,92.7,24.88,92.7,B_tight5_s42,8,42,1,success,1875,306,,5.9777,6.578,0,0,0,136.0,133.28,1,39,198,69,6.58
128.25,106.48,0.0193,0.0168,338.1,598.8,-260.7,145.51,27.42,145.51,B_tight5_s42,9,42,0,safety_cap,2000,401,,3.0267,6.075,0,0,0,153.0,147.9,1,81,156,164,6.07
