gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
143.35,-74.84,0.0408,0.0342,676.0,571.4,104.6,56.45,268.86,268.86,C_tight5_s7,0,7,1,success,1983,404,5.3938,5.3938,4.886,1,0,0,366.0,343.09,1,87,183,134,4.89
142.56,45.99,0.0289,0.0344,556.5,761.6,-205.1,109.83,177.14,177.14,C_tight5_s7,1,7,0,safety_cap,2000,469,,8.4917,7.492,0,0,0,314.0,259.14,1,96,196,177,7.49
-58.09,-157.41,0.0149,0.0166,467.7,718.6,-250.9,136.29,90.1,136.29,C_tight5_s7,2,7,1,success,1928,301,5.0376,5.0376,4.895,1,0,0,139.0,132.68,1,42,214,45,4.89
-151.0,28.28,0.0137,0.0439,578.7,664.6,-86.0,46.4,216.65,216.65,C_tight5_s7,3,7,0,safety_cap,2000,445,,14.4163,13.092,0,0,0,333.0,295.89,1,75,195,175,13.09
102.28,-5.35,0.0172,0.0027,396.5,754.5,-358.0,195.25,68.16,195.25,C_tight5_s7,4,7,0,safety_cap,2000,508,,9.4148,8.781,0,0,0,214.0,205.13,1,101,173,234,8.78
-52.53,-41.06,0.0212,0.0142,382.8,502.8,-120.0,67.37,29.8,67.37,C_tight5_s7,5,7,1,success,1920,486,,8.3168,8.3,0,0,0,66.0,66.49,1,34,218,234,8.3
-84.1,-1.78,0.0318,0.0229,416.6,753.2,-336.6,183.21,136.81,183.21,C_tight5_s7,6,7,1,success,1934,385,,5.7536,5.316,0,0,0,184.0,181.5,1,54,219,112,5.32
17.29,60.98,0.0126,0.0198,644.5,769.8,-125.3,66.42,51.62,66.42,C_tight5_s7,7,7,1,success,1893,483,,3.9463,5.182,0,0,0,84.0,83.96,1,20,291,172,5.18
112.71,124.71,0.041,0.0439,495.7,697.4,-201.6,109.46,35.04,109.46,C_tight5_s7,8,7,0,safety_cap,2000,441,,14.5266,13.59,0,0,0,139.0,139.06,1,68,178,195,13.59
67.3,130.39,0.0072,0.011,338.9,798.1,-459.2,250.83,37.51,250.83,C_tight5_s7,9,7,0,safety_cap,2000,495,,11.3809,10.313,0,0,0,253.0,238.78,1,101,177,217,10.31
-18.46,-42.06,0.0124,0.0138,760.9,680.6,80.4,42.48,20.74,42.48,C_tight5_s7,10,7,1,success,1806,438,,8.5948,7.901,0,0,0,61.0,62.27,1,26,257,155,7.9
115.42,45.38,0.0119,0.0245,415.7,670.6,-254.9,139.97,87.54,139.97,C_tight5_s7,11,7,0,safety_cap,2000,468,,9.2738,9.351,0,0,0,225.0,216.0,1,99,171,198,9.35
36.4,-137.6,0.021,0.0477,730.7,796.4,-65.7,34.41,255.84,255.84,C_tight5_s7,12,7,0,safety_cap,2000,450,,22.7424,20.199,0,0,0,412.0,275.3,1,100,169,181,20.2
82.64,-84.56,0.0279,0.0202,499.2,417.4,81.8,45.74,183.49,183.49,C_tight5_s7,13,7,1,success,1982,411,,23.0104,20.091,0,0,0,241.0,225.33,1,59,186,166,20.09
-124.4,-47.67,0.0156,0.0211,467.5,662.6,-195.1,106.62,87.35,106.62,C_tight5_s7,14,7,1,success,1977,359,,14.0833,12.322,0,0,0,160.0,152.61,1,62,180,117,12.32
55.59,-22.15,0.0083,0.0094,772.9,541.0,231.8,124.23,42.2,124.23,C_tight5_s7,15,7,1,success,1887,373,,5.6824,5.572,0,0,0,129.0,127.36,1,51,198,124,5.57
-55.73,107.01,0.0013,0.0181,553.4,678.6,-125.2,67.68,72.82,72.82,C_tight5_s7,16,7,1,success,1905,331,,13.3327,11.558,0,0,0,106.0,102.12,1,50,221,60,11.56
33.43,-116.23,0.0215,0.0118,661.5,445.5,216.0,118.35,123.06,123.06,C_tight5_s7,17,7,1,success,1867,381,,4.0782,5.18,0,0,0,147.0,140.06,1,39,245,97,5.18
63.95,-143.35,0.0381,0.0479,757.7,640.5,117.3,62.27,315.34,315.34,C_tight5_s7,18,7,1,success,1961,475,,4.9198,5.28,0,0,0,362.0,348.78,1,60,216,199,5.28
96.1,92.43,0.0067,0.0473,318.5,602.5,-284.0,158.81,153.56,158.81,C_tight5_s7,19,7,1,success,1962,476,,6.2156,5.784,0,0,0,267.0,253.93,1,67,203,206,5.78
58.3,157.98,0.0387,0.0211,528.2,797.0,-268.8,143.87,175.69,175.69,C_tight5_s7,20,7,1,success,1938,412,6.2906,6.2906,4.852,1,0,0,212.0,206.87,1,51,219,142,4.85
