gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-39.91,90.93,0.045,0.0054,556.2,428.6,127.6,70.85,186.43,186.43,H16_headline_s42,0,42,1,success,1764,326,,151.3995,135.256,0,0,0,224.0,206.67,1,46,135,145,135.26
165.15,151.8,0.0267,0.0052,394.1,461.7,-67.5,38.02,82.95,82.95,H16_headline_s42,1,42,1,success,1914,382,,171.1537,152.103,0,0,0,180.0,182.25,1,66,151,165,152.1
99.22,61.46,0.0264,0.0182,472.1,620.5,-148.4,81.41,61.96,81.41,H16_headline_s42,2,42,1,success,1859,213,,75.3643,70.293,0,0,0,174.0,183.59,1,48,123,42,70.29
-90.05,21.97,0.0095,0.0272,650.8,393.4,257.4,142.01,122.75,142.01,H16_headline_s42,3,42,1,success,1956,462,,59.112,57.156,0,0,0,252.0,258.95,1,92,151,219,57.16
-90.64,54.51,0.0261,0.0125,618.7,490.2,128.6,70.41,140.95,140.95,H16_headline_s42,4,42,1,success,1812,321,,42.7982,42.426,0,0,0,179.0,187.33,1,50,131,140,42.43
-158.98,11.77,0.0233,0.0333,684.2,432.7,251.5,137.65,216.09,216.09,H16_headline_s42,5,42,1,success,1934,451,,22.3513,30.657,0,0,0,322.0,318.1,1,79,158,214,30.66
-110.69,157.35,0.0223,0.0172,565.6,453.7,111.9,61.9,109.4,109.4,H16_headline_s42,6,42,1,success,1868,289,,44.1415,45.005,0,0,0,177.0,175.35,1,57,135,97,45.0
-18.45,173.59,0.0183,0.0205,514.1,446.3,67.9,37.79,147.65,147.65,H16_headline_s42,7,42,1,success,1376,237,,95.6485,87.305,0,0,0,156.0,157.03,1,27,156,54,87.31
40.01,38.99,0.02,0.0266,539.0,710.8,-171.8,92.7,24.88,92.7,H16_headline_s42,8,42,1,success,1695,180,,127.8681,123.852,0,0,0,126.0,133.28,1,30,125,25,123.85
128.25,106.48,0.0193,0.0168,338.1,598.8,-260.7,145.51,27.42,145.51,H16_headline_s42,9,42,1,success,1930,371,,62.5101,61.581,0,0,0,141.0,147.9,1,73,136,162,61.58
95.25,51.07,0.0257,0.0098,442.2,794.6,-352.3,190.38,74.14,190.38,H16_headline_s42,10,42,1,success,1939,459,,135.1919,127.15,0,0,0,213.0,215.64,1,85,157,217,127.15
38.4,74.41,0.0259,0.0363,411.2,778.2,-367.0,199.35,80.7,199.35,H16_headline_s42,11,42,1,success,1952,456,,30.8252,35.845,0,0,0,254.0,232.63,1,98,155,203,35.85
90.47,-141.28,0.0172,0.0406,398.6,735.6,-337.0,184.14,198.56,198.56,H16_headline_s42,12,42,1,success,1943,449,,55.9924,56.368,0,0,0,344.0,273.5,1,87,163,199,56.37
126.21,-15.44,0.0065,0.0498,361.5,640.0,-278.6,154.39,207.69,207.69,H16_headline_s42,13,42,1,success,1915,436,,71.6464,74.84,0,0,0,270.0,281.79,1,51,171,214,74.84
64.11,-88.35,0.0125,0.0078,387.4,552.6,-165.3,92.21,74.97,92.21,H16_headline_s42,14,42,1,success,1779,184,,40.8933,42.31,0,0,0,150.0,156.78,1,40,118,26,42.31
-170.92,14.36,0.0319,0.0288,507.1,778.7,-271.6,145.96,226.06,226.06,H16_headline_s42,15,42,1,success,1924,390,,55.2133,56.659,0,0,0,320.0,317.21,1,81,161,148,56.66
83.91,-62.82,0.0255,0.0241,411.0,707.9,-296.8,162.43,178.08,178.08,H16_headline_s42,16,42,1,success,1941,447,,49.7959,52.014,0,0,0,331.0,245.93,1,95,158,194,52.01
-124.9,-12.82,0.023,0.0107,376.0,700.9,-324.9,178.62,107.88,178.62,H16_headline_s42,17,42,1,success,1855,400,,47.5001,48.54,0,0,0,173.0,173.76,1,67,160,173,48.54
-30.87,11.35,0.013,0.0026,723.1,576.6,146.5,78.61,42.56,78.61,H16_headline_s42,18,42,1,success,1664,354,,63.0522,59.498,0,0,0,105.0,111.85,1,29,141,184,59.5
65.12,-139.22,0.0481,0.0168,618.2,739.6,-121.5,64.79,239.06,239.06,H16_headline_s42,19,42,1,success,1769,324,,164.1762,157.654,0,0,0,272.0,273.6,1,44,164,116,157.65
-103.57,45.41,0.0165,0.0484,521.0,790.9,-269.9,144.65,235.71,235.71,H16_headline_s42,20,42,1,success,1822,266,,181.657,174.849,0,0,0,297.0,291.04,1,55,129,82,174.85
-32.2,-79.93,0.0125,0.0028,373.3,537.6,-164.3,91.97,41.07,91.97,H16_headline_s42,21,42,1,success,1538,298,,132.8799,122.289,0,0,0,85.0,90.33,1,30,153,115,122.29
