rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90,e_max,band
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.999,1.0,1.0,0.999,1.0,0.01720512860763197,0.03363809462515584,0.0,259.3322865799203,348.1435338404393,214.9696909185106,291.0579531574202,118.66317435210564,0.6949936781356347,2667.2355719173006,0.02,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,1.0,1.0,1.0,1.0,1.0,0.014016789148291572,0.01884919595269635,0.0,238.9258066178669,319.30167400816094,200.61111357269056,267.6193451983162,118.65086091414048,0.6949936781356347,2667.2355719173006,0.02,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.9854,0.999,1.0,0.9854,0.999,0.02523657606305875,0.04982603935538416,0.0,290.9502731214076,392.4360739577769,240.73402554078547,329.8067806685137,117.98651509438994,0.6963312673495208,2672.543868145821,0.03,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,1.0,1.0,1.0,1.0,1.0,0.020844444938841064,0.02828019277149786,0.0,263.9626206991553,342.4693203427981,218.1846183547268,288.74301502636337,117.83820260989957,0.6963312673495208,2672.543868145821,0.03,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.9434,0.9894,1.0,0.9434,0.9894,0.03378094437019791,0.06631300885926777,0.0,319.1164094365904,444.07838798356187,264.1137833765865,373.53045631632773,116.67969307777764,0.702767964152346,2672.044410441245,0.04,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,1.0,1.0,1.0,1.0,1.0,0.027903382579459825,0.037862226283568196,0.0,286.83942846249704,368.8686812774852,236.44492881661841,310.4191237910797,116.62337484638253,0.702767964152346,2672.044410441245,0.04,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.8748,0.952,1.0,0.8748,0.952,0.04206582219131064,0.08176366322426855,0.0,348.58519969107925,496.13036580138476,289.6319210326085,423.0279245911638,115.93603486480478,0.7061784183099462,2661.731579465284,0.05,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.998,1.0,1.0,0.998,1.0,0.03475013270701556,0.04741782986424618,0.0,311.0800056043744,399.590290389261,257.7160197855023,335.39580894496737,116.01357559784707,0.7061784183099462,2661.731579465284,0.05,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.7952,0.902,1.0,0.7952,0.902,0.04996321111198332,0.0971867265307447,0.0,375.4127932713661,547.8087239754489,313.2138640865478,475.2039920417063,115.58499422071665,0.7106335315817083,2666.578246705616,0.06,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9806,1.0,1.0,0.9806,1.0,0.041363706814662,0.05679754315846673,0.0,334.89685221769906,426.5281899500919,278.2363919783637,359.80983021412584,115.71038426821272,0.7106335315817083,2666.578246705616,0.06,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.7054,0.8306,1.0,0.7054,0.8306,0.054684989091309796,0.1182175630980285,0.0,398.20059462332733,614.7767899237135,334.0371463052438,541.728393397676,114.82176826663644,0.7027913394573664,2685.921632295395,0.08,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.981,1.0,1.0,0.981,1.0,0.04168124774455485,0.05691652630644449,0.0,334.7394654094187,425.58019243699823,277.7288957187512,359.6247427123512,114.97999818274248,0.7027913394573664,2685.921632295395,0.08,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.6382,0.756,1.0,0.6382,0.756,0.059331277969630246,0.1390159074950975,0.0,413.3815674243398,686.8736463202107,348.9550696505139,614.3812729479396,114.19542150144706,0.7086319047948708,2679.8487276611704,0.1,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9832,1.0,1.0,0.9832,1.0,0.04164443603795909,0.05682419452239498,0.0,333.6306152296962,425.12083362093784,277.0109738972436,359.35853809116503,114.28436952233977,0.7086319047948708,2679.8487276611704,0.1,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.5906,0.6982,1.0,0.5906,0.6982,0.06448840778116738,0.16079153035151741,0.0,429.562023302935,754.7866881195407,365.8379928776253,681.4456506439567,113.65947730312115,0.7142539935385133,2683.7487273792767,0.12,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9842,1.0,1.0,0.9842,1.0,0.04183711458059135,0.05683539951864199,0.0,332.2130655298557,425.37063322439917,275.997935698537,358.85947352836905,114.00167270893324,0.7142539935385133,2683.7487273792767,0.12,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.5566,0.6522,1.0,0.5566,0.6522,0.07017035551424966,0.18747340936537593,0.0,444.6474398750053,848.345177201273,380.4668388876038,773.6139904469484,112.81199107425007,0.7092995301766987,2688.535002091246,0.15,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9854,1.0,1.0,0.9854,1.0,0.04184863173771276,0.05678847910339396,0.0,331.4403069270095,420.4324728491478,275.2129312866951,355.2677208657957,113.15953537214676,0.7092995301766987,2688.535002091246,0.15,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.5366,0.6268,1.0,0.5366,0.6268,0.07298364736163476,0.21240485507700185,0.0,456.49002154183916,926.1728191260509,390.28031886491556,854.1477425327524,112.23539121867104,0.7044302683582029,2700.40434263606,0.2,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9892,1.0,1.0,0.9892,1.0,0.04155159532195049,0.0565004113461099,0.0,329.3460931979976,417.65154927912755,272.5447276767395,354.2170331580649,113.08790525050345,0.7044302683582029,2700.40434263606,0.2,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
