rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90
W1 500-800 e=0 same-orbit,realized,0.0,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.1,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.2,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.25,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.3,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.4,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.5,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.6,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.75,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,0.9,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,1.0,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,1.25,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,1.5,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W1 500-800 e=0 same-orbit,realized,2.0,6000,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.81644112566033,82.11124965196755,53.81644112566033,82.11124965196755,0.0,0.0,2853.960118814357
W2 300-800 e<=0.05,realized,0.0,6000,0.9995,0.9995,1.0,0.9995,0.9995,0.030632383166991052,0.05526741375945996,0.0,222.18146422227193,331.6711305927329,222.18146422227193,331.6711305927329,0.0,0.0,2634.381060630959
W2 300-800 e<=0.05,realized,0.1,6000,0.999,0.9993333333333333,1.0,0.999,0.9993333333333333,0.03153304370065573,0.05695285577181561,0.0,234.68573323369333,346.6537102041035,226.4210166561677,338.53357677090867,12.223971812600114,0.07004867748446356,2655.4816352353328
W2 300-800 e<=0.05,realized,0.2,6000,0.9986666666666667,0.9993333333333333,1.0,0.9986666666666667,0.9993333333333333,0.031533045111897834,0.05695283924661442,0.0,242.9464312707992,355.72443526901395,227.73760995805424,339.2419342322274,24.447934895294196,0.1400973549689271,2655.4816352353328
W2 300-800 e<=0.05,realized,0.25,6000,0.9978333333333333,0.9993333333333333,1.0,0.9978333333333333,0.9993333333333333,0.03153304617032875,0.05695282685271581,0.0,247.4142045283536,360.25923842756293,228.42795295052304,339.6213165952777,30.55991043483237,0.1751216937111589,2655.4816352353328
W2 300-800 e<=0.05,realized,0.3,6000,0.9975,0.9993333333333333,1.0,0.9975,0.9993333333333333,0.03153304746396579,0.05695281170462017,0.0,251.64312489121147,364.550728278141,229.56393490153133,340.3187256182063,36.67188051818244,0.21014603245339064,2655.4816352353328
W2 300-800 e<=0.05,realized,0.4,6000,0.9963333333333333,0.9993333333333333,1.0,0.9963333333333333,0.9993333333333333,0.03153305075685631,0.05695277314584439,0.0,260.34739074121666,373.3647280844056,232.10616398513628,341.997923424116,48.89579995137754,0.2801947099378542,2655.4816352353328
W2 300-800 e<=0.05,realized,0.5,6000,0.9938333333333333,0.9993333333333333,1.0,0.9938333333333333,0.9993333333333333,0.031533054990564774,0.056952723570303294,0.0,268.98173010470214,382.35043061786104,234.7970166627797,343.81781356974534,61.11968446501086,0.3502433874223178,2655.4816352353328
W2 300-800 e<=0.05,realized,0.6,6000,0.9916666666666667,0.9991666666666666,1.0,0.9916666666666667,0.9991666666666666,0.031533060165085246,0.05695266297801771,0.0,277.8112144602045,391.2103190770377,238.27395995331779,346.1113760516448,73.34352532923874,0.4202920649067813,2655.4816352353328
W2 300-800 e<=0.05,realized,0.75,6000,0.9861666666666666,0.9988333333333334,1.0,0.9861666666666666,0.9988333333333334,0.03153306969087221,0.05695255143325032,0.0,291.1052771583022,405.5268166703263,244.77148796411308,350.78434031323826,91.67918568649056,0.5253650811334767,2655.4816352353328
W2 300-800 e<=0.05,realized,0.9,6000,0.9776666666666667,0.9988333333333334,1.0,0.9776666666666667,0.9988333333333334,0.031533081333439475,0.05695241510097155,0.0,304.14230764579804,419.75145404588136,251.67772528205856,356.1890455624354,110.01469872755794,0.6304380973601721,2655.4816352353328
W2 300-800 e<=0.05,realized,1.0,6000,0.968,0.9988333333333334,1.0,0.968,0.9988333333333334,0.03153309027112215,0.05695231044200869,0.0,312.4159056007758,429.203838085701,256.5380922799375,360.120530008563,122.2382776964443,0.7004867748446356,2655.4816352353328
W2 300-800 e<=0.05,realized,1.25,6000,0.9376666666666666,0.9975,1.0,0.9376666666666666,0.9975,0.031533116731134125,0.056952000597210985,0.0,334.99877725021713,453.2806981228418,271.21111169590955,371.53475376703875,152.79682409387186,0.8756084685557946,2655.4816352353328
W2 300-800 e<=0.05,realized,1.5,6000,0.9005,0.9946666666666667,1.0,0.9005,0.9946666666666667,0.03153314907067612,0.05695162189967045,0.0,357.1651039870197,477.72136947335224,288.1607163596501,385.6301137308314,183.35468848020864,1.0507301622669534,2655.4816352353328
W2 300-800 e<=0.05,realized,2.0,6000,0.7775,0.978,1.0,0.7775,0.978,0.03153323138716427,0.056950657950517784,0.0,402.23450763406805,530.6067054383593,325.07429318402285,422.2961623165827,244.46782564118334,1.4009735496892712,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.0,6000,0.9995,0.9995,1.0,0.9995,0.9995,0.030632383166991052,0.05526741375945996,0.0,222.18146422227193,331.6711305927329,222.18146422227193,331.6711305927329,0.0,0.0,2634.381060630959
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.1,6000,0.999,0.9993333333333333,1.0,0.999,0.9993333333333333,0.03153304370065573,0.05695285577181561,0.0,234.68573323369333,346.6537102041035,226.4210166561677,338.53357677090867,12.223971812600114,0.07004867748446356,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.2,6000,0.9986666666666667,0.9993333333333333,1.0,0.9986666666666667,0.9993333333333333,0.031533045111897834,0.05695283924661442,0.0,242.9464312707992,355.72443526901395,227.73760995805424,339.2419342322274,24.447934895294196,0.1400973549689271,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.25,6000,0.9978333333333333,0.9993333333333333,1.0,0.9978333333333333,0.9993333333333333,0.03153304617032875,0.05695282685271581,0.0,247.4142045283536,360.25923842756293,228.42795295052304,339.6213165952777,30.55991043483237,0.1751216937111589,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.3,6000,0.9975,0.9993333333333333,1.0,0.9975,0.9993333333333333,0.03153304746396579,0.05695281170462017,0.0,251.64312489121147,364.550728278141,229.56393490153133,340.3187256182063,36.67188051818244,0.21014603245339064,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.4,6000,0.9963333333333333,0.9993333333333333,1.0,0.9963333333333333,0.9993333333333333,0.03153305075685631,0.05695277314584439,0.0,260.34739074121666,373.3647280844056,232.10616398513628,341.997923424116,48.89579995137754,0.2801947099378542,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.5,6000,0.9938333333333333,0.9993333333333333,1.0,0.9938333333333333,0.9993333333333333,0.031533054990564774,0.056952723570303294,0.0,268.98173010470214,382.35043061786104,234.7970166627797,343.81781356974534,61.11968446501086,0.3502433874223178,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.6,6000,0.9916666666666667,0.9991666666666666,1.0,0.9916666666666667,0.9991666666666666,0.031533060165085246,0.05695266297801771,0.0,277.8112144602045,391.2103190770377,238.27395995331779,346.1113760516448,73.34352532923874,0.4202920649067813,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.75,6000,0.9861666666666666,0.9988333333333334,1.0,0.9861666666666666,0.9988333333333334,0.03153306969087221,0.05695255143325032,0.0,291.1052771583022,405.5268166703263,244.77148796411308,350.78434031323826,91.67918568649056,0.5253650811334767,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,0.9,6000,0.9776666666666667,0.9988333333333334,1.0,0.9776666666666667,0.9988333333333334,0.031533081333439475,0.05695241510097155,0.0,304.14230764579804,419.75145404588136,251.67772528205856,356.1890455624354,110.01469872755794,0.6304380973601721,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,1.0,6000,0.968,0.9988333333333334,1.0,0.968,0.9988333333333334,0.03153309027112215,0.05695231044200869,0.0,312.4159056007758,429.203838085701,256.5380922799375,360.120530008563,122.2382776964443,0.7004867748446356,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,1.25,6000,0.9376666666666666,0.9975,1.0,0.9376666666666666,0.9975,0.031533116731134125,0.056952000597210985,0.0,334.99877725021713,453.2806981228418,271.21111169590955,371.53475376703875,152.79682409387186,0.8756084685557946,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,1.5,6000,0.9005,0.9946666666666667,1.0,0.9005,0.9946666666666667,0.03153314907067612,0.05695162189967045,0.0,357.1651039870197,477.72136947335224,288.1607163596501,385.6301137308314,183.35468848020864,1.0507301622669534,2655.4816352353328
"X3 300-800 e<=0.05 (LEO 3D, SOLVED)",realized,2.0,6000,0.7775,0.978,1.0,0.7775,0.978,0.03153323138716427,0.056950657950517784,0.0,402.23450763406805,530.6067054383593,325.07429318402285,422.2961623165827,244.46782564118334,1.4009735496892712,2655.4816352353328
W3 300-2000 e<=0.15 de.06 da400,realized,0.0,6000,1.0,1.0,1.0,1.0,1.0,0.04159800048647505,0.056817872279510066,0.0,250.1361309298378,336.4166495896752,250.1361309298378,336.4166495896752,0.0,0.0,2710.2898100504326
W3 300-2000 e<=0.15 de.06 da400,realized,0.1,6000,0.6526666666666666,0.6618333333333334,1.0,0.6526666666666666,0.6618333333333334,0.06978967135687317,0.1881680572087243,0.0,373.88861707934564,780.7430168928363,366.21019432194663,771.9605186151481,11.29432481882002,0.07069266967303231,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.2,6000,0.644,0.6616666666666666,1.0,0.644,0.6616666666666666,0.06978966758919988,0.18816805412615428,0.0,381.5112736164308,787.9624839145065,366.5799665487923,772.0711453721523,22.588642353151666,0.14138533934606462,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.25,6000,0.6388333333333334,0.6613333333333333,1.0,0.6388333333333334,0.6613333333333333,0.069789664763445,0.1881680518142277,0.0,385.4709669725521,790.8869841425322,367.00670274706636,772.1214460578822,28.235796112232883,0.1767316741825808,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.3,6000,0.6346666666666667,0.6608333333333334,1.0,0.6346666666666667,0.6608333333333334,0.06978966130974465,0.18816804898854061,0.0,389.3777540284344,794.4072691113245,367.47100301753153,772.1829157902682,33.882945318511254,0.2120780090190969,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.4,6000,0.6248333333333334,0.6605,1.0,0.6248333333333334,0.6605,0.06978962384129617,0.18816804179588761,0.0,397.0545642677605,803.8840267271369,368.3666618247497,772.3393401553437,45.17722643042454,0.28277067869212924,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.5,6000,0.613,0.6598333333333334,1.0,0.613,0.6598333333333334,0.06978954921305441,0.18816803254820147,0.0,404.7819636580697,811.5067744130372,369.4853732993093,772.7302893818352,56.47147840443133,0.3534633483651616,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.6,6000,0.6021666666666666,0.6585,1.0,0.6021666666666666,0.6585,0.06978945800092981,0.18816802124549015,0.0,413.0053471773078,819.0192739877268,371.2991050995266,773.8619651965055,67.76569395609029,0.4241560180381938,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.75,6000,0.5856666666666667,0.6558333333333334,1.0,0.5856666666666667,0.6558333333333334,0.06978929008819176,0.1881680004382726,0.0,426.2580601860957,830.529436036703,374.2951416140179,775.9151975428828,84.70693305702011,0.5301950225477423,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,0.9,6000,0.568,0.6531666666666667,1.0,0.568,0.6531666666666667,0.06978908486237684,0.18816797500731078,0.0,437.6124868869495,841.8849720298788,377.8572076384641,777.2024027460888,101.64804923294747,0.6362340270572908,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,1.0,6000,0.5555,0.6503333333333333,1.0,0.5555,0.6503333333333333,0.06978892731593206,0.18816795548461332,0.0,445.4621290814365,849.4917189735246,380.2945166003863,778.4119718119609,112.94204625134222,0.7069266967303232,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,1.25,6000,0.5218333333333334,0.6418333333333334,1.0,0.5218333333333334,0.6418333333333334,0.06978846089882326,0.18816789768746472,0.0,466.51366234993526,867.8123939442661,387.7855702773775,781.2905438287684,141.17670417011834,0.8836583709129038,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,1.5,6000,0.4796666666666667,0.634,1.0,0.4796666666666667,0.634,0.06978789084014142,0.18816782704713686,0.0,487.52010475918064,888.6666496869494,398.24453999417307,784.4179651155745,169.41079299790565,1.0603900450954846,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,realized,2.0,6000,0.3845,0.6048333333333333,1.0,0.3845,0.6048333333333333,0.0697864398148032,0.18816764723852777,0.0,531.4886184662812,927.6890907631836,423.29457501211584,792.1645054529753,225.87680813068104,1.4138533934606463,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.0,6000,1.0,1.0,1.0,1.0,1.0,0.04159800048647505,0.05681787227951007,0.0,250.1361309298378,336.4166495896752,250.1361309298378,336.4166495896752,0.0,0.0,2710.2898100504326
W3 300-2000 e<=0.15 de.06 da400,intended,0.1,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,258.07777740237407,342.57999666054616,250.66511695089287,335.0895301848964,11.3443220967652,0.07069266967303231,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.2,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,266.39115073125765,350.1892960225697,251.44908772246424,335.5706781196267,22.688636585625705,0.14138533934606462,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.25,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,270.5959204415321,354.22876534578853,251.9650511654111,335.96181352629486,28.360788599622726,0.1767316741825808,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.3,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,274.68673502788135,358.65119277870974,252.5625694416982,336.46604998854974,34.03293585868191,0.2120780090190969,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.4,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,282.6269081038721,366.94908572576344,254.1828160369646,338.0442675017063,45.37721230804447,0.28277067869212924,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.5,6000,1.0,1.0,1.0,1.0,1.0,0.04138683734040822,0.05672422338443858,0.0,290.68193936736157,374.9147197001256,256.3362104097538,339.77201912109837,56.721458325839286,0.3534633483651616,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.6,6000,0.999,1.0,1.0,0.999,1.0,0.04138683734040822,0.05672422338443858,0.0,298.06426464234653,383.3630970808742,258.63833449733056,341.5534264599698,68.06566630421273,0.4241560180381938,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.75,6000,0.9968333333333333,1.0,1.0,0.9968333333333333,1.0,0.04138683734040822,0.05672422338443858,0.0,310.3633277677049,396.74487415709154,263.5122708205522,345.2946906784944,85.08189030574206,0.5301950225477423,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,0.9,6000,0.9905,1.0,1.0,0.9905,1.0,0.04138683734040822,0.05672422338443858,0.0,322.6327048955112,410.4382287500021,269.660613521492,349.9497484313231,102.09798592468195,0.6362340270572908,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,1.0,6000,0.9851666666666666,1.0,1.0,0.9851666666666666,1.0,0.04138683734040822,0.05672422338443858,0.0,330.0968606988105,418.9804826877696,273.94936255046395,353.7301557838457,113.44196566742058,0.7069266967303232,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,1.25,6000,0.9636666666666667,1.0,1.0,0.9636666666666667,1.0,0.04138683734040822,0.05672422338443858,0.0,349.2830084471127,443.0464719714578,285.0956466377366,364.7561356817436,141.80156554046007,0.8836583709129038,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,1.5,6000,0.9233333333333333,0.9996666666666667,1.0,0.9233333333333333,0.9996666666666667,0.04138683734040822,0.05672422338443858,0.0,369.3285745304455,467.21724288508597,298.54336432503436,378.0819561969397,170.16057105644003,1.0603900450954846,2696.161146851598
W3 300-2000 e<=0.15 de.06 da400,intended,2.0,6000,0.7805,0.9926666666666667,1.0,0.7805,0.9926666666666667,0.04138683734040822,0.05672422338443858,0.0,409.92298012969843,517.3784257088075,327.4773889562084,411.2426882727069,226.8763235565017,1.4138533934606463,2696.161146851598
W4 300-8000 e<=0.30 de.08 da600,realized,0.0,6000,0.993,0.993,1.0,0.993,0.993,0.056219515476418805,0.07570526409417545,0.0,254.34743905134252,359.86059987768186,254.34743905134252,359.86059987768186,0.0,0.0,5436.405650863947
W4 300-8000 e<=0.30 de.08 da600,realized,0.1,6000,0.42383333333333334,0.42966666666666664,1.0,0.42383333333333334,0.42966666666666664,0.15006885571205053,0.41055700479187285,0.0,563.2633162960274,1317.3299021217974,556.9309529532588,1312.0099735147342,9.310356741496793,0.07107166619875796,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.2,6000,0.41633333333333333,0.4295,1.0,0.41633333333333333,0.4295,0.1500688639994499,0.4105569794937505,0.0,569.2771710945308,1323.148767107516,557.1421693387044,1312.0457690466487,18.620708462136868,0.14214333239751592,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.25,6000,0.412,0.4295,1.0,0.412,0.4295,0.15006887021494358,0.41055696052015933,0.0,573.4790305507377,1326.4536193986173,557.2609995651775,1312.0726149558595,23.27588087061858,0.1776791654968949,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.3,6000,0.4081666666666667,0.42933333333333334,1.0,0.4081666666666667,0.42933333333333334,0.150068877811593,0.41055693733021553,0.0,576.390672745265,1329.5844021758437,557.3952194115577,1312.1234920668294,27.931050141066216,0.21321499859627385,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.4,6000,0.4028333333333333,0.42883333333333334,1.0,0.4028333333333333,0.42883333333333334,0.15006889714819613,0.4105568783012717,0.0,583.2442833105697,1336.4941618894402,557.7155195214327,1312.316827021833,37.24137675743626,0.28428666479503184,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.5,6000,0.39766666666666667,0.4285,1.0,0.39766666666666667,0.4285,0.15006892200886202,0.41055680240692366,0.0,590.1712523855094,1343.7987775907027,558.1244424278809,1312.5614539486576,46.55168329040652,0.3553583309937898,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.6,6000,0.3895,0.42766666666666664,1.0,0.3895,0.42766666666666664,0.15006895239307988,0.41055670964717816,0.0,596.4780518547361,1351.5741317699894,558.5428467296848,1312.841054524873,55.86196471914739,0.4264299971925477,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.75,6000,0.37883333333333336,0.42633333333333334,1.0,0.37883333333333336,0.42633333333333334,0.15006900832467018,0.41055653888495675,0.0,606.5568203731958,1361.4679752595637,559.3355908758945,1313.1304208344468,69.82732880879782,0.5330374964906848,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,0.9,6000,0.36666666666666664,0.42483333333333334,1.0,0.36666666666666664,0.42483333333333334,0.15006907668023606,0.41055633017564097,0.0,617.0381551162861,1370.0712469007271,560.7674946757163,1313.2146645185358,83.79260817191694,0.6396449957888217,5453.546446514301
