a_m,cell,di_full_deg,di_max_deg,di_residual_deg,dv_0p5deg,dv_1deg,dv_p50,dv_p90,ecc,frac_over_budget,frac_over_residual,i_max_deg,mean_dw,n_burns_10,n_burns_25,pct_budget,probe,v_circ,v_ratio
6771000.0,LEO headline  a=6.771e6 (400 km),3.5710532920587643,,2.159229595417207,66.95584184126464,133.91040893981537,,,,,,,,,,,B1,7672.598648385013,
7171000.0,LEO band top  a=7.171e6 (800 km),3.675055821469347,,2.222101011315748,65.06164212630941,130.12204557273705,,,,,,,,,,,B1,7455.538661189395,
10371000.0,WL4 wide      a=1.037e7 (4000 km),4.419952857483714,,2.67236885267269,54.100909304412596,108.20078860549681,,,,,,,,,,,B1,6199.527213615213,
14371000.0,WL4 top       a=1.437e7 (8000 km),5.203461938274041,,3.1458989349782374,45.959086408540564,91.9172978223245,,,,,,,,,,,B1,5266.540074205392,
26571000.0,M5 MEO top    a=2.657e7 (20200 km),7.077497520805827,,4.278106166015272,33.79955107554538,67.59845865635928,,,,,,,,,,,B1,3873.1555420221052,
,i_max=0.1deg,,,,,,9.231096514831963,16.420718823210816,,0.0,0.0,0.1,0.0012639654611351977,,,,B2,,
,i_max=0.25deg,,,,,,23.07739991943075,41.050940586684966,,0.0,0.0,0.25,0.0031583030617880537,,,,B2,,
,i_max=0.5deg,,,,,,46.18323341002771,82.27572330505599,,0.0,0.0,0.5,0.006327581098315336,,,,B2,,
,i_max=1.0deg,,,,,,92.18097776308673,164.15140463487265,,0.0,0.0,1.0,0.012632136803082592,,,,B2,,
,i_max=2.0deg,,,,,,184.25442914891838,329.36904865202104,,0.003,0.16653,2.0,0.025260321122914334,,,,B2,,
,i_max=5.0deg,,,,,,461.5367288161585,821.6629359313653,,0.47485,0.75221,5.0,0.06321653206007052,,,,B2,,
,i_max=15.0deg,,,,,,1380.9335111569649,2452.667797822361,,0.904665,0.95878,15.0,0.1886968815858685,,,,B2,,
,i_max=51.6deg,,,,,,4623.222304370487,7940.842470074662,,0.988755,0.99537,51.6,0.6233558604083181,,,,B2,,
,i_max=98.0deg,,,,,,8146.434772689059,12716.426015699728,,0.99645,0.99855,98.0,1.0544789388968046,,,,B2,,
,di_max=0.05deg,,0.05,,,,,6.2850682762905405,,,0.0,,,1,1,1.3145106728617424,B3,,
,di_max=0.1deg,,0.1,,,,,12.56672131946537,,,0.0,,,2,1,2.628307055888663,B3,,
,di_max=0.25deg,,0.25,,,,,31.421266815215667,,,0.0,,,4,2,6.57170117614298,B3,,
,di_max=0.5deg,,0.5,,,,,62.824460528910585,,,0.0,,,7,3,13.139622395761007,B3,,
,di_max=1.0deg,,1.0,,,,,125.71897959593615,,,0.0,,,13,6,26.293897408172917,B3,,
,di_max=1.5deg,,1.5,,,,,188.35502414608183,,,0.0,,,19,8,39.394112942443094,B3,,
,di_max=2.0deg,,2.0,,,,,251.45733677960652,,,0.0,,,26,11,52.59184760380513,B3,,
,di_max=3.0deg,,3.0,,,,,377.089758133728,,,0.472215,,,38,16,78.86764151211334,B3,,
,e=0.0,,,,,132.4513284731925,,,0.0,,,,,,,,B4,,1.0
,e=0.05,,,,,125.9863435290011,,,0.05,,,,,,,,B4,,0.9511897312113418
,e=0.1,,,,,119.80673441718989,,,0.1,,,,,,,,B4,,0.9045340337332909
,e=0.2,,,,,108.14605683769683,,,0.2,,,,,,,,B4,,0.816496580927726
,e=0.3,,,,,97.19270346948522,,,0.3,,,,,,,,B4,,0.7337993857053428
,e=0.5,,,,,76.47081014852122,,,0.5,,,,,,,,B4,,0.5773502691896257
