band,alt_lo_km,alt_hi_km,e_max,de_max,da_max_km,same_orbit,horizon,di_max_deg,n,budget_ms,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,dv_seq_p50,dv_seq_p90,dv_seq_p99,dv_comb_p90,dv_plane_p50,dv_plane_p90,theta_p50,theta_p90,steps_p50,steps_p90
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.0,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,53.910907197034675,82.06664852857334,105.71216267618816,82.06664852857334,0.0,0.0,0.0,0.0,2291.4279547038323,2843.259464226083
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.1,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,63.35348863263497,92.84443027954568,117.16315578343172,92.84443027954568,9.310348897226838,12.551381915808884,0.07088970096927436,0.09531892573044164,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.2,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,73.05798677484867,104.4927067659111,129.27803783490782,104.4927067659111,18.62069426839037,25.102754974948073,0.1417794019385487,0.19063785146088327,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.3,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,82.69643243810772,116.18196301601358,141.30607835161587,116.18196301601358,27.931032587428625,37.65411032075413,0.21266910290782304,0.28595677719132484,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.4,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,91.40919716163737,127.54068543001,153.67004128692446,127.54068543001,37.24136032828231,50.205439096576114,0.2835588038770974,0.38127570292176655,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.5,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,99.31682055279444,138.99995610657373,166.02952190064963,138.99995610657373,46.55167396489613,62.75673244578184,0.35444850484637175,0.4765946286522082,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.6,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,106.84124986029022,150.2486837726788,178.38896042322634,150.2486837726788,55.861969971220134,75.30798151176408,0.4253382058156461,0.5719135543826497,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.75,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,121.75662117009182,167.17924148996843,196.92802087145787,167.17924148996843,69.82737321069527,94.13475270594367,0.5316727572695576,0.7148919429783123,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,0.9,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,136.16151872567394,184.21245572536645,214.46609407894357,184.21245572536645,83.792716948062,112.96137444480435,0.6380073087234692,0.8578703315739747,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,1.0,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,145.67791885591927,195.64099416764844,226.37475000304514,195.64099416764844,93.10290717288086,125.51235781253952,0.7088970096927435,0.9531892573044164,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,1.2,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,165.05055301579995,218.1108819711633,247.66996972268316,218.1108819711633,111.72317831529074,150.6140499946867,0.8506764116312922,1.1438271087652994,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,1.5,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,193.21521202673503,252.186639562125,283.69972584218806,252.186639562125,139.65325887121662,188.26576904077885,1.0633455145391153,1.4297838859566245,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,1.75,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,216.94653500894958,282.2962124932923,314.5453256536419,282.2962124932923,162.92796642120402,219.64129840700852,1.240569766962301,1.6680812002827288,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,2.0,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,240.67981063960718,312.38225076423504,347.17240424328276,312.38225076423504,186.20228831551333,251.01585911006524,1.417794019385487,1.9063785146088328,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,2.5,4000,478.12987798780637,0.99925,0.99925,1.0,0.99925,0.99925,287.4428226760098,373.82345693553157,410.8620303820288,373.82345693553157,232.74955477390245,313.76152105855266,1.7722425242318587,2.382973143261041,2281.6117663069826,2848.115981796865
L1/WL1 e=0 same-orbit 500-800,500,800,0.0,-1,-1,1,3000,3.0,4000,478.12987798780637,0.9925,0.9925,1.0,0.9925,0.9925,333.781502396493,434.9681898516444,475.0083884698527,434.9681898516444,279.29461753121006,376.5016480025118,2.1266910290782306,2.859567771913249,2281.6117663069826,2848.115981796865
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.0,4000,478.12987798780637,0.99125,0.99125,1.0,0.99125,0.99125,235.60278073074784,365.5015150280644,472.75120106178593,365.5015150280644,0.0,0.0,0.0,0.0,1254.7177519705133,2665.351903218254
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.1,4000,478.12987798780637,0.9925,0.994,1.0,0.9925,0.994,241.2867068174339,371.983065035355,470.3105482216731,364.4710463195315,9.028566226418405,12.251403107892711,0.06970410984121031,0.09498271563770683,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.2,4000,478.12987798780637,0.99,0.994,1.0,0.99,0.994,250.25354681075262,380.3025657239603,476.7926071900812,365.156216233924,18.057129030757878,24.5027974423064,0.13940821968242062,0.18996543127541365,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.3,4000,478.12987798780637,0.9875,0.99375,1.0,0.9875,0.99375,258.5204519199276,388.6059298213248,484.598591799567,365.9027346864136,27.085684990940766,36.7541742297683,0.20911232952363093,0.2849481469131205,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.4,4000,478.12987798780637,0.98325,0.99375,1.0,0.98325,0.99375,267.30017035856133,397.5644134614252,490.8577839135265,366.9491520696734,36.11423068489205,49.00552469681827,0.27881643936484124,0.3799308625508273,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.5,4000,478.12987798780637,0.97725,0.9935,1.0,0.97725,0.9935,275.481435040909,406.72645482438224,499.7832579659844,368.3979141551108,45.142762690540565,61.25684007001497,0.3485205492060516,0.4749135781885342,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.6,4000,478.12987798780637,0.9705,0.993,1.0,0.9705,0.993,284.0881516016781,414.9834458921017,508.2294259454293,370.05218472071573,54.17127758582035,73.5081115759422,0.41822465904726186,0.569896293826241,1285.0148423820888,2691.783977167629
