alt_km,i_deg,dRAAN_deg,theta_exact_deg,theta_smallangle_deg,lin_err_pct,dv_ms,dv_per_deg_RAAN,dv_per_deg_incl,cost_ratio_RAAN_to_incl,node_u_deg
400.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,133.91040893981537,0.0,90.0
400.0,5.0,0.1,0.008715573176999333,0.008715574274765816,1.259545943177409e-05,1.167120780650252,11.671207806502519,133.91040893981537,0.08715683791054675,90.0
400.0,5.0,0.25,0.021788918529514735,0.02178893568691454,7.87436961688299e-05,2.91780000678366,11.67120002713464,133.91040893981537,0.08715677981672164,90.0
400.0,5.0,0.5,0.04357773414721485,0.04357787137382908,0.00031490075589532345,5.835586126937714,11.671172253875428,133.91040893981537,0.08715657241492641,90.0
400.0,5.0,1.0,0.08715464493620846,0.08715574274765817,0.0012596132432277475,11.671061152337725,11.671061152337725,133.91040893981537,0.0871557427442639,90.0
400.0,5.0,2.0,0.17430270312381774,0.17431148549531633,0.0050385744691298934,23.341233509021787,11.670616754510894,133.91040893981537,0.08715242412377465,90.0
400.0,5.0,5.0,0.4356414994142663,0.4357787137382908,0.03149707367388293,58.33753125544336,11.667506251088671,133.91040893981537,0.08712919588149798,90.0
400.0,28.5,0.1,0.04771587134384327,0.04771587602596085,9.812495177556697e-06,6.389732760612208,63.89732760612208,133.91040893981537,0.4771647559887601,90.0
400.0,28.5,0.25,0.11928961697875737,0.1192896900649021,6.126781742100925e-05,15.974321258350173,63.89728503340069,133.91040893981537,0.47716443806932635,90.0
400.0,28.5,0.5,0.2385787954545005,0.2385793801298042,0.00024506591317136354,31.948566484954355,63.89713296990871,133.91040893981537,0.4771633025079223,90.0
400.0,28.5,1.0,0.47715408285218924,0.4771587602596084,0.0009802719053028817,63.89652471549276,63.89652471549276,133.91040893981537,0.47715876025896076,90.0
400.0,28.5,2.0,0.9542801008161998,0.9543175205192168,0.003921249430326071,127.78818346335844,63.89409173167922,133.91040893981537,0.4771405915158974,90.0
400.0,28.5,5.0,2.3852090694159362,2.385793801298042,0.024514911066024443,319.38531200461136,63.87706240092227,133.91040893981537,0.47701342193369856,90.0
400.0,51.6,0.1,0.0783693418955415,0.07836934573258399,4.896101469005089e-06,10.494603004608134,104.94603004608133,133.91040893981537,0.7837033048957996,90.0
400.0,51.6,0.25,0.19592330436702138,0.19592336433145996,3.0606077601311165e-05,26.236490028681285,104.94596011472514,133.91040893981537,0.7837027826708527,90.0
400.0,51.6,0.5,0.39184624893971726,0.3918467286629199,0.00012242638635612984,52.472855180853756,104.94571036170751,133.91040893981537,0.7837009175953922,90.0
400.0,51.6,1.0,0.7836896194844939,0.7836934573258398,0.0004897144546109394,104.94471135403143,104.94471135403143,133.91040893981537,0.7836934573263661,90.0
400.0,51.6,2.0,1.5673562103289276,1.5673869146516797,0.0019589881706383555,209.88143076187134,104.94071538093567,133.91040893981537,0.7836636166804641,90.0
400.0,51.6,5.0,3.9179873578451727,3.9184672866291996,0.012249370408654547,524.5637306288164,104.91274612576328,133.91040893981537,0.7834547512502573,90.0
400.0,63.4,0.1,0.08941542141177979,0.08941542368393682,2.541124346276742e-06,11.97380640739655,119.73806407396549,133.91040893981537,0.894165472437475,90.0
400.0,63.4,0.25,0.22353852365973864,0.22353855920984203,1.5903345332493907e-05,29.934496070817517,119.73798428327007,133.91040893981537,0.8941648765861439,90.0
400.0,63.4,0.5,0.44707683400229226,0.44707711841968406,6.36171168230155e-05,59.868849663616494,119.73769932723299,133.91040893981537,0.8941627486258208,90.0
400.0,63.4,1.0,0.8941519614543142,0.8941542368393681,0.0002544740885164474,119.73655951049503,119.73655951049503,133.91040893981537,0.8941542368398664,90.0
400.0,63.4,2.0,1.7882902693059743,1.7883084736787362,0.0010179763919923913,239.46400061827836,119.73200030913918,133.91040893981537,0.8941201901858986,90.0
400.0,63.4,5.0,4.470486599880734,4.470771184196841,0.006365846530317781,598.5004440824549,119.70008881649099,133.91040893981537,0.8938818853901711,90.0
400.0,90.0,0.1,0.10000000000019954,0.1,-1.995425341362641e-10,13.391209160200264,133.91209160200262,133.91040893981537,1.0000125655817242,90.0
400.0,90.0,0.25,0.24999999999995154,0.25,1.9381505090172062e-11,33.47800059232985,133.9120023693194,133.91040893981537,1.0000118992206555,90.0
400.0,90.0,0.5,0.49999999999986244,0.5,2.751179799466699e-11,66.95584184124621,133.91168368249242,133.91040893981537,1.000009519369608,90.0
400.0,90.0,1.0,0.9999999999999002,1.0,9.978990313092779e-12,133.910408939802,133.910408939802,133.91040893981537,0.9999999999999002,90.0
400.0,90.0,2.0,1.9999999999999472,2.0,2.643836078966618e-12,267.8106200835277,133.90531004176384,133.91040893981537,0.9999619230641449,90.0
400.0,90.0,5.0,4.999999999999992,5.0,1.590277340731761e-13,669.3481050853176,133.8696210170635,133.91040893981537,0.9996954088701933,90.0
400.0,98.0,0.1,0.09902680662818968,0.09902680687415703,2.483846266028806e-07,13.260886832822164,132.60886832822163,133.91040893981537,0.9902805120087513,90.0
400.0,98.0,0.25,0.24756701338012183,0.24756701718539262,1.5370669669167439e-06,33.15219499171688,132.60877996686753,133.91040893981537,0.990279852154489,90.0
400.0,98.0,0.5,0.49513400393869295,0.49513403437078524,6.146233548437432e-06,66.3042321910055,132.608464382011,133.91040893981537,0.9902774954679623,90.0
400.0,98.0,1.0,0.9902678252855945,0.9902680687415705,2.4584861763814568e-05,132.60720204517827,132.60720204517827,133.91040893981537,0.9902680687412223,90.0
400.0,98.0,2.0,1.980534189663731,1.980536137483141,9.834818404671214e-05,265.20430553856966,132.60215276928483,133.91040893981537,0.9902303623677341,90.0
400.0,98.0,5.0,4.951309889974554,4.951340343707852,0.0006150641744356794,662.8340553386563,132.56681106773127,133.91040893981537,0.9899664418716847,90.0
800.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,130.12204557273705,0.0,90.0
800.0,5.0,0.1,0.008715573176999333,0.008715574274765816,1.259545943177409e-05,1.1341026034571822,11.34102603457182,130.12204557273705,0.08715683791054675,90.0
800.0,5.0,0.25,0.021788918529514735,0.02178893568691454,7.87436961688299e-05,2.835254618821115,11.34101847528446,130.12204557273705,0.08715677981672162,90.0
800.0,5.0,0.5,0.04357773414721485,0.04357787137382908,0.00031490075589532345,5.670495743869306,11.340991487738613,130.12204557273705,0.08715657241492643,90.0
800.0,5.0,1.0,0.08715464493620846,0.08715574274765817,0.0012596132432277475,11.340883529294855,11.340883529294855,130.12204557273705,0.08715574274426391,90.0
800.0,5.0,2.0,0.17430270312381774,0.17431148549531633,0.0050385744691298934,22.680903407216626,11.340451703608313,130.12204557273705,0.08715242412377465,90.0
800.0,5.0,5.0,0.4356414994142663,0.4357787137382908,0.03149707367388293,56.687145986041074,11.337429197208214,130.12204557273705,0.08712919588149799,90.0
800.0,28.5,0.1,0.04771587134384327,0.04771587602596085,9.812495177556697e-06,6.20896541244734,62.0896541244734,130.12204557273705,0.4771647559887601,90.0
800.0,28.5,0.25,0.11928961697875737,0.1192896900649021,6.126781742100925e-05,15.522403189036588,62.08961275614635,130.12204557273705,0.47716443806932635,90.0
800.0,28.5,0.5,0.2385787954545005,0.2385793801298042,0.00024506591317136354,31.044732497286795,62.08946499457359,130.12204557273705,0.4771633025079224,90.0
