case,alt1_km,apo_ceiling_km,r2_over_r1,crossover_di_deg,dv_at_crossover_ms,crossover_dv_over_budget,di_max_direct_deg_fullbudget,di_max_threeburn_deg_fullbudget,threeburn_gain_deg,threeburn_roundtrip_hr,threeburn_roundtrip_steps60s
LEO-headline,400.0,800.0,1.0590754689115345,39.325565600599425,5163.40789245022,10.799174304229323,3.5710532920587643,2.024048072239761,-1.5470052198190034,1.6089816971091917,96.5389018265515
WL3,400.0,2000.0,1.236301875646138,40.31306016616441,5287.741251896496,11.059215278806207,3.5710532920587643,0.0,-3.5710532920587643,1.8211190987601864,109.26714592561119
WL4,400.0,8000.0,2.122433909319155,43.21928802052781,5651.3453299187495,11.819686637660562,3.5710532920587643,0.0,-3.5710532920587643,3.0045718151879854,180.27430891127912
M5,400.0,20200.0,3.924235711120957,45.53202398716871,5938.110537685161,12.419450887853946,3.5710532920587643,0.0,-3.5710532920587643,5.9504657113961406,357.02794268376846
M5-hi,8000.0,20200.0,1.8489318766961242,42.558445015182805,3822.5953196800056,7.994889036776514,5.203461938274041,0.0,-5.203461938274041,8.096868148329836,485.8120888997901
near-tangent,400.0,401.0,1.0001476886722789,38.94343841529967,5115.191658655676,10.698330922515844,3.5710532920587643,3.567215870584319,-0.003837421474445435,1.5404081365373574,92.42448819224144
near-tangent,400.0,410.0,1.0014768867227883,38.952403489937346,5116.323511987918,10.700698173307627,3.5710532920587643,3.532672013473654,-0.03838127858511031,1.5419439088458902,92.51663453075341
near-tangent,400.0,450.0,1.007384433613942,38.99204809870186,5121.328324299713,10.711165647820739,3.5710532920587643,3.378990731016012,-0.1920625610427522,1.5487757321094169,92.92654392656502
near-tangent,400.0,500.0,1.0147688672278836,39.04114908264981,5127.526077955174,10.724128137597667,3.5710532920587643,3.1865414045534757,-0.38451188750528864,1.5573296565042511,93.43977939025507
near-tangent,400.0,600.0,1.0295377344557672,39.13786513332669,5139.7312713712945,10.74965507907952,3.5710532920587643,2.8005062368904436,-0.7705470551683207,1.5744845469614348,94.46907281768608
free,400.0,2000.0,1.236301875646138,40.31306016616441,5287.741251896496,11.059215278806207,3.5710532920587643,0.0,-3.5710532920587643,1.8211190987601864,109.26714592561119
free,400.0,8000.0,2.122433909319155,43.21928802052781,5651.3453299187495,11.819686637660562,3.5710532920587643,0.0,-3.5710532920587643,3.0045718151879854,180.27430891127912
free,400.0,20200.0,3.924235711120957,45.53202398716871,5938.110537685161,12.419450887853946,3.5710532920587643,0.0,-3.5710532920587643,5.9504657113961406,357.02794268376846
free,400.0,50000.0,8.325358145030275,47.22167053493135,6146.094018385672,12.854444579475567,3.5710532920587643,0.0,-3.5710532920587643,15.507471335466416,930.448280127985
free,400.0,100000.0,15.709791758972086,48.00131879682443,6241.615370154565,13.054225760628462,3.5710532920587643,0.0,-3.5710532920587643,37.19625902908369,2231.7755417450217
free,400.0,380000.0,57.06261999704623,48.67458318235153,6323.870408433719,13.226260686839979,3.5710532920587643,0.0,-3.5710532920587643,240.92820792226115,14455.692475335669
