bug,description,n_checks_firing,I1,I2,I3,I4,I5,I6,I7,I8,I8b,I9,I15,I10,I10b,I11,I12,I13,I14
B1_normal_is_z,normal burn along z_hat instead of h_hat,2,1.034e-15,1.092e-15,3.374e-16,8.882e-16,1.379e-15,8.290e-04,4.260e-05,6.361e-12,6.361e-12,3.154e-08,2.270e+00,3.553e-15,1.221e-15,1.057e-09,3.928e-15,1.046e-15,0.000e+00
B2_raan_acos,"RAAN from acos, no n_y quadrant fix",7,7.222e-16,7.319e-16,3.374e-16,4.441e-16,1.508e-15,1.997e+00,1.448e+07,1.528e+00,2.889e+00,1.622e+01,2.613e+00,3.553e-15,1.136e-15,1.557e+04,3.928e-15,1.046e-15,0.000e+00
B3_argp_acos,"argp from acos, no e_z quadrant fix",6,7.053e-16,7.115e-16,3.374e-16,8.882e-16,1.668e-15,1.994e+00,1.549e+07,6.361e-12,6.361e-12,9.956e-01,3.101e+00,2.952e+00,1.056e-15,1.758e+04,5.002e-15,1.106e-15,0.000e+00
B4_nu_acos,"true anomaly from acos, no r.v quadrant fix",6,7.474e-16,7.318e-16,3.374e-16,8.882e-16,1.379e-15,2.000e+00,1.414e+07,6.361e-12,6.361e-12,1.000e+00,3.119e+00,3.140e+00,1.056e-15,1.505e+04,3.928e-15,1.010e-15,0.000e+00
B5_half_angle,"nu->M half-angle inverted (2026-08-10 bug, 3D twin)",2,8.438e-16,9.744e-16,3.189e-16,8.882e-16,9.246e-16,7.685e-01,4.129e-05,6.361e-12,6.361e-12,9.539e-09,8.733e-09,3.553e-15,1.084e-15,9.965e-09,2.458e-15,2.571e-02,0.000e+00
B6_R1_sign,perifocal rotation uses R1(+i): mirrored plane,10,7.475e-16,7.500e-16,3.374e-16,8.882e-16,1.379e-15,2.000e+00,3.478e+07,1.377e+00,3.142e+00,5.574e+02,3.142e+00,3.142e+00,3.140e+00,1.617e+04,2.000e+00,1.046e-15,0.000e+00
B7_rot_order,3-1-3 rotation sequence applied in reverse order,10,8.101e-16,9.613e-16,3.040e-16,8.882e-16,1.286e-15,2.000e+00,3.726e+07,1.568e+00,3.115e+00,1.821e+02,3.141e+00,3.115e+00,3.138e+00,1.546e+04,2.000e+00,1.046e-15,0.000e+00
B8_h_reversed,h computed as v x r: plane normal reversed,5,8.401e-16,9.838e-16,3.408e-16,8.882e-16,1.531e-15,1.574e-01,3.675e-05,6.361e-12,3.142e+00,2.668e-12,3.142e+00,3.142e+00,1.110e-15,1.855e+04,5.057e-15,1.133e-15,0.000e+00
B9_dv_mag_sum,|dv| taken as the sum of frame components,4,7.331e-16,7.851e-16,3.374e-16,8.882e-16,1.379e-15,7.057e-04,4.260e-05,6.361e-12,6.361e-12,1.707e+07,3.111e+00,3.553e-15,1.116e-15,7.500e+01,3.928e-15,1.046e-15,0.000e+00
B10_stale_plane,i / RAAN not refreshed after a burn,6,7.237e-16,8.084e-16,3.374e-16,8.882e-16,1.379e-15,1.999e+00,1.498e+07,3.040e-16,8.882e-16,1.001e+00,3.131e+00,2.356e+00,1.123e-15,1.577e+04,3.928e-15,1.909e-15,0.000e+00
B11_coast_plane_drift,orbital plane rotates during COAST (stray nodal rate),6,9.425e-16,6.719e-09,6.719e-09,6.729e-09,6.956e-10,6.729e-09,4.224e-05,6.361e-12,6.361e-12,7.402e-09,9.378e-09,3.553e-15,1.135e-15,1.232e-09,3.968e-15,6.486e-09,0.000e+00
B12_normal_north,normal axis forced to point north (breaks retrograde only),2,7.331e-16,7.851e-16,3.374e-16,8.882e-16,1.379e-15,9.411e-04,4.260e-05,6.361e-12,6.361e-12,3.154e-08,3.142e+00,3.553e-15,1.075e-15,1.232e-09,3.928e-15,1.046e-15,0.000e+00
B13_radial_inertial,radial axis taken as the x-y projection of r,5,7.753e-16,7.851e-16,3.374e-16,8.882e-16,1.379e-15,1.209e-04,5.210e-05,2.236e-03,2.464e-03,2.730e-08,1.570e+00,1.260e-03,1.110e-15,1.232e-09,4.717e-15,1.046e-15,0.000e+00
B14_raan_unwrapped,"RAAN left in (-pi, pi] instead of [0, 2pi)",1,8.234e-16,1.230e-15,1.221e-15,8.882e-16,1.128e-15,6.323e-12,4.260e-05,6.361e-12,6.361e-12,9.497e-09,9.179e-09,3.553e-15,1.106e-15,1.232e-09,3.928e-15,1.097e-15,1.000e+00
B15_coast_energy_drift,semi-major axis decays during COAST (stray perturbation),2,8.458e-12,5.001e-12,3.402e-16,8.882e-16,1.467e-15,1.169e-11,4.013e-05,6.361e-12,6.361e-12,7.358e-09,9.179e-09,3.553e-15,1.166e-15,1.232e-09,4.248e-15,1.000e-11,0.000e+00
