leg,dPhi,dv_ms,dlam_deg,di_deg,dv_plane,dv_inplane,phi,form
L1a coast to relative node,-4.440892098500626e-16,0.0,-180.0,0.9999999999999969,132.93237650275287,1.2491557326320903,-1.1566090169090135,L1
L1b plane burn 1/6 (25 m/s),0.029262071754979413,25.0,-179.9965087019174,0.813284503744852,108.11230644136526,1.0143017326190111,-1.127346945154034,L1
L1b plane burn 2/6 (25 m/s),0.029240816871829667,25.0,-179.99302302817435,0.6266683959615995,83.30516126377616,0.7847071153596443,-1.0981061282822044,L1
L1b plane burn 3/6 (25 m/s),0.029192563406091443,25.000000000000004,-179.98954294669238,0.44027680925064727,58.52764142939264,0.5668037746435902,-1.068913564876113,L1
L1b plane burn 4/6 (25 m/s),0.029043935741712934,25.0,-179.98606842555554,0.2546011394884094,33.84513626111053,0.3812024648892595,-1.0398696291344,L1
L1b plane burn 5/6 (25 m/s),0.02796166849974946,25.0,-179.98259943300846,0.07514238695962795,9.988982142370274,0.29650294439738767,-1.0119079606346506,L1
L1b plane burn 6/6 (8 m/s),0.00572388392710188,7.9323765027528745,-179.9814986266232,0.038302410387141855,5.091694969281761,0.2948453986966606,-1.0061840767075487,L1
L2 drift-open burn 1/5 (25 m/s),-0.040526324456551466,25.0,-179.9850281469891,0.03830241038713648,5.091694969281058,35.00072202911607,-1.0467104011641002,L1
L2 drift-open burn 2/5 (25 m/s),-0.04081352751959977,25.0,-179.98859247547824,0.038302410387141855,5.091694969281761,69.95250659002345,-1.0875239286837,L1
L2 drift-open burn 3/5 (25 m/s),-0.040421639611023075,25.0,-179.99219138581694,0.038302410387144846,5.0916949692821,104.5683596687108,-1.127945568294723,L1
L2 drift-open burn 4/5 (25 m/s),-0.04003845416969587,25.0,-179.99582465465195,0.03830241038715048,5.091694969283158,138.85573854261955,-1.167984022464419,L1
L2 drift-open burn 5/5 (11 m/s),-0.01724640057952831,10.84169680843816,-179.9974109118642,0.03830241038715453,5.091694969283619,153.62478582245035,-1.1852304230439472,L1
L3 drift slice 1/6 (2.99 h),0.16666426936283796,0.0,-149.9978424265534,0.038302410387146164,5.09169496928246,153.6247858224514,-1.0185661536811093,L1
L3 drift slice 2/6 (2.99 h),0.16666426936283507,0.0,-119.9982739412427,0.03830241038715674,5.091694969283958,153.62478582245188,-0.8519018843182742,L1
L3 drift slice 3/6 (2.99 h),0.16666426936283918,0.0,-89.998705455932,0.03830241038715242,5.091694969283259,153.62478582245086,-0.685237614955435,L1
L3 drift slice 4/6 (2.99 h),0.1666642693628384,0.0,-59.99913697062135,0.03830241038715055,5.091694969283259,153.62478582244958,-0.5185733455925966,L1
L3 drift slice 5/6 (2.99 h),0.16666426936283552,0.0,-29.99956848531065,0.038302410387156725,5.091694969283958,153.62478582245035,-0.3519090762297611,L1
