di0_deg,psi_deg,credit_per_dv,cos_psi
1.0,0,0.9999641409975115,1.0
1.0,15,0.9631747762855964,0.9659258262890683
1.0,30,0.8559410320172626,0.8660254037844387
1.0,45,0.6872363538575834,0.7071067811865476
1.0,60,0.47070694835981514,0.5000000000000001
1.0,90,-0.03755428528560372,6.123233995736766e-17
1.0,135,0.6872363538576494,-0.7071067811865475
1.0,180,0.9999641409975115,-1.0
0.25,0,0.999997689851622,1.0
0.25,15,0.9517585379583349,0.9659258262890683
0.25,30,0.8156713674736388,0.8660254037844387
0.25,45,0.6132331760542106,0.7071067811865476
0.25,60,0.370164354891283,0.5000000000000001
0.25,90,-0.14718954268340403,6.123233995736766e-17
0.25,135,0.6132331760542377,-0.7071067811865475
0.25,180,0.9999976898516797,-1.0
0.05,0,0.32934119368748,1.0
0.05,15,0.2675031452096875,0.9659258262890683
0.05,30,0.1256496050985597,0.8660254037844387
0.05,45,-0.04370818958465536,0.7071067811865476
0.05,60,-0.2168711191141007,0.5000000000000001
0.05,90,-0.5360731932651922,6.123233995736766e-17
0.05,135,-0.043708189584688556,-0.7071067811865475
0.05,180,0.32934119368744713,-1.0
