kind,alt_km,box_km,warp_s,dv_quantum_ms,di_deg,dv_null_ms,frac_budget,du_deg_per_action,cos_eff_worst,crosstrack_km
crosstrack_box,300,30,,,0.25766,34.762,0.07272,,,
crosstrack_box,300,10,,,0.08589,11.587,0.02424,,,
crosstrack_box,300,5,,,0.04294,5.794,0.01212,,,
crosstrack_box,550,30,,,0.24836,32.896,0.06882,,,
crosstrack_box,550,10,,,0.08279,10.965,0.02294,,,
crosstrack_box,550,5,,,0.04139,5.483,0.01147,,,
crosstrack_box,800,30,,,0.2397,31.19,0.06525,,,
crosstrack_box,800,10,,,0.0799,10.397,0.02175,,,
crosstrack_box,800,5,,,0.03995,5.198,0.01088,,,
crosstrack_box,2000,30,,,0.20534,24.73,0.05174,,,
crosstrack_box,2000,10,,,0.06845,8.243,0.01725,,,
crosstrack_box,2000,5,,,0.03422,4.122,0.00862,,,
crosstrack_box,8000,30,,,0.11961,10.994,0.023,,,
crosstrack_box,8000,10,,,0.03987,3.665,0.00767,,,
crosstrack_box,8000,5,,,0.01993,1.832,0.00383,,,
crosstrack_box,20200,30,,,0.06469,4.373,0.00915,,,
crosstrack_box,20200,10,,,0.02156,1.458,0.00305,,,
crosstrack_box,20200,5,,,0.01078,0.729,0.00152,,,
warp_u_advance,300,,60,,,,,3.9834,0.9994,
warp_u_advance,300,,300,,,,,19.9171,0.98493,
warp_u_advance,300,,1800,,,,,119.5027,0.50375,
warp_u_advance,300,,3600,,,,,239.0053,-0.49246,
warp_u_advance,300,,10800,,,,,717.016,-1.0,
warp_u_advance,300,,21600,,,,,1434.0321,-1.0,
warp_u_advance,550,,60,,,,,3.7695,0.99946,
warp_u_advance,550,,300,,,,,18.8477,0.9865,
warp_u_advance,550,,1800,,,,,113.0865,0.55131,
warp_u_advance,550,,3600,,,,,226.173,-0.39212,
warp_u_advance,550,,10800,,,,,678.519,-1.0,
warp_u_advance,550,,21600,,,,,1357.038,-1.0,
warp_u_advance,800,,60,,,,,3.5742,0.99951,
warp_u_advance,800,,300,,,,,17.8708,0.98786,
warp_u_advance,800,,1800,,,,,107.2246,0.59325,
warp_u_advance,800,,3600,,,,,214.4492,-0.29612,
warp_u_advance,800,,10800,,,,,643.3476,-1.0,
warp_u_advance,800,,21600,,,,,1286.6952,-1.0,
warp_u_advance,2000,,60,,,,,2.8338,0.99969,
warp_u_advance,2000,,300,,,,,14.1692,0.99237,
warp_u_advance,2000,,1800,,,,,85.0155,0.73719,
warp_u_advance,2000,,3600,,,,,170.031,0.08689,
warp_u_advance,2000,,10800,,,,,510.0929,-1.0,
warp_u_advance,2000,,21600,,,,,1020.1858,-1.0,
warp_u_advance,8000,,60,,,,,1.2598,0.99994,
warp_u_advance,8000,,300,,,,,6.2992,0.99849,
warp_u_advance,8000,,1800,,,,,37.7949,0.9461,
warp_u_advance,8000,,3600,,,,,75.5899,0.79021,
warp_u_advance,8000,,10800,,,,,226.7696,-0.3969,
warp_u_advance,8000,,21600,,,,,453.5392,-1.0,
warp_u_advance,20200,,60,,,,,0.5011,0.99999,
warp_u_advance,20200,,300,,,,,2.5055,0.99976,
warp_u_advance,20200,,1800,,,,,15.0332,0.99141,
warp_u_advance,20200,,3600,,,,,30.0665,0.96578,
warp_u_advance,20200,,10800,,,,,90.1994,0.70588,
warp_u_advance,20200,,21600,,,,,180.3987,-0.00348,
burn_quantum,300,,,1.0,0.007412,,,,,0.863
burn_quantum,300,,,10.0,0.074122,,,,,8.63
burn_quantum,300,,,25.0,0.185306,,,,,21.575
burn_quantum,550,,,1.0,0.00755,,,,,0.912
burn_quantum,550,,,10.0,0.075498,,,,,9.12
burn_quantum,550,,,25.0,0.188746,,,,,22.799
burn_quantum,800,,,1.0,0.007685,,,,,0.962
burn_quantum,800,,,10.0,0.07685,,,,,9.618
burn_quantum,800,,,25.0,0.192125,,,,,24.046
burn_quantum,2000,,,1.0,0.008303,,,,,1.213
burn_quantum,2000,,,10.0,0.083031,,,,,12.131
burn_quantum,2000,,,25.0,0.207579,,,,,30.328
burn_quantum,8000,,,1.0,0.010879,,,,,2.729
burn_quantum,8000,,,10.0,0.108792,,,,,27.287
burn_quantum,8000,,,25.0,0.27198,,,,,68.218
burn_quantum,20200,,,1.0,0.014793,,,,,6.86
burn_quantum,20200,,,10.0,0.14793,,,,,68.603
burn_quantum,20200,,,25.0,0.369826,,,,,171.507
