case,alt_km,a_km,v_circ_ms,di_deg,dv_ms,dv_smallangle_ms,frac_of_budget,hohmann_only_ms,separate_ms,all_at_apoapsis_ms,opt_split_s_at_burn1,savings_vs_separate_pct
simple_plane_change,300,6671.0,7729.9,0.01,1.349,1.349,0.0028,,,,,
simple_plane_change,300,6671.0,7729.9,0.05,6.746,6.746,0.0141,,,,,
simple_plane_change,300,6671.0,7729.9,0.1,13.491,13.491,0.0282,,,,,
simple_plane_change,300,6671.0,7729.9,0.25,33.728,33.728,0.0706,,,,,
simple_plane_change,300,6671.0,7729.9,0.5,67.456,67.456,0.1411,,,,,
simple_plane_change,300,6671.0,7729.9,1.0,134.91,134.912,0.2822,,,,,
simple_plane_change,300,6671.0,7729.9,2.0,269.81,269.824,0.5645,,,,,
simple_plane_change,300,6671.0,7729.9,5.0,674.346,674.56,1.4108,,,,,
simple_plane_change,300,6671.0,7729.9,10.0,1347.409,1349.121,2.8188,,,,,
simple_plane_change,300,6671.0,7729.9,28.5,3805.477,3844.994,7.9612,,,,,
simple_plane_change,300,6671.0,7729.9,51.6,6728.579,6961.462,14.0765,,,,,
simple_plane_change,300,6671.0,7729.9,90.0,10931.718,12142.086,22.8697,,,,,
simple_plane_change,550,6921.0,7589.0,0.01,1.325,1.325,0.0028,,,,,
simple_plane_change,550,6921.0,7589.0,0.05,6.623,6.623,0.0139,,,,,
simple_plane_change,550,6921.0,7589.0,0.1,13.245,13.245,0.0277,,,,,
simple_plane_change,550,6921.0,7589.0,0.25,33.113,33.113,0.0693,,,,,
simple_plane_change,550,6921.0,7589.0,0.5,66.226,66.227,0.1385,,,,,
simple_plane_change,550,6921.0,7589.0,1.0,132.451,132.453,0.2771,,,,,
simple_plane_change,550,6921.0,7589.0,2.0,264.893,264.906,0.5542,,,,,
simple_plane_change,550,6921.0,7589.0,5.0,662.055,662.265,1.3851,,,,,
simple_plane_change,550,6921.0,7589.0,10.0,1322.85,1324.53,2.7675,,,,,
simple_plane_change,550,6921.0,7589.0,28.5,3736.114,3774.911,7.8161,,,,,
simple_plane_change,550,6921.0,7589.0,51.6,6605.936,6834.575,13.82,,,,,
simple_plane_change,550,6921.0,7589.0,90.0,10732.465,11920.771,22.4529,,,,,
simple_plane_change,800,7171.0,7455.5,0.01,1.301,1.301,0.0027,,,,,
simple_plane_change,800,7171.0,7455.5,0.05,6.506,6.506,0.0136,,,,,
simple_plane_change,800,7171.0,7455.5,0.1,13.012,13.012,0.0272,,,,,
simple_plane_change,800,7171.0,7455.5,0.25,32.531,32.531,0.0681,,,,,
simple_plane_change,800,7171.0,7455.5,0.5,65.062,65.062,0.1361,,,,,
simple_plane_change,800,7171.0,7455.5,1.0,130.122,130.124,0.2722,,,,,
simple_plane_change,800,7171.0,7455.5,2.0,260.234,260.247,0.5444,,,,,
simple_plane_change,800,7171.0,7455.5,5.0,650.412,650.618,1.3607,,,,,
simple_plane_change,800,7171.0,7455.5,10.0,1299.586,1301.237,2.7188,,,,,
simple_plane_change,800,7171.0,7455.5,28.5,3670.411,3708.525,7.6787,,,,,
simple_plane_change,800,7171.0,7455.5,51.6,6489.765,6714.383,13.5769,,,,,
simple_plane_change,800,7171.0,7455.5,90.0,10543.724,11711.133,22.058,,,,,
simple_plane_change,2000,8371.0,6900.5,0.01,1.204,1.204,0.0025,,,,,
simple_plane_change,2000,8371.0,6900.5,0.05,6.022,6.022,0.0126,,,,,
simple_plane_change,2000,8371.0,6900.5,0.1,12.044,12.044,0.0252,,,,,
simple_plane_change,2000,8371.0,6900.5,0.25,30.109,30.109,0.063,,,,,
simple_plane_change,2000,8371.0,6900.5,0.5,60.218,60.218,0.126,,,,,
simple_plane_change,2000,8371.0,6900.5,1.0,120.435,120.436,0.252,,,,,
simple_plane_change,2000,8371.0,6900.5,2.0,240.86,240.873,0.5039,,,,,
simple_plane_change,2000,8371.0,6900.5,5.0,601.991,602.182,1.2594,,,,,
simple_plane_change,2000,8371.0,6900.5,10.0,1202.835,1204.363,2.5164,,,,,
simple_plane_change,2000,8371.0,6900.5,28.5,3397.159,3432.436,7.107,,,,,
simple_plane_change,2000,8371.0,6900.5,51.6,6006.62,6214.516,12.5661,,,,,
simple_plane_change,2000,8371.0,6900.5,90.0,9758.773,10839.271,20.4158,,,,,
simple_plane_change,8000,14371.0,5266.5,0.01,0.919,0.919,0.0019,,,,,
simple_plane_change,8000,14371.0,5266.5,0.05,4.596,4.596,0.0096,,,,,
simple_plane_change,8000,14371.0,5266.5,0.1,9.192,9.192,0.0192,,,,,
simple_plane_change,8000,14371.0,5266.5,0.25,22.98,22.98,0.0481,,,,,
simple_plane_change,8000,14371.0,5266.5,0.5,45.959,45.959,0.0961,,,,,
simple_plane_change,8000,14371.0,5266.5,1.0,91.917,91.918,0.1923,,,,,
simple_plane_change,8000,14371.0,5266.5,2.0,183.828,183.837,0.3846,,,,,
simple_plane_change,8000,14371.0,5266.5,5.0,459.447,459.592,0.9612,,,,,
simple_plane_change,8000,14371.0,5266.5,10.0,918.018,919.185,1.9205,,,,,
simple_plane_change,8000,14371.0,5266.5,28.5,2592.752,2619.676,5.4242,,,,,
simple_plane_change,8000,14371.0,5266.5,51.6,4584.324,4742.993,9.5906,,,,,
simple_plane_change,8000,14371.0,5266.5,90.0,7448.012,8272.662,15.5816,,,,,
simple_plane_change,20200,26571.0,3873.2,0.01,0.676,0.676,0.0014,,,,,
simple_plane_change,20200,26571.0,3873.2,0.05,3.38,3.38,0.0071,,,,,
simple_plane_change,20200,26571.0,3873.2,0.1,6.76,6.76,0.0141,,,,,
simple_plane_change,20200,26571.0,3873.2,0.25,16.9,16.9,0.0354,,,,,
simple_plane_change,20200,26571.0,3873.2,0.5,33.8,33.8,0.0707,,,,,
simple_plane_change,20200,26571.0,3873.2,1.0,67.598,67.599,0.1414,,,,,
simple_plane_change,20200,26571.0,3873.2,2.0,135.192,135.199,0.2828,,,,,
simple_plane_change,20200,26571.0,3873.2,5.0,337.889,337.997,0.7069,,,,,
simple_plane_change,20200,26571.0,3873.2,10.0,675.135,675.993,1.4124,,,,,
simple_plane_change,20200,26571.0,3873.2,28.5,1906.78,1926.581,3.9891,,,,,
simple_plane_change,20200,26571.0,3873.2,51.6,3371.435,3488.125,7.0532,,,,,
simple_plane_change,20200,26571.0,3873.2,90.0,5477.469,6083.938,11.4591,,,,,
simple_plane_change,35786,42157.0,3074.9,0.01,0.537,0.537,0.0011,,,,,
simple_plane_change,35786,42157.0,3074.9,0.05,2.683,2.683,0.0056,,,,,
simple_plane_change,35786,42157.0,3074.9,0.1,5.367,5.367,0.0112,,,,,
simple_plane_change,35786,42157.0,3074.9,0.25,13.417,13.417,0.0281,,,,,
simple_plane_change,35786,42157.0,3074.9,0.5,26.834,26.834,0.0561,,,,,
simple_plane_change,35786,42157.0,3074.9,1.0,53.667,53.668,0.1123,,,,,
simple_plane_change,35786,42157.0,3074.9,2.0,107.33,107.335,0.2245,,,,,
simple_plane_change,35786,42157.0,3074.9,5.0,268.252,268.338,0.5612,,,,,
simple_plane_change,35786,42157.0,3074.9,10.0,535.994,536.675,1.1213,,,,,
simple_plane_change,35786,42157.0,3074.9,28.5,1513.804,1529.524,3.167,,,,,
simple_plane_change,35786,42157.0,3074.9,51.6,2676.603,2769.243,5.5996,,,,,
simple_plane_change,35786,42157.0,3074.9,90.0,4348.596,4830.075,9.0975,,,,,
combined_hohmann_planechange,300->800,6671.0,7729.9,0.1,274.583,274.874,0.5744,274.264,287.276,274.874,0.4774,4.42
combined_hohmann_planechange,300->800,6671.0,7729.9,0.5,282.141,288.779,0.5903,274.264,339.325,288.779,0.47665,16.85
combined_hohmann_planechange,300->800,6671.0,7729.9,1.0,304.549,325.694,0.6371,274.264,404.386,325.694,0.4743,24.69
combined_hohmann_planechange,300->800,6671.0,7729.9,2.0,381.183,429.84,0.7975,274.264,534.498,429.84,0.4649,28.68
combined_hohmann_planechange,300->800,6671.0,7729.9,5.0,715.294,797.0,1.4964,274.264,924.676,797.0,0.40335,22.64
combined_hohmann_planechange,300->800,6671.0,7729.9,10.0,1342.998,1433.209,2.8096,274.264,1573.85,1433.209,0.27,14.67
combined_hohmann_planechange,300->800,6671.0,7729.9,28.5,3693.627,3777.715,7.7273,274.264,3944.674,3777.715,0.0851,6.36
combined_hohmann_planechange,300->2000,6671.0,7729.9,0.1,826.835,826.908,1.7298,826.738,838.782,826.908,0.42955,1.42
combined_hohmann_planechange,300->2000,6671.0,7729.9,0.5,829.16,830.968,1.7346,826.738,886.956,830.968,0.4293,6.52
combined_hohmann_planechange,300->2000,6671.0,7729.9,1.0,836.382,843.399,1.7498,826.738,947.173,843.399,0.4286,11.7
combined_hohmann_planechange,300->2000,6671.0,7729.9,2.0,864.648,889.807,1.8089,826.738,1067.599,889.807,0.42565,19.01
combined_hohmann_planechange,300->2000,6671.0,7729.9,5.0,1040.574,1134.059,2.1769,826.738,1428.729,1134.059,0.40575,27.17
combined_hohmann_planechange,300->2000,6671.0,7729.9,10.0,1503.835,1659.581,3.1461,826.738,2029.574,1659.581,0.3439,25.9
combined_hohmann_planechange,300->2000,6671.0,7729.9,28.5,3567.916,3746.303,7.4643,826.738,4223.897,3746.303,0.15255,15.53
combined_hohmann_planechange,500->800,6871.0,7616.6,0.1,161.54,162.043,0.3379,161.004,174.016,162.043,0.4866,7.17
combined_hohmann_planechange,500->800,6871.0,7616.6,0.5,173.91,183.884,0.3638,161.004,226.065,183.884,0.4853,23.07
combined_hohmann_planechange,500->800,6871.0,7616.6,1.0,207.868,233.121,0.4349,161.004,291.126,233.121,0.4813,28.6
combined_hohmann_planechange,500->800,6871.0,7616.6,2.0,308.274,351.867,0.6449,161.004,421.238,351.867,0.46545,26.82
combined_hohmann_planechange,500->800,6871.0,7616.6,5.0,675.552,732.779,1.4133,161.004,811.416,732.779,0.369,16.74
combined_hohmann_planechange,500->800,6871.0,7616.6,10.0,1316.815,1375.998,2.7548,161.004,1460.59,1375.998,0.21755,9.84
combined_hohmann_planechange,500->800,6871.0,7616.6,28.5,3679.1,3732.458,7.6969,161.004,3831.415,3732.458,0.0596,3.98
combined_hohmann_planechange,400->1000,6771.0,7672.6,0.1,319.028,319.269,0.6674,318.759,331.594,319.269,0.47345,3.79
combined_hohmann_planechange,400->1000,6771.0,7672.6,0.5,325.417,331.057,0.6808,318.759,382.932,331.057,0.4728,15.02
combined_hohmann_planechange,400->1000,6771.0,7672.6,1.0,344.616,363.518,0.721,318.759,447.103,363.518,0.4708,22.92
combined_hohmann_planechange,400->1000,6771.0,7672.6,2.0,412.533,459.964,0.863,318.759,575.438,459.964,0.4628,28.31
combined_hohmann_planechange,400->1000,6771.0,7672.6,5.0,727.09,814.981,1.5211,318.759,960.286,814.981,0.4098,24.28
combined_hohmann_planechange,400->1000,6771.0,7672.6,10.0,1338.681,1438.854,2.8006,318.759,1600.593,1438.854,0.2854,16.36
combined_hohmann_planechange,400->1000,6771.0,7672.6,28.5,3651.094,3745.789,7.6383,318.759,3939.032,3745.789,0.09395,7.31
combined_hohmann_planechange,300->8000,6671.0,7729.9,0.1,2377.192,2377.201,4.9732,2377.17,2386.361,2377.201,0.2777,0.38
combined_hohmann_planechange,300->8000,6671.0,7729.9,0.5,2377.736,2377.953,4.9743,2377.17,2423.129,2377.953,0.27765,1.87
combined_hohmann_planechange,300->8000,6671.0,7729.9,1.0,2379.433,2380.3,4.9779,2377.17,2469.087,2380.3,0.2775,3.63
combined_hohmann_planechange,300->8000,6671.0,7729.9,2.0,2386.206,2389.637,4.9921,2377.17,2560.997,2389.637,0.27685,6.83
combined_hohmann_planechange,300->8000,6671.0,7729.9,5.0,2432.92,2452.836,5.0898,2377.17,2836.616,2452.836,0.27245,14.23
combined_hohmann_planechange,300->8000,6671.0,7729.9,10.0,2590.749,2654.156,5.42,2377.17,3295.188,2654.156,0.2577,21.38
combined_hohmann_planechange,300->8000,6671.0,7729.9,28.5,3688.395,3854.573,7.7163,2377.17,4969.922,3854.573,0.17225,25.79
combined_hohmann_planechange,300->20200,6671.0,7729.9,0.1,3462.984,3462.985,7.2447,3462.975,3469.735,3462.985,0.15335,0.19
combined_hohmann_planechange,300->20200,6671.0,7729.9,0.5,3463.191,3463.23,7.2452,3462.975,3496.775,3463.23,0.15335,0.96
combined_hohmann_planechange,300->20200,6671.0,7729.9,1.0,3463.839,3463.995,7.2465,3462.975,3530.574,3463.995,0.1533,1.89
combined_hohmann_planechange,300->20200,6671.0,7729.9,2.0,3466.426,3467.048,7.2519,3462.975,3598.167,3467.048,0.1531,3.66
combined_hohmann_planechange,300->20200,6671.0,7729.9,5.0,3484.433,3488.23,7.2896,3462.975,3800.865,3488.23,0.1518,8.33
combined_hohmann_planechange,300->20200,6671.0,7729.9,10.0,3547.333,3561.292,7.4212,3462.975,4138.111,3561.292,0.1473,14.28
combined_hohmann_planechange,300->20200,6671.0,7729.9,28.5,4059.413,4121.578,8.4925,3462.975,5369.755,4121.578,0.1159,24.4
combined_hohmann_planechange,185->35786,6556.0,7797.4,0.1,3940.553,3940.554,8.2438,3940.549,3945.916,3940.554,0.09255,0.14
combined_hohmann_planechange,185->35786,6556.0,7797.4,0.5,3940.663,3940.675,8.2441,3940.549,3967.382,3940.675,0.09255,0.67
combined_hohmann_planechange,185->35786,6556.0,7797.4,1.0,3941.007,3941.054,8.2448,3940.549,3994.216,3941.054,0.09255,1.33
combined_hohmann_planechange,185->35786,6556.0,7797.4,2.0,3942.381,3942.567,8.2477,3940.549,4047.878,3942.567,0.09245,2.61
combined_hohmann_planechange,185->35786,6556.0,7797.4,5.0,3951.962,3953.112,8.2677,3940.549,4208.801,3953.112,0.0919,6.1
combined_hohmann_planechange,185->35786,6556.0,7797.4,10.0,3985.711,3990.088,8.3383,3940.549,4476.543,3990.088,0.09005,10.96
combined_hohmann_planechange,185->35786,6556.0,7797.4,28.5,4274.972,4298.917,8.9435,3940.549,5454.353,4298.917,0.0759,21.62
