regime,tau,action,period_min,psi_worst_deg,mean_cos_eff
LEO 500 km,1,coast 1min,94.46907281768608,3.8107709672853103,0.9994470951249065
LEO 500 km,5,warp 5min,94.46907281768608,19.053854836426552,0.9862079248467114
LEO 500 km,30,warp 30min,94.46907281768608,114.3231290185593,0.5422719621710566
LEO 500 km,60,warp 1hr,94.46907281768608,228.6462580371186,6.123233995736766e-17
LEO 500 km,180,warp 3hr,94.46907281768608,685.9387741113559,6.123233995736766e-17
LEO 500 km,360,warp 6hr,94.46907281768608,1371.8775482227118,6.123233995736766e-17
2000 km,1,coast 1min,127.03568771420369,2.833849341689744,0.9996942291151402
2000 km,5,warp 5min,127.03568771420369,14.16924670844872,0.9923650734602432
2000 km,30,warp 30min,127.03568771420369,85.01548025069232,0.7371860641479206
2000 km,60,warp 1hr,127.03568771420369,170.03096050138464,0.08688658634780454
2000 km,180,warp 3hr,127.03568771420369,510.0928815041539,6.123233995736766e-17
2000 km,360,warp 6hr,127.03568771420369,1020.1857630083078,6.123233995736766e-17
MEO 20200 km,1,coast 1min,718.4086936595843,0.5011075216338973,0.9999904385028653
MEO 20200 km,5,warp 5min,718.4086936595843,2.5055376081694862,0.999760971713733
MEO 20200 km,30,warp 30min,718.4086936595843,15.033225649016918,0.9914069738271124
MEO 20200 km,60,warp 1hr,718.4086936595843,30.066451298033837,0.9657755755060657
MEO 20200 km,180,warp 3hr,718.4086936595843,90.1993538941015,0.7058755645266175
MEO 20200 km,360,warp 6hr,718.4086936595843,180.398707788203,6.123233995736766e-17
