geom,rho0_km,rho_over_r,window_min,burn_dir,dv_ms,k,D_final,t_D3_min,t_1sig_min,dbeta_max_mrad
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.0,0.5,3.4189642326719993,53.0,nan,0.5822217136666197
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.0,2.0,6.895392049634412,29.0,29.0,1.1766970893698492
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.01,0.5,10.83413356880832,21.0,17.0,1.7550764082265857
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.01,2.0,10.220734211049997,22.0,19.0,1.7201969463194189
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.03,0.5,26.482560348731774,15.0,12.0,4.156261624388424
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.03,2.0,17.715178054639463,17.0,14.0,2.9001357988760468
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.1,0.5,78.21612362587283,12.0,10.0,12.103156333064913
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.1,2.0,44.460865906941066,13.0,11.0,7.017558181311223
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.3,0.5,201.59789572233237,10.0,10.0,31.437590460306364
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,0.3,2.0,114.72056407474295,11.0,10.0,17.86222757233702
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,1.0,0.5,465.2057696002116,10.0,10.0,77.09598721079035
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,1.0,2.0,300.0657267582763,10.0,10.0,47.63006910848988
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,3.0,0.5,727.2849041195461,10.0,10.0,143.2561835951951
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,3.0,2.0,572.1005908030143,10.0,10.0,99.53912095306272
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,10.0,0.5,792.7878827343658,10.0,10.0,224.0138874719726
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,10.0,2.0,791.4315922457486,10.0,10.0,178.51823333311546
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,25.0,0.5,672.7086808316271,10.0,10.0,269.9825215290668
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,radial,25.0,2.0,769.4298040709457,10.0,10.0,236.74664097627397
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.0,0.5,3.4189642326719993,53.0,nan,0.5822217136666197
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.0,2.0,6.895392049634412,29.0,29.0,1.1766970893698492
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.01,0.5,26.673078971974174,23.0,19.0,4.693737045010415
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.01,2.0,17.892282546751186,23.0,20.0,3.1678148549536544
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.03,0.5,71.16329005810964,18.0,15.0,12.504454151066824
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.03,2.0,41.010104679185865,19.0,16.0,7.234570087764514
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.1,0.5,198.19171551469387,14.0,12.0,35.157402177543595
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.1,2.0,114.22293230389732,16.0,13.0,20.151210905758
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.3,0.5,430.2668626065364,12.0,11.0,80.13329524534552
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,0.3,2.0,272.2586097243087,13.0,12.0,48.89866340976789
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,1.0,0.5,831.9587832723054,11.0,10.0,181.55557485942842
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,1.0,2.0,581.0109361059467,12.0,10.0,114.10350742414899
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,3.0,0.5,1491.7509564443042,10.0,10.0,417.2991812684472
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,3.0,2.0,1024.45784946327,11.0,10.0,242.43386300673376
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,10.0,0.5,2740.4744577273987,10.0,10.0,1151.9389866227186
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,10.0,2.0,2006.430192845311,10.0,10.0,649.582982942598
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,25.0,0.5,2700.9113332136258,10.0,10.0,1670.2878994353564
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,prograde,25.0,2.0,2855.0466497474486,10.0,10.0,1335.7345085188833
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.0,0.5,8.345548886777308,53.0,nan,0.7948911026876004
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.0,2.0,16.41323991772422,29.0,29.0,1.5627629900283324
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.01,0.5,14.292645775040297,42.0,41.0,1.4329100667511696
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.01,2.0,18.318117205636188,29.0,29.0,1.6004066082753177
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.03,0.5,31.784170259751267,40.0,38.0,3.492110247739433
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.03,2.0,24.58543778454067,29.0,29.0,2.377725712200629
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.1,0.5,94.42895943678798,38.0,37.0,10.431698023460001
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.1,2.0,53.911774340442726,29.0,29.0,5.904663742517524
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.3,0.5,253.55184426057212,37.0,37.0,27.652683081300644
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,0.3,2.0,139.79497548393564,29.0,29.0,15.435444793185038
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,1.0,0.5,646.9936006757919,37.0,37.0,69.68776644134955
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,1.0,2.0,389.3811850931082,29.0,29.0,42.31993770988751
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,3.0,0.5,1190.634101261439,37.0,37.0,132.91993449949314
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,3.0,2.0,835.7270990010439,29.0,29.0,90.86325362093773
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,10.0,0.5,1663.3497522617035,37.0,37.0,215.40405955391728
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,10.0,2.0,1421.4338070871586,29.0,29.0,168.22406252099898
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,25.0,0.5,1609.870557332675,37.0,37.0,261.08804422785556
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,radial,25.0,2.0,1636.866284870017,29.0,29.0,229.43828225913165
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.0,0.5,8.345548886777308,53.0,nan,0.7948911026876004
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.0,2.0,16.41323991772422,29.0,29.0,1.5627629900283324
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.01,0.5,23.713720668896052,44.0,45.0,3.4746748675136274
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.01,2.0,16.097286749072005,29.0,29.0,1.6730138513070258
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.03,0.5,69.74687087173416,42.0,41.0,10.391458098495843
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.03,2.0,34.82072895947902,29.0,29.0,5.074818641672252
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.1,0.5,195.4719552652194,40.0,39.0,30.79061045233633
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.1,2.0,108.3656242628412,29.0,29.0,16.569368306847743
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.3,0.5,410.44723106472276,39.0,38.0,71.90362390373784
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,0.3,2.0,260.5935033102484,29.0,29.0,42.67635723547247
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,1.0,0.5,773.6594831194944,38.0,37.0,162.89782004193486
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,1.0,2.0,543.2576417314332,29.0,29.0,102.2731149643441
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,3.0,0.5,1358.9897417115683,37.0,37.0,364.4112153351871
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,3.0,2.0,943.3293080019125,29.0,29.0,215.71830393227387
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,10.0,0.5,2607.7945755947267,37.0,37.0,1020.1744832016515
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,10.0,2.0,1821.1914817169932,29.0,29.0,562.7367970114183
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,25.0,0.5,2761.782766730674,37.0,37.0,1800.0207616161538
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,prograde,25.0,2.0,2791.072337644413,29.0,29.0,1195.2732788455921
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.0,0.5,5.960580914889803,68.0,75.0,1.2519951513096927
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.0,2.0,11.837400828058968,27.0,63.0,2.480233134667831
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.01,0.5,8.530494565331699,28.0,66.0,1.5303695060580047
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.01,2.0,13.095381234676498,24.0,21.0,2.5967094796701673
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.03,0.5,13.871914997808009,19.0,15.0,2.249498909581149
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.03,2.0,15.66915275447688,20.0,16.0,2.8787221389814377
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.1,0.5,32.58099495808946,14.0,11.0,4.924969464661366
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.1,2.0,24.90432553327622,15.0,12.0,4.093989635876927
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.3,0.5,82.88308751480388,11.0,10.0,12.503074081735122
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,0.3,2.0,51.07716800834182,12.0,10.0,7.819725679757195
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,1.0,0.5,226.29472370412856,10.0,10.0,35.488601457644094
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,1.0,2.0,133.87037084056897,11.0,10.0,20.16654347635649
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,3.0,0.5,472.79322860414516,10.0,10.0,79.63376550435264
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,3.0,2.0,310.44063801503864,10.0,10.0,49.26501104713799
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,10.0,0.5,743.0676845590332,10.0,10.0,152.88373006095713
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,10.0,2.0,605.9847048977798,10.0,10.0,108.68758793267696
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,25.0,0.5,776.5240907649072,10.0,10.0,209.8706543630513
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,radial,25.0,2.0,768.096846941357,10.0,10.0,167.69711380773788
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.0,0.5,5.960580914889803,68.0,75.0,1.2519951513096927
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.0,2.0,11.837400828058968,27.0,63.0,2.480233134667831
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.01,0.5,9.932679529335605,27.0,24.0,1.6533458191654304
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.01,2.0,12.633957806600074,24.0,21.0,2.5985849594079014
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.03,0.5,23.903416075269455,21.0,18.0,4.266231864280101
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.03,2.0,16.981579570994047,21.0,18.0,2.8289178838201146
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.1,0.5,73.00010763523369,16.0,13.0,13.029885287796361
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.1,2.0,40.09468233013478,17.0,14.0,7.158128844824141
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.3,0.5,190.60942750547412,13.0,11.0,34.29966619595915
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,0.3,2.0,106.36134233399517,14.0,12.0,19.112764391308268
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,1.0,0.5,457.5122026365078,11.0,10.0,87.4335142896654
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,1.0,2.0,284.58100188610206,12.0,11.0,52.20801230295358
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,3.0,0.5,866.4021950003851,10.0,10.0,193.54014960759392
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,3.0,2.0,586.4221426891829,11.0,10.0,117.51166118798118
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,10.0,0.5,1726.1833767020682,10.0,10.0,512.8588521572857
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,10.0,2.0,1152.0107296973947,10.0,10.0,287.4933233079937
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,25.0,0.5,2596.408204456478,10.0,10.0,1057.7433110410918
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,prograde,25.0,2.0,1960.9576295086479,10.0,10.0,625.3260716589706
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.0,0.5,34.790445647371314,68.0,75.0,3.1599550889001016
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.0,2.0,68.2975164556794,27.0,63.0,6.206921208830707
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.01,0.5,35.11485129661016,69.0,77.0,3.1725797450157245
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.01,2.0,68.42249671139386,27.0,64.0,6.21323378718408
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.03,0.5,36.3899399008221,45.0,77.0,3.197729717557163
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.03,2.0,68.75527188173798,27.0,67.0,6.225833145611759
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.1,0.5,45.92263330155518,40.0,38.0,4.327720387260481
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.1,2.0,70.74994599566433,27.0,37.0,6.269661359052048
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.3,0.5,89.35508950474652,38.0,37.0,10.227515283807609
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,0.3,2.0,82.27269255703273,27.0,37.0,7.048387810935974
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,1.0,0.5,245.05021875241994,37.0,37.0,28.43788696022198
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,1.0,2.0,150.36389762624657,27.0,37.0,16.82851997692625
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,3.0,0.5,573.5403239993493,37.0,37.0,67.0604673794193
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,3.0,2.0,348.5337028545571,27.0,37.0,39.80417288017346
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,10.0,0.5,1131.594320510092,37.0,37.0,136.45812661848922
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,10.0,2.0,795.7389792919964,27.0,37.0,93.50301660682447
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,25.0,0.5,1499.470374560321,37.0,37.0,197.92634819693956
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,radial,25.0,2.0,1222.97598834682,27.0,37.0,151.16837775958115
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.0,0.5,34.790445647371314,68.0,75.0,3.1599550889001016
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.0,2.0,68.2975164556794,27.0,63.0,6.206921208830707
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.01,0.5,32.96439878517531,65.0,110.0,2.9120612642064003
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.01,2.0,67.09093562001739,27.0,69.0,6.081685828267958
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.03,0.5,34.138859772561396,47.0,48.0,3.062663330261728
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.03,2.0,65.28969061129281,27.0,87.0,5.838936688163265
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.1,0.5,65.5958817034079,43.0,41.0,9.602448829057142
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.1,2.0,65.37422150504278,27.0,40.0,5.814417911765624
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.3,0.5,168.9674424198736,40.0,39.0,27.51258955448943
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,0.3,2.0,99.71590355066826,27.0,38.0,13.532478963046657
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,1.0,0.5,404.97936881564686,38.0,37.0,72.66014384488173
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,1.0,2.0,248.6728335182958,27.0,37.0,41.63029073446989
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,3.0,0.5,752.3987388853776,37.0,37.0,158.5806459648702
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,3.0,2.0,511.04559181331956,27.0,37.0,96.68212080945437
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,10.0,0.5,1447.1836532361938,37.0,37.0,398.7740529041086
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,10.0,2.0,979.9315127677648,27.0,37.0,229.25331767076074
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,25.0,0.5,2399.348719488741,37.0,37.0,877.4138052863303
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,prograde,25.0,2.0,1645.425092889772,27.0,37.0,482.7101175819575
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.0,0.5,57.16746710645706,11.0,8.0,11.991926338069892
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.0,2.0,108.7211834854489,8.0,6.0,21.631392123964588
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.01,0.5,57.39831250484592,11.0,8.0,12.013403077314244
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.01,2.0,108.83481837762368,8.0,6.0,21.641951115253022
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.03,0.5,57.860379634138795,11.0,8.0,12.056349555850776
