ckpt,ep,dec,t_min,rho_km,rho_bin,action,tau,is_burn,is_warp
tb5,0,0,0.0,12580.682094023685,>5Mm,17,360,0,1
tb5,0,1,360.0,14028.283997124547,>5Mm,6,1,1,0
tb5,0,2,361.0,14034.294094852252,>5Mm,17,360,0,1
tb5,0,3,721.0,9655.497027576652,>5Mm,17,360,0,1
tb5,0,4,1081.0,1412.840598945572,0.5-5Mm,10,30,0,1
tb5,0,5,1111.0,334.4829061088695,50-500km,3,1,1,0
tb5,0,6,1112.0,312.19015583514516,50-500km,3,1,1,0
tb5,0,7,1113.0,290.1129643085337,50-500km,3,1,1,0
tb5,0,8,1114.0,268.30649299248864,50-500km,10,30,0,1
tb5,0,9,1144.0,31.832590506317263,10-50km,3,1,1,0
tb5,0,10,1145.0,30.833662531817293,10-50km,3,1,1,0
tb5,0,11,1146.0,31.038083432451717,10-50km,3,1,1,0
tb5,0,12,1147.0,31.90262213761625,10-50km,12,1,1,0
tb5,0,13,1148.0,33.138208079570276,10-50km,11,60,0,1
tb5,0,14,1208.0,42.105783995158454,10-50km,5,1,1,0
tb5,0,15,1209.0,39.600635056944334,10-50km,10,30,0,1
tb5,0,16,1239.0,29.06590456073625,10-50km,1,1,1,0
tb5,0,17,1240.0,29.396492262782907,10-50km,14,1,1,0
tb5,0,18,1241.0,29.78249656899688,10-50km,8,1,1,0
tb5,0,19,1242.0,30.22293697792366,10-50km,14,1,1,0
tb5,0,20,1243.0,30.77402504144474,10-50km,11,60,0,1
tb5,0,21,1303.0,19.79326305701023,10-50km,14,1,1,0
tb5,0,22,1304.0,19.479961204498306,10-50km,11,60,0,1
tb5,0,23,1364.0,10.520084398458124,10-50km,11,60,0,1
tb5,0,24,1424.0,20.29811090052218,10-50km,15,1,1,0
tb5,0,25,1425.0,20.364514916547666,10-50km,11,60,0,1
tb5,0,26,1485.0,19.6858689076387,10-50km,15,1,1,0
tb5,0,27,1486.0,19.823530903252326,10-50km,11,60,0,1
tb5,0,28,1546.0,7.845648214877684,<10km,11,60,0,1
tb5,0,29,1606.0,12.894340594053752,10-50km,14,1,1,0
tb5,0,30,1607.0,13.20987353151166,10-50km,11,60,0,1
