ckpt,ep,n_dec,dur_min,rho_min_km,min_<10km,burns_<10km,maxgap_min_<10km,min_10-50km,burns_10-50km,maxgap_min_10-50km,min_50-500km,burns_50-500km,maxgap_min_50-500km,min_0.5-5Mm,burns_0.5-5Mm,maxgap_min_0.5-5Mm,min_>5Mm,burns_>5Mm,maxgap_min_>5Mm
tb5,0,51,2336.0,4.864796764390205,365.0,5,120.0,827.0,17,180.0,33.0,3,30.0,30.0,0,750.0,1081.0,1,720.0
tb5,1,37,1069.0,4.74505872171134,182.0,2,120.0,397.0,7,60.0,154.0,4,60.0,336.0,6,300.0,0.0,0,0.0
tb5,2,51,1643.0,3.527654784391074,544.0,4,300.0,548.0,8,120.0,248.0,8,150.0,123.0,3,240.0,180.0,0,180.0
tb5,3,27,1126.0,2.8200336852060506,243.0,3,120.0,31.0,1,30.0,128.0,8,60.0,181.0,1,180.0,543.0,3,540.0
tb5,4,34,1099.0,6.491050344710639,152.0,2,120.0,334.0,4,180.0,96.0,6,60.0,125.0,5,60.0,392.0,2,360.0
tb5,5,22,942.0,3.7340252192046215,184.0,4,120.0,31.0,1,30.0,95.0,5,60.0,92.0,2,600.0,540.0,0,540.0
tb5,6,31,1125.0,0.11375291654622674,393.0,3,240.0,182.0,2,120.0,65.0,5,30.0,125.0,5,420.0,360.0,0,360.0
tb5,7,37,1309.0,4.322518586705145,302.0,2,180.0,306.0,6,60.0,128.0,8,60.0,153.0,3,480.0,420.0,0,420.0
tb5,8,31,914.0,3.9367844615927337,301.0,1,180.0,304.0,4,180.0,309.0,9,60.0,0.0,0,0.0,0.0,0,0.0
tb5,9,21,521.0,8.434301583869589,60.0,0,180.0,303.0,3,120.0,126.0,6,60.0,32.0,2,30.0,0.0,0,0.0
tb5,10,18,519.0,2.9486341775792484,241.0,1,240.0,32.0,2,30.0,125.0,5,60.0,121.0,1,60.0,0.0,0,0.0
tb5,11,38,1817.0,1.5937590829137442,424.0,4,480.0,362.0,2,420.0,126.0,6,60.0,183.0,3,120.0,722.0,2,360.0
tb5,12,20,793.0,0.627541459627131,1.0,1,0.0,95.0,5,60.0,33.0,3,30.0,123.0,3,240.0,541.0,1,360.0
tb5,13,76,3034.0,1.3442701278029472,1238.0,8,480.0,919.0,19,420.0,32.0,2,30.0,61.0,1,60.0,784.0,4,720.0
tb5,14,32,1033.0,1.934939784231731,241.0,1,240.0,547.0,7,180.0,153.0,3,120.0,92.0,2,60.0,0.0,0,0.0
tb5,15,24,612.0,3.777423033165802,151.0,1,270.0,275.0,5,210.0,92.0,2,120.0,94.0,4,60.0,0.0,0,0.0
tb5,16,34,1576.0,2.500306098814624,334.0,4,240.0,302.0,2,360.0,157.0,7,60.0,63.0,3,30.0,720.0,0,720.0
tb5,17,31,1066.0,3.5337601055572807,365.0,5,180.0,213.0,3,180.0,31.0,1,30.0,65.0,5,30.0,392.0,2,360.0
tb5,18,40,1937.0,3.8988377526712985,542.0,2,180.0,455.0,5,300.0,160.0,10,60.0,60.0,0,780.0,720.0,0,720.0
tb5,19,36,891.0,1.50648069513121,333.0,3,180.0,182.0,2,120.0,162.0,12,60.0,214.0,4,180.0,0.0,0,0.0
tb5,20,81,3002.0,1.7112439508137791,1811.0,11,240.0,757.0,7,210.0,157.0,7,60.0,97.0,7,60.0,180.0,0,180.0
tb5,21,28,1126.0,4.9454757062516865,181.0,1,120.0,249.0,9,120.0,31.0,1,30.0,123.0,3,600.0,542.0,2,540.0
tb5,22,35,742.0,1.6087873775441337,243.0,3,120.0,186.0,6,120.0,94.0,4,30.0,219.0,9,180.0,0.0,0,0.0
tb5,23,26,1335.0,1.2009034832346872,1.0,1,0.0,123.0,3,90.0,99.0,9,30.0,212.0,2,210.0,900.0,0,900.0
tb5,24,32,1096.0,2.340744232732173,240.0,0,240.0,244.0,4,120.0,124.0,4,60.0,90.0,0,450.0,398.0,8,360.0
tb5,25,76,3001.0,2.3419271693015715,2237.0,17,150.0,154.0,4,60.0,127.0,7,60.0,121.0,1,420.0,362.0,2,360.0
tb5,26,27,822.0,2.116379022381261,423.0,3,300.0,332.0,2,240.0,67.0,7,30.0,0.0,0,0.0,0.0,0,0.0
tb5,27,33,916.0,4.178817966406843,362.0,2,180.0,184.0,4,60.0,216.0,6,90.0,154.0,4,60.0,0.0,0,0.0
tb5,28,52,2185.0,1.662783946845473,362.0,2,300.0,698.0,8,180.0,165.0,15,60.0,0.0,0,0.0,960.0,0,960.0
tb5,29,31,1187.0,1.1257304949630003,241.0,1,180.0,305.0,5,180.0,99.0,9,30.0,180.0,0,540.0,362.0,2,360.0
