scenario,filt,seeds,rho_km_mean,rho_over_r,crlb_los_m,crlb_los_rb_m,pos_rmse_settled_m,vel_rmse_settled_ms,pos_err_final_m,rel_range_err_settled,rel_range_err_final,nees_med,nees_in_bounds,conv5pct_frac,conv5pct_min,acq_min,acq_fail_frac,diverged_frac,n_eff_final
G1_leo_10km_drift,RB-EKF,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,6.23435540078638,0.005955341316046112,6.187815940839431,7.372562377858983e-05,9.136539614352184e-05,0.6978814062181299,0.974820143884892,1.0,0.0,0.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-EKF,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,23586.44596765597,26.71790704323478,23049.793281727914,0.3963607681063369,0.34627721070009343,10754.331426632838,0.01079136690647482,0.041666666666666664,9.0,0.0,0.0,0.125,1.0
G1_leo_10km_drift,BO-UKF,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,301746.4371424457,342.5668314878415,296264.191719454,5.089195222717493,4.450730564069353,316251.67170197505,0.11870503597122302,0.0,nan,0.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-EKF-o,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,1017.5942486986287,1.1539573697018897,645.1962607335681,0.01528315614312457,0.009692321161039887,2.260304736799286,0.6564748201438849,0.9166666666666666,119.0,0.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-MPC-o,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,1264.4498034810813,1.4310880795516185,955.0061904314831,0.018226904652433516,0.01434695991040974,1.4995019534536844,0.8093525179856116,0.9583333333333334,146.0,0.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-RPB,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,1075.0865575509663,1.218532973716709,794.9962370554804,0.016308355071483975,0.011942339878706517,5.490057948453185,0.4244604316546763,0.9583333333333334,177.0,0.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-BLS,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,1403.526292372942,1.5883800481580361,1449.5581063935292,0.021736765778376334,0.02177659069516999,1.201839383495387,0.8880616174582798,0.875,198.0,114.0,0.0,0.0,1.0
G1_leo_10km_drift,BO-BLS-MPC,24,38.29190746475343,0.005655295920666449,222.86695928603547,5.389593855460986,1225.9990988601921,1.3898062635694421,963.1283896070668,0.014121318501414664,0.014469027507235022,0.7814190104143748,0.9085686777920411,0.9166666666666666,191.5,114.0,0.0,0.0,1.0
G2_leo_300km,RB-EKF,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,8.229169633605828,0.00820307520146436,6.7128497142541,4.596030610415623e-06,4.160280331433939e-06,0.9936802838289063,0.9758064516129032,1.0,0.0,0.0,0.0,0.0,1.0
G2_leo_300km,BO-EKF,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,1255750.575199421,1405.005504647672,1387997.3042923878,0.9663187510918676,0.9669393726525819,738172010674.944,0.0,0.0,nan,0.0,0.0,0.0,1.0
