scenario,filt,seeds,sigma_beta_mrad,rho_km_mean,rho_over_r,crlb_los_m,crlb_los_rb_m,pos_rmse_settled_m,vel_rmse_settled_ms,pos_err_final_m,rel_range_err_settled,rel_range_err_final,nees_med,nees_in_bounds,conv5pct_frac,conv5pct_min,acq_min,acq_fail_frac,diverged_frac,n_eff_final
G6_leo_5km_1ms_burns,RB-EKF,12,0.1,14.83302839929592,0.0021910199784943383,0.5972391183656944,0.5802700165810818,1.9965370975285,0.0021335922399729765,1.8947648858859232,9.759507576178564e-05,7.256248285346877e-05,0.9622581428898858,0.9381720430107527,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,12,0.1,14.83302839929592,0.0021910199784943383,0.5972391183656944,0.5802700165810818,1.7539395215589693,0.0019262867821028856,2.4957114045138935,8.107713344507463e-05,9.508112223117724e-05,0.6051906991199257,0.9823943661971831,1.0,44.0,44.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-RPB,12,0.1,14.83302839929592,0.0021910199784943383,0.5972391183656944,0.5802700165810818,9.85233752225005,0.008752874495544656,7.76465665091961,0.0004921248694739679,0.0002853607489117408,122.24649780224216,0.010752688172043012,1.0,26.5,0.0,0.0,0.0,1.0
G5_leo_10km_burns,RB-EKF,12,0.1,80.03738642817623,0.011821969825211349,1.0967206793485238,0.9099839843216013,4.1282159684466935,0.004710594540218837,4.395021419835027,3.884706209838399e-05,3.1443357705811556e-05,0.7476633659655709,0.9712230215827338,1.0,0.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS-MPC,12,0.1,80.03738642817623,0.011821969825211349,1.0967206793485238,0.9099839843216013,5.249087143068715,0.005872565149937942,5.670087452440317,4.666929795442363e-05,4.017628088128367e-05,0.6222154411707449,0.9914529914529915,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,12,0.1,80.03738642817623,0.011821969825211349,1.0967206793485238,0.9099839843216013,8.03164689267978,0.009180496769017698,9.652146215056439,7.514875980807797e-05,6.850728898995492e-05,3.0996958469066227,0.3579136690647482,1.0,33.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,RB-EKF,12,1.0,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,8.586067950218377,0.00857554909851866,7.736060573013321,0.0003142903565688881,0.00029474126030285116,0.8421406938610654,0.9811827956989247,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,12,1.0,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,17.637416894715493,0.01936790666820009,25.19729649999109,0.000813994196372173,0.0009600638049783615,0.6060071599488065,0.9823943661971831,1.0,44.0,44.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-RPB,12,1.0,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,20.553014800299536,0.02178045694517928,22.453101888557917,0.0009621734689768647,0.0008582038414160238,1.5687941307683513,0.8682795698924731,1.0,27.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,RB-EKF,12,1.0,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,7.406497118676301,0.007389004667351629,8.223009441406262,5.6724739834955636e-05,5.4774973030161294e-05,0.9587919739692436,0.9784172661870504,1.0,0.0,0.0,0.0,0.0,1.0
