alt_km,di_deg,tau,label,period_min,substeps_per_orbit,deg_per_decision,ideal_dv_ms,realised_over_ideal_p50,realised_over_ideal_p90,excess_p90_ms
550,0.25,1,coast tau=1,95.5,95.5,3.77,33.1,0.9966,0.9966,-0.1
550,0.25,5,warp-5min,95.5,95.5,18.85,33.1,0.9966,1.0268,0.9
550,0.25,30,warp-30min,95.5,95.5,113.09,33.1,1.2684,1.6036,20.0
550,0.25,60,warp-1hr,95.5,95.5,226.17,33.1,1.4798,2.2348,40.9
550,0.25,180,warp-3hr,95.5,95.5,678.52,33.1,1.4798,2.2348,40.9
550,0.25,360,warp-6hr,95.5,95.5,1357.04,33.1,1.4798,2.2348,40.9
550,0.75,1,coast tau=1,95.5,95.5,3.77,99.3,0.9865,0.9865,-1.3
550,0.75,5,warp-5min,95.5,95.5,18.85,99.3,0.9865,1.0067,0.7
550,0.75,30,warp-30min,95.5,95.5,113.09,99.3,1.057,1.2392,23.8
550,0.75,60,warp-1hr,95.5,95.5,226.17,99.3,1.1778,1.6308,62.7
550,0.75,180,warp-3hr,95.5,95.5,678.52,99.3,1.1778,1.6308,62.7
550,0.75,360,warp-6hr,95.5,95.5,1357.04,99.3,1.1778,1.6308,62.7
550,1.0,1,coast tau=1,95.5,95.5,3.77,132.5,0.9815,0.9815,-2.5
550,1.0,5,warp-5min,95.5,95.5,18.85,132.5,0.989,0.9966,-0.5
550,1.0,30,warp-30min,95.5,95.5,113.09,132.5,1.0494,1.2382,31.5
550,1.0,60,warp-1hr,95.5,95.5,226.17,132.5,1.1627,1.5636,74.6
550,1.0,180,warp-3hr,95.5,95.5,678.52,132.5,1.1627,1.5636,74.6
550,1.0,360,warp-6hr,95.5,95.5,1357.04,132.5,1.1627,1.5636,74.6
550,2.0,1,coast tau=1,95.5,95.5,3.77,264.9,0.9815,0.9815,-4.9
550,2.0,5,warp-5min,95.5,95.5,18.85,264.9,0.9891,0.9891,-2.9
550,2.0,30,warp-30min,95.5,95.5,113.09,264.9,1.0759,1.3024,80.1
550,2.0,60,warp-1hr,95.5,95.5,226.17,264.9,1.1401,1.6799,180.1
550,2.0,180,warp-3hr,95.5,95.5,678.52,264.9,1.1401,1.6799,180.1
550,2.0,360,warp-6hr,95.5,95.5,1357.04,264.9,1.1401,1.6799,180.1
8000,0.25,1,coast tau=1,285.8,285.8,1.26,23.0,1.0009,1.0009,0.0
8000,0.25,5,warp-5min,285.8,285.8,6.3,23.0,1.0009,1.0009,0.0
8000,0.25,30,warp-30min,285.8,285.8,37.79,23.0,1.0009,1.0444,1.0
8000,0.25,60,warp-1hr,285.8,285.8,75.59,23.0,1.0444,1.1314,3.0
8000,0.25,180,warp-3hr,285.8,285.8,226.77,23.0,1.262,1.8321,19.1
8000,0.25,360,warp-6hr,285.8,285.8,453.54,23.0,1.262,1.8321,19.1
8000,0.75,1,coast tau=1,285.8,285.8,1.26,68.9,0.9864,0.9864,-0.9
8000,0.75,5,warp-5min,285.8,285.8,6.3,68.9,0.9864,0.9864,-0.9
8000,0.75,30,warp-30min,285.8,285.8,37.79,68.9,1.0009,1.0154,1.1
8000,0.75,60,warp-1hr,285.8,285.8,75.59,68.9,1.0299,1.1024,7.1
8000,0.75,180,warp-3hr,285.8,285.8,226.77,68.9,1.2185,1.7407,51.1
8000,0.75,360,warp-6hr,285.8,285.8,453.54,68.9,1.2185,1.7407,51.1
8000,1.0,1,coast tau=1,285.8,285.8,1.26,91.9,0.99,0.99,-0.9
8000,1.0,5,warp-5min,285.8,285.8,6.3,91.9,0.99,0.99,-0.9
8000,1.0,30,warp-30min,285.8,285.8,37.79,91.9,0.99,1.0118,1.1
8000,1.0,60,warp-1hr,285.8,285.8,75.59,91.9,1.0118,1.0879,8.1
8000,1.0,180,warp-3hr,285.8,285.8,226.77,91.9,1.175,1.6319,58.1
8000,1.0,360,warp-6hr,285.8,285.8,453.54,91.9,1.175,1.6319,58.1
8000,2.0,1,coast tau=1,285.8,285.8,1.26,183.8,0.9846,0.9846,-2.8
8000,2.0,5,warp-5min,285.8,285.8,6.3,183.8,0.9846,0.9846,-2.8
8000,2.0,30,warp-30min,285.8,285.8,37.79,183.8,1.0064,1.0064,1.2
8000,2.0,60,warp-1hr,285.8,285.8,75.59,183.8,1.0064,1.0608,11.2
8000,2.0,180,warp-3hr,285.8,285.8,226.77,183.8,1.1424,1.5068,93.2
8000,2.0,360,warp-6hr,285.8,285.8,453.54,183.8,1.1424,1.5068,93.2
20200,0.25,1,coast tau=1,718.4,718.4,0.5,16.9,1.0059,1.0059,0.1
20200,0.25,5,warp-5min,718.4,718.4,2.51,16.9,1.0059,1.0059,0.1
20200,0.25,30,warp-30min,718.4,718.4,15.03,16.9,1.0059,1.0059,0.1
20200,0.25,60,warp-1hr,718.4,718.4,30.07,16.9,1.0059,1.0651,1.1
20200,0.25,180,warp-3hr,718.4,718.4,90.2,16.9,1.0651,1.3018,5.1
20200,0.25,360,warp-6hr,718.4,718.4,180.4,16.9,1.361,2.0178,17.2
20200,0.75,1,coast tau=1,718.4,718.4,0.5,50.7,0.9862,0.9862,-0.7
20200,0.75,5,warp-5min,718.4,718.4,2.51,50.7,0.9862,0.9862,-0.7
20200,0.75,30,warp-30min,718.4,718.4,15.03,50.7,0.9862,1.0059,0.3
20200,0.75,60,warp-1hr,718.4,718.4,30.07,50.7,1.0059,1.0257,1.3
20200,0.75,180,warp-3hr,718.4,718.4,90.2,50.7,1.0651,1.2623,13.3
20200,0.75,360,warp-6hr,718.4,718.4,180.4,50.7,1.2821,1.8935,45.3
20200,1.0,1,coast tau=1,718.4,718.4,0.5,67.6,0.9911,0.9911,-0.6
20200,1.0,5,warp-5min,718.4,718.4,2.51,67.6,0.9911,0.9911,-0.6
20200,1.0,30,warp-30min,718.4,718.4,15.03,67.6,0.9911,0.9911,-0.6
20200,1.0,60,warp-1hr,718.4,718.4,30.07,67.6,0.9911,1.0059,0.4
20200,1.0,180,warp-3hr,718.4,718.4,90.2,67.6,1.0355,1.1687,11.4
20200,1.0,360,warp-6hr,718.4,718.4,180.4,67.6,1.213,1.7456,50.4
20200,2.0,1,coast tau=1,718.4,718.4,0.5,135.2,0.9986,0.9986,-0.2
20200,2.0,5,warp-5min,718.4,718.4,2.51,135.2,0.9986,0.9986,-0.2
20200,2.0,30,warp-30min,718.4,718.4,15.03,135.2,0.9986,0.9986,-0.2
20200,2.0,60,warp-1hr,718.4,718.4,30.07,135.2,0.9986,0.9986,-0.2
20200,2.0,180,warp-3hr,718.4,718.4,90.2,135.2,1.0208,1.1169,15.8
20200,2.0,360,warp-6hr,718.4,718.4,180.4,135.2,1.1428,1.5541,74.9
