rung,alt_km,cap_steps,tau,label,sim_s_per_decision,decisions_to_cap,terminal_visibility_gamma_pow,vs_best_existing_warp
X3_LEO,550,3000,1,coast,60.0,3000.0,0.0,
X3_LEO,550,3000,5,warp-5min,300.0,600.0,0.049414,
X3_LEO,550,3000,30,warp-30min,1800.0,100.0,0.60577,
X3_LEO,550,3000,60,warp-1hr,3600.0,50.0,0.778313,
X3_LEO,550,3000,180,warp-3hr,10800.0,16.7,0.919852,
X3_LEO,550,3000,360,warp-6hr,21600.0,8.3,0.959089,
X3_LEO,550,3000,48,MACRO coast-to-node (P/2),2880.0,62.5,0.731042,0.762
X3_LEO,550,3000,96,MACRO clamp (one period),5760.0,31.2,0.85501,0.891
X4_wide,8000,6000,1,coast,60.0,6000.0,0.0,
X4_wide,8000,6000,5,warp-5min,300.0,1200.0,0.002442,
X4_wide,8000,6000,30,warp-30min,1800.0,200.0,0.366958,
X4_wide,8000,6000,60,warp-1hr,3600.0,100.0,0.60577,
X4_wide,8000,6000,180,warp-3hr,10800.0,33.3,0.846128,
X4_wide,8000,6000,360,warp-6hr,21600.0,16.7,0.919852,
X4_wide,8000,6000,143,MACRO coast-to-node (P/2),8580.0,42.0,0.810328,0.881
X4_wide,8000,6000,286,MACRO clamp (one period),17160.0,21.0,0.900182,0.979
X5_MEO,20200,12000,1,coast,60.0,12000.0,0.0,
X5_MEO,20200,12000,5,warp-5min,300.0,2400.0,6e-06,
X5_MEO,20200,12000,30,warp-30min,1800.0,400.0,0.134658,
X5_MEO,20200,12000,60,warp-1hr,3600.0,200.0,0.366958,
X5_MEO,20200,12000,180,warp-3hr,10800.0,66.7,0.715932,
X5_MEO,20200,12000,360,warp-6hr,21600.0,33.3,0.846128,
X5_MEO,20200,12000,359,MACRO coast-to-node (P/2),21540.0,33.4,0.845734,1.0
X5_MEO,20200,12000,718,MACRO clamp (one period),43080.0,16.7,0.919638,1.087
