test,di_max_deg,in_plane_dv,plane_dv,cost_sequential,cost_combined_1impulse,L1_err_vs_achievable,hypot_err_vs_achievable
A3_combiner,0.25,25.0,33.11,58.11,41.49,0.0,-0.286035
A3_combiner,0.25,50.0,33.11,83.11,59.97,0.0,-0.278446
A3_combiner,0.25,100.0,33.11,133.11,105.34,0.0,-0.208645
A3_combiner,0.25,200.0,33.11,233.11,202.72,0.0,-0.130368
A3_combiner,0.25,300.0,33.11,333.11,301.82,0.0,-0.093936
A3_combiner,0.75,25.0,99.34,124.34,102.44,0.0,-0.176151
A3_combiner,0.75,50.0,99.34,149.34,111.21,0.0,-0.255301
A3_combiner,0.75,100.0,99.34,199.34,140.95,0.0,-0.292889
A3_combiner,0.75,200.0,99.34,299.34,223.31,0.0,-0.253983
A3_combiner,0.75,300.0,99.34,399.34,316.02,0.0,-0.208644
A3_combiner,1.0,25.0,132.45,157.45,134.79,0.0,-0.143926
A3_combiner,1.0,50.0,132.45,182.45,141.57,0.0,-0.224042
A3_combiner,1.0,100.0,132.45,232.45,165.96,0.0,-0.286036
A3_combiner,1.0,200.0,132.45,332.45,239.88,0.0,-0.278445
A3_combiner,1.0,300.0,132.45,432.45,327.94,0.0,-0.241676
A3_combiner,2.0,25.0,264.89,289.89,266.07,0.0,-0.082178
A3_combiner,2.0,50.0,264.89,314.89,269.57,0.0,-0.14393
A3_combiner,2.0,100.0,264.89,364.89,283.14,0.0,-0.224046
A3_combiner,2.0,200.0,264.89,464.89,331.92,0.0,-0.286038
A3_combiner,2.0,300.0,264.89,564.89,400.21,0.0,-0.291529
A4_dither,,2.0,0.0681,2.0,0.0001,-7.955e-05,
A4_dither,,20.0,0.6805,20.0,0.0132,-0.00080934,
A4_dither,,50.0,1.7014,50.0,0.0824,-0.00208101,
A4b_gamma_leak,,0.995,1.817,1.817,,,sign of correction = NEGATIVE
A4b_gamma_leak,,0.995,2.05,2.05,,,sign of correction = NEGATIVE
A4b_gamma_leak,,0.99,1.817,1.817,,,sign of correction = NEGATIVE
A4b_gamma_leak,,0.99,2.05,2.05,,,sign of correction = NEGATIVE
