e,di_max_deg,overcredit_frac_p50,overcredit_frac_p90,overcredit_frac_max,phantom_dv_p90_ms
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.75,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0
0.02,0.25,0.00708,0.00988,0.01,0.27
0.02,0.75,0.00708,0.00988,0.01,0.8
0.02,1.0,0.00708,0.00988,0.01,1.06
0.02,2.0,0.00708,0.00988,0.01,2.12
0.05,0.25,0.01771,0.0247,0.025,0.66
0.05,0.75,0.01771,0.0247,0.025,1.99
0.05,1.0,0.01771,0.0247,0.025,2.65
0.05,2.0,0.01771,0.0247,0.025,5.3
0.1,0.25,0.03542,0.04941,0.05,1.33
0.1,0.75,0.03542,0.04941,0.05,3.98
0.1,1.0,0.03542,0.04941,0.05,5.31
0.1,2.0,0.03542,0.04941,0.05,10.61
0.15,0.25,0.05313,0.07411,0.075,1.99
0.15,0.75,0.05313,0.07411,0.075,5.97
0.15,1.0,0.05313,0.07411,0.075,7.96
0.15,2.0,0.05313,0.07411,0.075,15.91
0.3,0.25,0.10626,0.14822,0.15,3.98
0.3,0.75,0.10626,0.14822,0.15,11.94
0.3,1.0,0.10626,0.14822,0.15,15.92
0.3,2.0,0.10626,0.14822,0.15,31.83
0.5,0.25,0.1771,0.24703,0.25,6.63
0.5,0.75,0.1771,0.24703,0.25,19.89
0.5,1.0,0.1771,0.24703,0.25,26.53
0.5,2.0,0.1771,0.24703,0.25,53.05
