sampler,di_max_deg,i_t_deg,p50_deg,p90_deg,max_deg,ratio_max_over_knob,ratio_p90_over_knob,frac_over_knob,inc_s_max_deg,dv_p90_ms,dv_max_ms,dv_max_frac_budget
S_A_ivec_disc,0.05,0.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,0.05,6.28,6.62,0.0139
S_C_rotation,0.05,0.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,0.05,6.28,6.62,0.0139
S_A_ivec_disc,0.05,5.0,0.035463,0.04754,0.050186,1.0037,0.9508,0.00375,5.0502,6.3,6.65,0.0139
S_C_rotation,0.05,5.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,5.0498,6.28,6.62,0.0139
S_A_ivec_disc,0.05,28.5,0.037807,0.050784,0.056899,1.138,1.0157,0.1247,28.5569,6.73,7.54,0.0158
S_C_rotation,0.05,28.5,0.035395,0.047448,0.049999,1.0,0.949,0.0,28.5499,6.28,6.62,0.0139
S_A_ivec_disc,0.05,51.6,0.04491,0.067657,0.080544,1.6109,1.3531,0.38,51.6805,8.96,10.67,0.0223
S_C_rotation,0.05,51.6,0.035395,0.047448,0.049999,1.0,0.949,0.0,51.6499,6.28,6.62,0.0139
S_A_ivec_disc,0.05,80.0,0.120418,0.233366,0.292051,5.841,4.6673,0.8265,80.292,30.91,38.68,0.0809
S_C_rotation,0.05,80.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,80.0499,6.28,6.62,0.0139
S_A_ivec_disc,0.05,89.0,1.000025,1.226422,1.592417,31.8483,24.5284,0.98152,90.0,162.44,210.91,0.4411
S_C_rotation,0.05,89.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,89.0499,6.28,6.62,0.0139
S_A_ivec_disc,0.05,90.0,0.073999,1.98909,2.391722,47.8344,39.7818,0.50045,90.0,263.45,316.77,0.6625
S_C_rotation,0.05,90.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,90.0499,6.28,6.62,0.0139
S_A_ivec_disc,0.05,98.0,16.000331,16.244344,16.350986,327.0197,324.8869,1.0,82.3675,2144.41,2158.4,4.5142
S_C_rotation,0.05,98.0,0.035395,0.047448,0.049999,1.0,0.949,0.0,98.0499,6.28,6.62,0.0139
S_A_ivec_disc,0.25,0.0,0.176977,0.237239,0.249998,1.0,0.949,0.0,0.25,31.42,33.11,0.0693
