scenario,seed,n_obs,prior_lo_km,prior_hi_km,n_intervals,grid_nodes,wall_s,n_prop,n_stm,prop_equiv,final_window,acq_min,gate_pass,pos_err_m
G1_leo_10km_drift,0,278,0.1,4055.9344733697844,2,612,1.074915042030625,102268,14295,254643.0548329626,115,115.0,1,144.7272067207615
G1_leo_10km_drift,1,278,0.1,4058.106762604487,2,612,1.8588187500135973,173232,25824,448498.4159500823,184,184.0,1,160.56408797750368
G2_leo_300km,0,186,0.1,3866.408505714119,2,621,0.22074062505271286,21960,2640,50100.61873095637,45,45.0,1,2530.738014517447
G2_leo_300km,1,186,0.1,3868.5069354696116,2,621,0.5681630830513313,55068,7113,130887.78069442904,72,72.0,1,2783.029182858504
G3_leo_180deg,0,140,0.1,14108.01989212802,2,540,0.18829562503378838,19255,2144,42108.59339362517,45,45.0,1,6577.250851918223
G3_leo_180deg,1,140,0.1,14108.019185038622,2,540,0.1903345420723781,19255,2144,42108.59339362517,45,45.0,1,14879.233062949172
G4_wide_e30_90deg,0,328,0.1,26658.345729668923,1,810,0.8048777090152726,92779,7113,168598.78069442904,72,72.0,1,68613.65115440657
G4_wide_e30_90deg,1,328,0.1,26656.06332594456,1,810,0.8059026669943705,92779,7113,168598.78069442904,72,72.0,1,27432.141937367353
G6_leo_5km_1ms_burns,0,186,0.1,2983.598815044517,1,666,0.22553120797965676,23400,2640,51540.61873095637,45,45.0,1,7.230016044326099
G6_leo_5km_1ms_burns,1,186,0.1,2985.4113138068224,1,666,0.2250632499344647,23399,2640,51539.61873095637,45,45.0,1,34.12868539705518
G5_leo_10km_burns,0,278,0.1,4055.9344733697844,2,612,0.21694141591433436,21703,2640,49843.61873095637,45,45.0,1,12.294533265601594
G5_leo_10km_burns,1,278,0.1,4058.106762604487,2,612,0.21733312506694347,21703,2640,49843.61873095637,45,45.0,1,62.8360337281146
