cond,n_win,n_eps,success,rate,cp_lo,cp_hi,overrides,blind_rho_err_p50_km,causes
truth,0,100,100,1.0,0.9637833073548235,1.0,0,nan,success=100
blind1,1,100,100,1.0,0.9637833073548235,1.0,0,9275.86602900641,success=100
blind2,2,100,100,1.0,0.9637833073548235,1.0,0,9340.87726701059,success=100
blind4,4,100,100,1.0,0.9637833073548235,1.0,0,9291.809835488524,success=100
blind8,8,100,99,0.99,0.9455406146079194,0.9997468539670226,0,9053.56432123632,"success=99, stranded=1"
hold1,1,100,100,1.0,0.9637833073548235,1.0,100,9275.86602900641,success=100
hold2,2,100,100,1.0,0.9637833073548235,1.0,200,9306.509754661882,success=100
hold4,4,100,100,1.0,0.9637833073548235,1.0,400,9267.097627382424,success=100
hold8,8,100,100,1.0,0.9637833073548235,1.0,800,9212.197807927709,success=100
holdc2,2,100,100,1.0,0.9637833073548235,1.0,200,9275.86602900641,success=100
holdc8,8,100,100,1.0,0.9637833073548235,1.0,800,9336.428651046323,success=100
jump1,1,100,100,1.0,0.9637833073548235,1.0,0,9275.86602900641,success=100
jump4,4,100,100,1.0,0.9637833073548235,1.0,0,8709.598628822747,success=100
blind16,16,100,91,0.91,0.8360177449703647,0.9580164043716077,0,8093.837664140804,"success=91, stranded=9"
blind32,32,100,77,0.77,0.6751412672248971,0.8482683886989524,0,8199.712185568342,"success=77, safety_cap=2, stranded=21"
blindall,0,100,1,0.01,0.00025314603297742064,0.054459385392080645,0,7081.354655155178,"success=1, safety_cap=82, stranded=17"
blindclose50,50,100,93,0.93,0.8610802715441427,0.9713947110925613,0,23.83763401577075,"success=93, stranded=7"
blindclose200,200,100,45,0.45,0.35032022923967204,0.552719811226064,0,100.24104090591034,"success=45, stranded=55"
blindclose1000,1000,100,18,0.18,0.11031122915326057,0.26947708596681186,0,470.1727912946398,"success=18, safety_cap=25, stranded=57"
