dir,file,assigned_mode,cause,init_phase_gap_deg,init_abs_phase_gap_deg,init_da_km,init_alt_sat_km,init_alt_tgt_km,init_e_sat,init_e_tgt,closest_km,t_closest_s,frac_t_closest,relv_at_closest,joint_min,joint_min_dist_km,joint_min_relv,t_joint_min_s,ever_100km,ever_60km,ever_30km,min_relv_inside_30km,min_dist_km_when_slow,min_relv,fuel_used_frac,fuel_used_pct_of_budget,total_dv,n_burns,n_burns_last300,t_first_burn_s,t_last_burn_s,plateau_da_km,n_phase_alignments,min_align_dist_km,final_dist_km,final_relv,final_abs_phase_gap_deg,final_da_km,phase_drift_deg_per_1000rec,n_rec,t_end_s,reward,steps,n_rec_in_30km,n_rec_in_100km,frac_rec_slow,fuel_start,fuel_end,frac_burns_last_quarter,quiet_tail_s,final_phase_gap_deg,final_de,tail_med_abs_da_km,tail_med_relv,tail_med_dist_km,alt_sat_end_km,perigee_end_km,r_sat_end_km
compat_check,ep_0000044.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,88.13695509879135,88.13695509879135,405.932,742.8535,336.9215,0.01550181582570076,0.003925156779587269,275.81629996079363,15660.0,0.13056528264132067,83.69400169238426,9.193876665359788,275.81629996079363,83.69400169238426,15660.0,False,False,False,nan,nan,83.69400169238426,0.0,0.0,0.0,0,0,nan,nan,405.932,2,276.15526202573074,13152.838170671595,14179.51220746241,140.8641069753813,405.932,-333.96882431647185,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,140.8641069753813,0.011576659046113491,405.932,14840.315198146345,13465.13587611872,742.8535,632.5758532319833,852.9568099381979
compat_check,ep_0000079.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-21.07782699979873,21.07782699979873,366.181,722.119,355.938,0.011225111782550812,0.015050800517201424,392.1254018595355,67500.0,0.5627813906953477,232.93246986505065,13.070846728651183,392.1254018595355,232.93246986505065,67500.0,False,False,False,nan,nan,232.93246986505065,0.0,0.0,0.0,0,0,nan,nan,366.181,1,393.9201472869821,10295.307399471667,11187.372369008755,95.0526364556723,366.181,-305.2502488987277,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,95.0526364556723,-0.003825688734650612,366.181,14480.128287527354,13109.0010563455,722.119,642.4979463380649,780.7202294927314
compat_check,ep_0000087.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-138.14387794901472,138.14387794901472,-402.49,345.335,747.825,0.00648037064820528,0.009290670976042747,416.7959789783246,24840.0,0.20710355177588793,232.29847948173634,13.893199299277487,416.7959789783246,232.29847948173634,24840.0,False,False,False,nan,nan,220.82014008141965,0.0,0.0,0.0,0,0,nan,nan,-402.49,2,418.9994165777561,13723.221451037356,14907.372724492257,161.2438054672988,-402.49,327.0470907363666,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,161.2438054672988,-0.002810300327837467,402.49,12676.20508354739,11376.876883060791,345.335,301.8106598024862,362.114299646453
compat_check,ep_0000194.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,102.23305728786661,102.23305728786661,-471.5365,317.4325,788.969,0.00045532657532021403,0.010530224069952965,455.684970235263,96180.0,0.8019009504752376,243.29722568240967,15.1894990078421,455.684970235263,243.29722568240967,96180.0,False,False,False,nan,nan,235.3836719345695,0.0,0.0,0.0,0,0,nan,nan,-471.5365,2,455.684970235263,13475.062433581981,14726.63830582006,152.86691922843474,-471.5365,-334.7950765740378,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,152.86691922843474,-0.01007489749463275,471.5365,11066.325584018752,10038.592792677766,317.4325,314.3870789355142,317.95050628544203
taxonomy_s123,ep_0000063.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,57.933097887660054,57.933097887660054,-412.994,368.4525,781.4465,0.01018341165035963,0.017198560759425163,404.02520211306125,118740.0,0.9899949974987494,213.084957262087,13.467506737102042,404.02520211306125,213.084957262087,118740.0,False,False,False,nan,nan,206.5820425061878,0.0,0.0,0.0,0,0,nan,nan,-412.994,2,406.91148687805867,963.5359296680379,976.0927575193208,6.821441276699689,-412.994,331.3627558629367,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,6.821441276699689,-0.007015149109065533,412.994,5602.094020250721,5026.630685758997,368.4525,299.8218808944542,426.70932713632936
taxonomy_s123,ep_0000078.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,104.20527293514431,104.20527293514431,-391.898,321.9205,713.8185,0.007873542606830597,0.004791630897670984,402.2528419842309,114120.0,0.9514757378689345,231.2273326257694,13.408428066141031,402.2528419842309,231.2273326257694,114120.0,False,False,False,nan,nan,231.2273326257694,0.0,0.0,0.0,0,0,nan,nan,-391.898,2,402.2528419842309,3788.0228101503217,4161.21994574479,31.89759857305786,-391.898,327.0758176712467,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,31.89759857305786,0.0030819117091596127,391.898,3211.02707719499,2911.05882784985,321.9205,269.22350527912005,297.3803709287243
taxonomy_s123,ep_0000130.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-2.647553482917873,2.647553482917873,-397.9745,358.366,756.3405,0.017027193680405617,0.021208563819527626,553.3135490625998,66660.0,0.5557778889444722,389.2643784539915,18.443784968753327,553.3135490625998,389.2643784539915,66660.0,False,False,False,nan,nan,316.5263038077067,0.0,0.0,0.0,0,0,nan,nan,-397.9745,2,557.9606932806737,8502.978995936237,9183.373521917443,75.12826541908952,-397.9745,319.9472433114841,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,-75.12826541908952,-0.004181370139122009,397.9745,13436.407465654891,11999.603618373148,358.366,243.78378177166357,281.6285353212077
taxonomy_s123,ep_0000230.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-6.007784572629175,6.007784572629175,-425.892,372.648,798.54,0.008061478845775127,0.046417973935604095,127.84779467813476,63660.0,0.5307653826913457,78.47924724392199,4.261593155937825,127.84779467813476,78.47924724392199,63660.0,False,False,False,nan,nan,78.47924724392199,0.0028941184282302856,1.9294122088189043,10.0,1,0,63660.0,63660.0,-425.892,2,158.92060646008315,6508.454340089243,6638.122166143818,54.448926718183394,-408.2345,330.1302923004012,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.1471058875322342,0.0,56280.0,-54.448926718183394,-0.03700942546129227,408.2345,11679.970887190295,10328.756821260866,390.3055,326.6914294536188,420.57721883128306
taxonomy_s123,ep_0000253.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,38.27904346180302,38.27904346180302,394.7495,779.686,384.9365,0.03490880876779556,0.003021467477083206,508.76843457117104,7320.0,0.061030515257628815,322.51875068675434,16.958947819039036,508.76843457117104,322.51875068675434,7320.0,False,False,False,nan,nan,258.06751822079445,0.0,0.0,0.0,0,0,nan,nan,394.7495,2,544.9695250800727,11715.066980506537,13217.745052255534,118.06911465829471,394.7495,-321.1258555518652,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,118.06911465829471,0.03188734129071236,394.7495,14765.104498328226,13508.16092371953,779.686,530.0640698674471,530.2301607278958
taxonomy_s123,ep_0000269.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-68.37727475786346,68.37727475786346,359.756,660.3855,300.6295,0.03877563029527664,0.00817638635635376,569.5116242509893,58260.0,0.48574287143571787,429.33686858999357,18.98372080836631,569.5116242509893,429.33686858999357,58260.0,False,False,False,nan,nan,347.83934632549284,0.0,0.0,0.0,0,0,nan,nan,359.756,1,599.8453770381163,4912.808187474049,5840.424165515802,42.355900443147306,359.756,-303.8890513507822,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,42.355900443147306,0.030599243938922882,359.756,11096.11278448001,10345.242519423724,660.3855,387.7390953884311,517.6049394421112
