a_sat_km,a_tgt_km,di_rel_deg,dv_coarse,dv_fine,dv_inplane,dv_plane,dv_radial,dv_tangential,dv_total,episode,episode_orbits,hohmann_dv,inplane_oop_frac,lambert_dv1,lambert_dv2,lambert_dv_boxcredited,lambert_dv_timematched,lambert_revs,lambert_tof_s,lambert_wait_s,lineage,n_burns,plane_opt_dv,plane_ratio,ratio_boxcredited,ratio_inplane,ratio_total,steps,success,teleport_abs_deg,terminal_cause
6921.18,7154.613,0.0,240.0,0.0,240.0,0.0,0.0,240.0,240.0,ep_0000001.npz,11.576230801683982,124.81926691019453,0.0,150.5931162875068,141.16201478123568,241.7551310687425,291.7551310687419,11,67083.00333189171,1187.2963483146068,T3-canonical,11,0.0,nan,0.992740046256791,0.8226076405951962,0.8226076405951962,1162,1,0.0009006740889946817,1
6946.687,7144.4385,0.0,195.0,0.0,195.0,0.0,0.0,195.0,195.0,ep_0000002.npz,4.931909123758993,105.56433731488323,0.0,133.9340190256798,118.8255763626411,202.7595953883209,252.7595953883246,4,29110.11431838736,529.8780942766854,T3-canonical,9,0.0,nan,0.9617300706609723,0.7714840645333909,0.7714840645333909,494,1,0.00035191052920806494,1
6710.264,7077.12,0.0,210.0,0.0,210.0,0.0,0.0,210.0,210.0,ep_0000003.npz,4.921434390895698,202.3820773135103,0.0,108.07405319667522,93.9441252267418,152.01817842341703,202.01817842341683,2,13781.312618160395,11669.391349192418,T3-canonical,9,0.0,nan,1.3814137373432136,1.0395104125721488,1.0395104125721488,486,1,0.0003466352608826119,1
7016.535,7080.4885,0.0,210.0,0.0,210.0,0.0,0.0,210.0,210.0,ep_0000004.npz,6.5673495750069195,34.11618173840725,0.0,98.17448777397973,131.2579149540986,179.43240272807833,229.43240272807833,5,33320.7628512607,4702.679237622893,T3-canonical,9,0.0,nan,1.1703571752212754,0.9153022742340825,0.9153022742340825,649,1,0.0004729245737437508,1
7146.8635,7011.001,0.0,230.0,0.0,230.0,0.0,0.0,230.0,230.0,ep_0000005.npz,6.4495567730553915,72.0115001647946,0.0,43.07448980063673,115.79218744062811,108.86667724126484,158.86667724126485,3,21785.40377844266,8044.044943820224,T3-canonical,11,0.0,nan,2.112675851126471,1.4477548343930404,1.4477548343930404,628,1,0.0004994418350113992,1
7012.485,6758.438,0.0,135.0,0.0,135.0,0.0,0.0,135.0,135.0,ep_0000006.npz,9.234222375849013,140.38115700652907,0.0,77.18284607022424,63.25671636265949,90.43956243288373,140.43956243288375,3,19813.77654663728,29251.117395979636,T3-canonical,6,0.0,nan,1.4927095661280438,0.9612675919900895,0.9612675919900895,851,1,0.0006002465185655424,1
6703.806,7039.665,0.0,195.0,0.0,195.0,0.0,0.0,195.0,195.0,ep_0000007.npz,6.369375757715102,186.16306487198926,0.0,117.761457336335,67.93161985203314,135.69307718836814,185.69307718836686,0,3274.335141941536,26383.84919241573,T3-canonical,9,0.0,nan,1.4370666804858616,1.0501199234379224,1.0501199234379224,624,1,0.00046760081809117877,1
7150.0355,6823.892,0.0,175.0,0.0,175.0,0.0,0.0,175.0,175.0,ep_0000008.npz,7.144445295951488,176.3208308426656,0.0,66.60997738558902,108.95077153990631,125.56074892549533,175.56074892549532,0,3522.8621750753673,30974.307408707864,T3-canonical,7,0.0,nan,1.3937476599780454,0.9968059550387696,0.9968059550387696,668,1,0.0005032557707972391,1
6810.1515,6892.916,0.0,120.0,0.0,120.0,0.0,0.0,120.0,120.0,ep_0000009.npz,3.0656938301215093,46.06883470919911,0.0,62.064088093365214,17.057123880324376,62.064088093365214,79.1212119736895,1,9119.356673498965,3860.373507724719,T3-canonical,6,0.0,nan,1.9334852679939443,1.5166602862441503,1.5166602862441503,291,1,0.0002264831703798183,1
6956.068,6804.855,0.0,95.0,0.0,95.0,0.0,0.0,95.0,95.0,ep_0000010.npz,2.491724035323807,83.64140793516253,0.0,35.25899588917394,49.09134306469907,35.25899588917394,84.350338953873,0,4361.755842013079,123.45110603932585,T3-canonical,5,0.0,nan,2.694347856603857,1.1262551067157034,1.1262551067157034,232,1,0.00015726042660087395,1
