i_t_deg,da_m,di_deg,dv_ms,dv_axis,j2,orbits,n_obs,rho0_km,rho_max_km,oop_amp_m,raan_rate_deg_day,draan_deg_per_orbit,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vplane_ms,range_frac_of_box,j2_gain,fim_cond
51.6,0.0,0.0,0.0,none,0,1.0,95,4.999999889678393,4.999999889678393,9.000621953328391e-09,-4.769666919805919,0.0,inf,inf,inf,inf,inf,inf,inf,404079017063351.5
51.6,0.0,0.0,0.0,none,0,3.0,284,4.999999889678393,4.999999889678393,1.5451983292616322e-08,-4.769666919805919,0.0,285574.14402532927,0.7334837826491133,0.4191537978414122,0.1724827586178336,0.00046560647666785783,57.114828805065855,1.0,19192247957530.484
51.6,0.0,0.0,0.0,none,1,1.0,95,4.999999889678393,4.999999889678393,12.405616180167184,-4.769666919805919,0.0,235056.3121246476,1.600237653700193,0.8123021719092269,0.14197350816040363,0.0010838572341384158,47.01126242492952,inf,4450802263982.942
51.6,0.0,0.0,0.0,none,1,3.0,284,4.999999889678393,4.999999889678393,52.72977386675608,-4.769666919805919,0.0,19524.735095231903,0.6120716751907199,0.41840990845226733,0.011725286493633384,0.00047820656527087433,3.9049470190463804,213.9279192074792,98834219872.51604
51.6,0.0,0.0,1.0,nor,0,1.0,95,4.999999889678393,5.080721690711098,901.8209349360326,-4.769666919805919,0.0,9.31157057945804,0.8852645503787733,0.804783607636826,0.0008505124870723407,0.001049670618726004,0.001862314115891608,1.0,9929.508857375955
51.6,0.0,0.0,1.0,nor,0,3.0,284,4.999999889678393,5.082901208523432,902.0983239950093,-4.769666919805919,0.0,7.466473491114216,0.47371304126876385,0.6772957847499689,0.0004739603703353134,0.0009408267648638229,0.001493294698222843,1.0,59004.49921976565
51.6,0.0,0.0,1.0,nor,1,1.0,95,4.999999889678393,5.003111853084586,897.3971205069417,-4.769666919805919,0.0,9.263519235482098,0.8776844774708065,0.8011940385796792,0.0008442701495159537,0.0010444438162026956,0.0018527038470964197,1.0104012239244458,10283.491983909256
51.6,0.0,0.0,1.0,nor,1,3.0,284,4.999999889678393,5.003111853084586,897.3971205069417,-4.769666919805919,0.0,7.392193993272761,0.4596407738800119,0.6741230858829089,0.00046202878131439156,0.000933341048044802,0.001478438798654552,1.0201977090524463,67566.86938547654
51.6,0.0,0.04169392,0.0,none,0,1.0,95,4.999999889678859,7.0709084489338725,4999.7916798226415,-4.769666919805919,0.00028737023240764967,1718.1613525652576,0.9933860010976902,0.9262077525780766,0.002906934094296609,1.9019397018905642,0.3436322705130515,1.0,1970543298.3542418
51.6,0.0,0.04169392,0.0,none,0,3.0,284,4.999999889678859,7.071001825219612,4999.895357925368,-4.769666919805919,0.00028737023240764967,683.7344343648309,0.40859807487876704,0.5018174471118073,0.0009343025464909937,0.7575811707770957,0.13674688687296618,1.0,6263435018.676165
51.6,0.0,0.04169392,0.0,none,1,1.0,95,4.999999889678859,7.073354376933602,5016.815026905385,-4.769666919805919,0.00028737023240764967,1717.0141801472355,0.9922323573595718,0.9242677557457425,0.002907913340796676,1.9006782285223027,0.3434028360294471,1.0013366874380076,1972234720.299112
