i_deg,da_km,di_deg,window_min,rel_range_km,err_tot_m,err_R_m,err_T_m,err_N_m,verr_ms
0.0,0.0,0.0,105,30.37404476586917,597.8586148947663,-597.7873924296017,9.228047253121773,0.0,0.6754246915968236
0.0,0.0,0.0,300,30.14477407483141,1688.9976881405537,-1687.931954777144,59.99088752756802,0.0,1.8869288024665338
0.0,0.0,0.25,105,40.704840438242435,686.0933184846632,-596.890069446165,5.000040967287664,-338.26215610998406,1.1390406030436937
0.0,0.0,0.25,300,35.63472824866,2506.7169611072277,-1684.429143969604,44.91950299024643,-1855.8854006375477,2.6799739866948076
0.0,0.0,1.0,105,112.56640793333503,1474.0873243265999,-583.4357006532354,-58.41196985957987,-1352.4512060406269,3.7303466922846273
0.0,0.0,1.0,300,81.77337495219129,7599.745608582137,-1631.9095212979842,-181.1108709652701,-7420.256294891617,7.843831778793193
0.0,50.0,0.0,105,502.1874054067618,9993.097141000831,9553.011678749392,-2932.9095340901154,0.0,11.646235565127695
0.0,50.0,0.0,300,1475.0750432493674,81719.7974160296,79588.31521762323,-18542.528698566464,0.0,91.2426140362735
0.0,50.0,0.25,105,502.9502882460355,9998.330832227912,9553.433840749816,-2936.977606468073,-269.5993698074162,11.683696824762732
0.0,50.0,0.25,300,1475.240389001885,81735.48379151366,79588.64189539112,-18556.169793168494,-1416.317226854957,91.26692279042835
0.0,50.0,1.0,105,514.257510915957,10076.65185527022,9559.762267601853,-2997.991134339449,-1077.9179735391226,12.231837202543598
0.0,50.0,1.0,300,1477.718358876073,81970.49353270455,79593.52767099057,-18760.751182750282,-5662.718246685879,91.6308367385727
0.0,200.0,0.0,105,2061.9807483647596,39501.88389916813,36363.576471559725,-15430.137322149356,0.0,45.352178458281635
0.0,200.0,0.0,300,5758.637328158588,308076.3488939762,263692.2971377909,-159302.8850273527,0.0,341.03532843104074
0.0,200.0,0.25,105,2062.183258160415,39502.52551725521,36362.71003507157,-15433.633529999635,-76.13940093673227,45.361899428423314
0.0,200.0,0.25,300,5758.698356615893,308072.9756295977,263684.4215798524,-159309.38340941884,66.98570109814318,341.0394569675627
0.0,200.0,1.0,105,2065.2184460854437,39512.18460316672,36349.713572186745,-15486.07081379677,-304.41104575824284,45.50745363680697
0.0,200.0,1.0,300,5759.613674281301,308022.4152328118,263566.298316711,-159406.84701019886,267.96221431184676,341.1013842782979
28.5,0.0,0.0,105,30.37565530979958,411.0881848743638,-393.73933238923473,4.972609882007926,-118.059760392524,0.4467457782382538
28.5,0.0,0.0,300,30.1503787205955,1166.540980266279,-1111.7335232528744,30.87530663217356,-352.01299316464235,1.2439059325353687
28.5,0.0,0.25,105,40.71613543872861,792.205750184061,-428.65615998510594,-579.0650284059345,-329.4351833194934,1.1349781189837693
28.5,0.0,0.25,300,35.131963464305244,2523.1512338442085,-1080.4733813731664,-1699.2578827013872,-1520.326303485797,2.921737703147934
28.5,0.0,1.0,105,114.84833247571552,2600.6549475162615,-526.6017119050166,-2362.0519030192627,-952.2644593297567,4.0672122452176875
28.5,0.0,1.0,300,86.90739195839089,8622.281644538414,-961.3396768953314,-6999.130160614125,-4942.847739729855,10.369148654804157
28.5,50.0,0.0,105,501.06578963518564,6797.421589692682,6291.138156270386,-1913.206492353071,1722.254883679263,7.829335283618
28.5,50.0,0.0,300,1472.0594543472039,56409.19443189097,52460.04396552689,-11794.794618043576,17053.557502997264,60.089168811670795
28.5,50.0,0.25,105,502.5279921265679,6860.013084538184,6203.307241098683,-2482.0693465464296,1555.0210775106211,7.9843083845799825
28.5,50.0,0.25,300,1474.176371392638,56149.0489980346,52073.021246323646,-13401.398721919837,16171.53901024088,59.93544610762226
28.5,50.0,1.0,105,516.3213513435496,7364.857182721577,5943.08490244961,-4218.41219060695,1061.066328887972,9.109154356956711
28.5,50.0,1.0,300,1482.7610752904375,55788.109208932176,50913.503979079695,-18319.92667922644,13583.391629035357,60.156263110225744
28.5,200.0,0.0,105,2057.6962285960944,26743.74690385102,23959.252342244698,-10086.485907816701,6280.52766010134,30.631853356828803
28.5,200.0,0.0,300,5747.8456917412295,211223.91406975692,174467.22545753303,-103452.45627663542,58943.3491280334,226.39072209311195
28.5,200.0,0.25,105,2058.5180121334906,26728.123500315705,23732.64363577535,-10594.716139236043,6237.4836139609815,30.65475280203904
28.5,200.0,0.25,300,5749.567127404624,210560.05725025985,173109.5639040818,-104333.96262042862,59017.29270383665,225.62383458544235
28.5,200.0,1.0,105,2063.4712775592106,26756.90411511115,23046.494578859823,-12145.120528736552,6106.312536572188,30.903637371989177
28.5,200.0,1.0,300,5755.4715964957,208601.07540467064,168976.8294387788,-107024.62119422178,59219.67773499181,223.46436168316356
51.6,0.0,0.0,105,30.3783797484146,144.8624419979911,-47.17833432012709,0.6061082139839943,-136.96336920955397,0.07275562030881864
51.6,0.0,0.0,300,30.15986555546708,429.86269388939667,-132.7518257809703,4.045027232548225,-408.83068146159974,0.15619248661063018
51.6,0.0,0.25,105,41.44609633754911,785.4384909810607,-91.64116528649194,-751.1962372476727,-210.2848855350234,1.0122381000191085
51.6,0.0,0.25,300,37.120477939877006,2269.870097024028,-107.02414360415828,-2186.9842578002654,-598.2941970163932,2.835663205422453
51.6,0.0,1.0,105,119.52840440881945,3040.1250278646535,-222.1407591272946,-3002.14875855817,-424.40134268289984,4.024023130921927
51.6,0.0,1.0,300,101.20312220934802,8817.160235559199,-29.096284334701313,-8749.72099528359,-1088.0489559104565,11.255631804523338
51.6,50.0,0.0,105,499.16165529624755,2137.272100418617,753.6499873921131,-229.03476750864925,1986.82832751195,2.087713479359596
51.6,50.0,0.0,300,1466.9385281550058,20722.768998257627,6272.066347532944,-1428.554908740341,19699.07534784326,7.814773226403233
51.6,50.0,0.25,105,500.8691001709459,2237.9447398679554,642.7106511296048,-963.2750262484433,1915.0511485162142,2.4154202555747935
51.6,50.0,0.25,300,1469.6381996471255,20629.135848300968,5763.873304095634,-3479.924758871563,19499.464968418557,8.183851353350429
51.6,50.0,1.0,105,516.0796630819648,3603.894237659579,313.2401304051343,-3161.6052090979083,1701.230965725897,4.678577195055132
51.6,50.0,1.0,300,1480.5154899015129,21670.362022828707,4244.693428578125,-9623.955936980485,18946.414964866053,13.348906387340627
51.6,200.0,0.0,105,2050.4218767119023,7888.875074038544,2872.7445429681106,-1206.3422328584527,7247.511789701046,8.815694850794667
51.6,200.0,0.0,300,5729.506809938889,72273.31567511125,20988.369028003475,-12452.3823859401,68028.3668562825,44.83147741906766
51.6,200.0,0.25,105,2051.420661644326,7859.472092811639,2587.418252177243,-1867.876612981167,7182.451205867189,8.916318254861844
51.6,200.0,0.25,300,5731.689350990589,71835.09439045697,19243.64879182796,-13626.312121833533,67854.89212445197,44.40989531315818
51.6,200.0,1.0,105,2056.961914025937,8154.975897241175,1735.8945503177308,-3848.4215906792124,6977.102067130435,9.751153643225578
51.6,200.0,1.0,300,5738.972258579586,70836.20931238783,14025.309786099051,-17141.401475372666,67284.70547317916,44.09397646466568
97.4,0.0,0.0,105,30.38097127094486,286.3597176242204,284.0985978578307,-0.2006224942806919,35.91426351260206,0.3212974794283735
97.4,0.0,0.0,300,30.16889469356733,810.190895845501,803.0365157336748,4.979358734808723,107.31657884895951,0.8977410998413585
97.4,0.0,0.25,105,40.72057721042854,411.5004629008407,296.05855718110286,231.85413582701653,-167.10960890193357,0.7345966619489823
97.4,0.0,0.25,300,42.98095551123729,1041.4448048799609,798.4356334522008,653.2313643851099,142.81668470038923,2.1712896005308604
97.4,0.0,1.0,105,111.7885646561416,1287.0212196353202,338.83457696407856,975.0163309335029,-768.7378640720975,2.6564069039799847
97.4,0.0,1.0,300,123.96627185347351,2844.3602346043335,782.1993604137285,2723.0606065057877,251.9726930901591,7.989026495239556
97.4,50.0,0.0,105,497.34234622930654,4754.413542164588,-4536.597127107474,1324.8440879386894,-518.1918359952613,5.533298670494934
97.4,50.0,0.0,300,1462.0439957244562,39006.07512885056,-37990.59122385458,7192.064202390443,-5144.228603805605,43.208030111765765
97.4,50.0,0.25,105,497.78718810883936,4825.030978622521,-4505.2486944137045,1553.1408124992588,-755.917828007619,5.625080968687295
97.4,50.0,0.25,300,1461.6017235423906,39014.46660676432,-37833.8782044057,7813.283308233119,-5447.831547488373,43.233974734966075
97.4,50.0,1.0,105,507.3611725740691,5168.2692030867875,-4399.761190260249,2284.687535946723,-1460.5858028013072,6.303839340769244
97.4,50.0,1.0,300,1463.6675933662239,39108.94635214355,-37326.352664112856,9797.483288202504,-6345.266171447006,43.82894831266952
97.4,200.0,0.0,105,2043.4708098887531,18782.761813314617,-17305.538867177627,7052.322822331223,-1890.8222184913259,21.571259466328932
97.4,200.0,0.0,300,5711.962860657071,146875.63283150995,-127926.18313693104,69944.2913139213,-17752.16325595909,161.7871180993429
97.4,200.0,0.25,105,2043.3817097845738,18822.46281717776,-17223.274587644868,7262.6100669901125,-2213.236091672003,21.604401995571862
97.4,200.0,0.25,300,5711.377482089553,146739.59368920466,-127396.33295058405,70339.26579301625,-18843.311665315687,161.55473267346022
97.4,200.0,1.0,105,2044.8348357393827,18985.8635456896,-16953.246788486467,7937.589766620497,-3169.4016156145526,21.79965979748279
97.4,200.0,1.0,300,5710.077937140519,146318.68496009757,-125677.05484836982,71602.63842525728,-22079.348351660992,160.90380436994457
