case,n_orbits,Om_secular,Om_measured,Om_relerr,om_secular,om_measured,om_relerr,Mdot_secular,Mdot_measured,Mdot_relerr,Mdot_corr_relerr
LEO-500 i=51.6 e=0.02,5,-9.642741268088394e-07,-9.595421347090058e-07,0.004907310035885318,7.211883620568138e-07,8.16752949161943e-07,0.13250988525741192,0.001108630547488802,0.001107178350271136,0.001309901861314688,11.883076097341794
LEO-500 i=51.6 e=0.02,20,-9.642741268088394e-07,-9.616813935599004e-07,0.0026887927165683847,7.211883620568138e-07,7.251491958040995e-07,0.005492093266715361,0.001108630547488802,0.0011072671396568053,0.001229812614387072,11.156528068114266
LEO-500 i=51.6 e=0.02,60,-9.642741268088394e-07,-9.618088613519146e-07,0.0025566023067354606,7.211883620568138e-07,7.198180613316741e-07,0.0019000593981183939,0.001108630547488802,0.00110727230209132,0.0012251560274598153,11.114284768486502
LEO-500 i=28.5 e=0.00,5,-1.3631905802886922e-06,-1.360866246334808e-06,0.0017050689665065314,2.2194053914654087e-06,0.0008792483329703678,395.1639168542461,0.0011095297504906507,0.00023197249012767957,0.7909272013435441,859.1624364983949
LEO-500 i=28.5 e=0.00,20,-1.3631905802886922e-06,-1.3646273773602593e-06,0.001053995745233859,2.2194053914654087e-06,0.0010934890192017867,491.6945854086566,0.0011095297504906507,1.7733610308699365e-05,0.9840170033287909,1068.9105706564203
LEO-500 i=28.5 e=0.00,60,-1.3631905802886922e-06,-1.3648419838049305e-06,0.0012114252695970126,2.2194053914654087e-06,0.0011090786261951982,498.71881228192655,0.0011095297504906507,2.1441062830574453e-06,0.9980675540407012,1084.173296939298
LEO-800 i=97.4 e=0.05,5,1.728916698369127e-07,1.717303497244993e-07,0.006717039135019487,-6.155170467422257e-07,-7.473916469232224e-07,0.21425011846377806,0.0010390420900004296,0.0010375549379292273,0.0014312722126604994,2.334666272489354
LEO-800 i=97.4 e=0.05,20,1.728916698369127e-07,1.7196171026769584e-07,0.005378857003892032,-6.155170467422257e-07,-6.220891220938583e-07,0.010677324675923937,0.0010390420900004296,0.00103742511743915,0.0015562146873943894,2.538470258329578
LEO-800 i=97.4 e=0.05,60,1.728916698369127e-07,1.7197436105938608e-07,0.005305685221225046,-6.155170467422257e-07,-6.139967689461554e-07,0.002469919889492549,0.0010390420900004296,0.0010374167651938117,0.001564253096443124,2.5515823709833048
WIDE-8000 i=45 e=0.30,5,-1.0009805664149388e-07,-1.0071554637693228e-07,0.0061688483888349905,1.061700219521932e-07,1.0791462980943654e-07,0.016432207747201142,0.00036650373933257483,0.00036644382317417253,0.0001634803467801095,1.7747721769168276
WIDE-8000 i=45 e=0.30,20,-1.0009805664149388e-07,-1.0012819553854278e-07,0.00030109372809146526,1.061700219521932e-07,1.0628571022918054e-07,0.0010896510602534228,0.00036650373933257483,0.00036644442743170717,0.00016183163908688332,1.756873508364685
WIDE-8000 i=45 e=0.30,60,-1.0009805664149388e-07,-1.0009305979353478e-07,4.991953017628728e-05,1.061700219521932e-07,1.0618872337285396e-07,0.00017614596207943622,0.00036650373933257483,0.0003664444632308528,0.0001617339616505695,1.755813104470904
MEO-20200 i=55 e=0.01,5,-7.824893006693858e-09,-7.802285632609937e-09,0.0028891607929438486,4.399293294720043e-09,4.852768039031219e-09,0.10307899790528376,0.00014576618044049696,0.00014575241079147917,9.44639488815588e-05,154.93013308969347
MEO-20200 i=55 e=0.01,20,-7.824893006693858e-09,-7.82191942520931e-09,0.0003800156094152554,4.399293294720043e-09,4.426062480131218e-09,0.006084883097770081,0.00014576618044049696,0.00014575280998543937,9.172535781064425e-05,150.43857536721225
MEO-20200 i=55 e=0.01,60,-7.824893006693858e-09,-7.823091694832405e-09,0.00023020274653104414,4.399293294720043e-09,4.401054154628513e-09,0.0004002597213929009,0.00014576618044049696,0.00014575283335095906,9.156506329221478e-05,150.17567664904664
