case,n_orbits,a_ic,a_mean,da_mean_minus_ic_m,da_rel,a_sp_peak_to_peak_m,Om_secular,Om_measured,Om_relerr,om_secular,om_measured,om_relerr,Mdot_corr_secular,Mdot_corr_measured,Mdot_corr_relerr
LEO-500 i=51.6 e=0.02,5,6871000.0,6876616.315056846,5616.315056845546,0.0008173941284886547,12233.555565952323,-9.610764442480884e-07,-9.595421347090058e-07,0.0015964490111741543,7.178473149525442e-07,8.16752949161943e-07,0.13778087923326335,1.2110398095628583e-07,2.7754914899789235e-08,0.7708174852665846
LEO-500 i=51.6 e=0.02,20,6871000.0,6876616.295724158,5616.295724158175,0.0008173913148243597,12237.572735968977,-9.61076437159191e-07,-9.616813935599004e-07,0.0006294571142516689,7.178473036122166e-07,7.251491958040995e-07,0.010171929538691187,1.2110397605092152e-07,1.1653963166019521e-07,0.03768946767533962
LEO-500 i=51.6 e=0.02,60,6871000.0,6876616.224532881,5616.22453288082,0.0008173809537011819,12248.393864205107,-9.610764406439819e-07,-9.618088613519146e-07,0.0007620837187954825,7.17847299174782e-07,7.198180613316741e-07,0.002745377964307606,1.2110397219810068e-07,1.2168487324238156e-07,0.0047967133838570306
LEO-500 i=28.5 e~0,5,6871000.0,6873192.213288461,2192.213288460858,0.00031905301825947577,4391.572287173942,-1.3614560875434272e-06,-1.360866246334808e-06,0.000433242918384221,2.215983497380037e-06,0.0008792483329703678,395.77566823485165,1.0197020326189934e-06,-0.0008760055522807257,860.079931448995
LEO-500 i=28.5 e~0,20,6871000.0,6873192.406099143,2192.406099143438,0.00031908107977636995,4394.490776641294,-1.3614559441624756e-06,-1.3646273773602593e-06,0.0023294423968560347,2.2159832111450652e-06,0.0010934890192017867,492.4554619828315,1.0197018874024723e-06,-0.0010902443854772658,1070.1795307494126
LEO-500 i=28.5 e~0,60,6871000.0,6873194.4233983,2194.423398300074,0.0003193746759278233,4399.916350865737,-1.3614543958864118e-06,-1.3648419838049305e-06,0.0024882125532476244,2.215980138299235e-06,0.0011090786261951982,499.4912305064324,1.0197003412211036e-06,-0.0011058334017116187,1085.4689925153598
LEO-800 i=97.4 e=0.05,5,7171000.0,7178528.644865351,7528.644865350798,0.0010498737784619715,20252.70951595716,1.7210632096418111e-07,1.717303497244993e-07,0.0021845289445241644,-6.131519095189172e-07,-7.473916469232224e-07,0.21893389765291693,-6.345558203526419e-07,-4.889874386292212e-07,0.2294020116977635
LEO-800 i=97.4 e=0.05,20,7171000.0,7178526.400278074,7526.4002780737355,0.001049560769498499,20293.457638251595,1.7210656339498917e-07,1.7196171026769584e-07,0.0008416478978834112,-6.13152639112634e-07,-6.220891220938583e-07,0.014574646525467649,-6.345565638906855e-07,-6.192947933304684e-07,0.024051079807041832
LEO-800 i=97.4 e=0.05,60,7171000.0,7178515.16245008,7515.162450079806,0.0010479936480379036,20415.255263202824,1.7210775942656825e-07,1.7197436105938608e-07,0.0007750863042237646,-6.131562395787392e-07,-6.139967689461554e-07,0.0013708241279477124,-6.34560245597101e-07,-6.300845975905963e-07,0.007053149070650066
WIDE-8000 i=45 e=0.30,5,14371000.0,14372549.465805888,1549.465805888176,0.00010781892741550177,10202.498134054244,-1.0005241023236334e-07,-1.0071554637693228e-07,0.006627887754316556,1.0610703008905552e-07,1.0791462980943654e-07,0.017035626375216648,3.37347558136236e-08,3.3104370240834465e-08,0.01868653137055044
WIDE-8000 i=45 e=0.30,20,14371000.0,14372549.46298414,1549.4629841390997,0.00010781873106527727,10229.2162688151,-1.00052365233961e-07,-1.0012819553854278e-07,0.000757906166480556,1.0610696006734269e-07,1.0628571022918054e-07,0.0016846224010601913,3.373472848538627e-08,3.3708519869867556e-08,0.0007769031112869071
WIDE-8000 i=45 e=0.30,60,14371000.0,14372549.456842484,1549.4568424839526,0.000107818303700783,10270.827912773937,-1.0005225572796684e-07,-1.0009305979353478e-07,0.00040782754242829676,1.0610678966947086e-07,1.0618872337285396e-07,0.0007721815318165005,3.3734661981888684e-08,3.3744084154457756e-08,0.00027930241524668794
MEO-20200 i=55 e=0.01,5,26571000.0,26572621.875616413,1621.8756164126098,6.103931415500394e-05,3399.7642261721194,-7.822963751990444e-09,-7.802285632609937e-09,0.002643259004650925,4.397649402899492e-09,4.852768039031219e-09,0.10349134149522117,-8.927472980703802e-11,-5.133340973161645e-10,4.750049296432545
MEO-20200 i=55 e=0.01,20,26571000.0,26572621.875542074,1621.875542074442,6.103931135728583e-05,3400.006745927036,-7.822963751906872e-09,-7.82191942520931e-09,0.00013349501936625867,4.397649402798035e-09,4.426062480131218e-09,0.0064609691975683415,-8.927472983414307e-11,-1.1414074874605169e-10,0.2785336786580633
MEO-20200 i=55 e=0.01,60,26571000.0,26572621.875323907,1621.8753239065409,6.103930314653347e-05,3400.033826753497,-7.822963751711907e-09,-7.823091694832405e-09,1.6354814435887047e-05,4.397649402552043e-09,4.401054154628513e-09,0.0007742208995774124,-8.927472994256329e-11,-9.077702405415645e-11,0.016827764279541343
