case,n_orbits,lam_j2_secular,lam_j2_measured,lam_j2_relerr
LEO-500 i=51.6 e=0.02,20,-1.2212515749609847e-07,-1.1999256609553435e-07,0.01746234309365982
LEO-500 i=51.6 e=0.02,60,-1.2212516927118458e-07,-1.2030592677777195e-07,0.014896540199448296
LEO-500 i=28.5 e~0,20,1.8742291543851538e-06,1.8800063471605382e-06,0.0030824367243821016
LEO-500 i=28.5 e~0,60,1.8742260836340351e-06,1.8803824997745862e-06,0.003284777751366077
LEO-800 i=97.4 e=0.05,20,-1.0756026396082589e-06,-1.0694222051567132e-06,0.0057460201601928
LEO-800 i=97.4 e=0.05,60,-1.0756087257491817e-06,-1.0721070054773608e-06,0.0032555707182291994
WIDE-8000 i=45 e=0.30,20,3.9789323318746486e-08,3.9866034560488966e-08,0.0019279353189285912
WIDE-8000 i=45 e=0.30,60,3.9789195923419125e-08,3.9839747733769713e-08,0.0012704908751582564
MEO-20200 i=55 e=0.01,20,-3.5145890789421274e-09,-3.5099976938358143e-09,0.0013063789260094984
MEO-20200 i=55 e=0.01,60,-3.5145890791047577e-09,-3.5128145642706384e-09,0.0005048996608648525
