j2_mode,leg,dPhi,dv_ms,steps
0,L1a coast-to-node,-3.1086244689504383e-15,0.0,86
0,L1b plane crank,0.12364689333986578,150.0,6
0,L2 drift-open,-0.17352910534923138,110.84008580844767,5
0,L3 drift,0.9913237100452161,0.0,1110
0,L4 drift-close,-0.03172027733937571,110.84008580844767,5
0,TOTAL,0.9097212206964718,371.68017161689534,1212
0,worst_adverse_step,-0.03539561657599255,0.0,1
0,di_rel_after_crank_deg,0.20372569234174834,0.0,0
0,di_rel_after_drift_deg,0.20372569234176086,0.0,0
1,L1a coast-to-node,0.00015058547371471498,0.0,86
1,L1b plane crank,0.12379232541156493,150.0,6
1,L2 drift-open,-0.1739374792815056,110.84008580844824,5
1,L3 drift,0.9463598967908692,0.0,1110
1,L4 drift-close,-0.032473563973188735,110.84008580844824,5
1,TOTAL,0.8638917644214545,371.6801716168965,1212
1,worst_adverse_step,-0.0354082020714972,0.0,1
1,di_rel_after_crank_deg,0.20283482937526717,0.0,0
1,di_rel_after_drift_deg,0.48975961681372954,0.0,0
