tau,j2_mode,dM_rad,draan_rad,dargp_rad,dpos_m,dvel_ms
1,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0,0.0
5,1,8.881784197001252e-16,0.0,2.220446049250313e-16,7.960629182531851e-09,9.275062463698822e-12
30,0,0.0,0.0,0.0,0.0,0.0
30,1,4.440892098500626e-15,3.3306690738754696e-16,1.5543122344752192e-15,1.7647579835389925e-08,1.9968794506400328e-11
60,0,0.0,0.0,0.0,0.0,0.0
60,1,8.881784197001252e-15,6.661338147750939e-16,2.886579864025407e-15,4.2752169797287055e-08,4.78501403921324e-11
180,0,0.0,0.0,0.0,0.0,0.0
180,1,1.199040866595169e-14,1.9984014443252818e-15,8.881784197001252e-15,8.019148418351321e-09,1.184309134542256e-11
360,0,0.0,0.0,0.0,0.0,0.0
360,1,2.3092638912203256e-14,3.9968028886505635e-15,1.7763568394002505e-14,2.3006683824650244e-08,2.011710999849553e-11
3000,0,1.0658141036401503e-14,0.0,0.0,7.475504538269769e-08,8.113003715787131e-11
3000,1,1.4943601911454607e-13,3.319566843629218e-14,1.4765966227514582e-13,2.5558654490183676e-07,1.8172036436248882e-10
