episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000001.npz,4,0,2000,21.505518219332288,6927.159,6799.551,70.84776839745246,50.0,596.0309888686805,446.1408146105957,184.88708635033888,0.08388825570110778,0.11207223899396294,0.27043532886475363,15716.69415062304,2,3555.468399704866,9645.493444157602,1,7049.714417016807,96941.25601915228,16,9,27.32302325971819,37.50615942595582,0.0015360661779969414
ep_0000002.npz,1,1,1561,16.663194620759477,6765.137,6832.662,38.023279231552806,195.0,1074.9440827669737,1074.9440827669737,130.52747366994146,0.1814047847940683,0.1814047847940683,1.493938360387539,13553.95177893723,1,0.0,13553.95177893723,1,362.59277343749994,91357.15244179739,16,28,-53.95513526996139,54.93048866585206,0.0011953470831363154
ep_0000003.npz,1,1,172,1.7738452777939626,6843.112,6991.4725,81.40886949172909,255.0,866.2302491770304,866.2302491770304,1254.0725931009774,0.2943790063233938,0.2943790063233938,0.20333751124363142,12640.913103391911,1,0.0,12640.913103391911,1,1022.8661699054624,7188.261776653423,0,42,-105.03888398535825,106.91595041357483,0.00010226009148371802
ep_0000004.npz,1,1,1090,11.812062484466653,7021.782,6764.37,142.00540331915272,255.0,1271.0386931423263,1064.7540120656004,273.84940305619955,0.20062331805932365,0.23949193626920962,0.9311687268774829,14264.430002093095,2,2674.33684877688,9257.223453570561,1,3847.0588235294117,58294.70011583694,9,30,-50.518152450487385,51.36701563515223,0.0008093820684240104
ep_0000005.npz,1,1,1724,18.288605572520364,6989.718,6861.1665,70.41396528203768,290.0,673.3894244809854,673.3894244809854,146.8121280798785,0.4306571939758593,0.4306571939758593,1.9753136460375733,16252.121503075505,3,0.0,16252.121503075505,3,0.0,103384.79607361731,18,37,-15.592620382262547,71.90876734809771,0.0012760992152987096
ep_0000006.npz,1,1,851,9.142283437953642,7055.1635,6803.673,137.6476976896356,260.0,1110.382513408639,1110.382513408639,219.38763569070414,0.23415354336034627,0.23415354336034627,1.185116924121247,13792.493316161686,2,0.0,13792.493316161686,2,9708.412285812763,38341.35281798166,6,31,-40.7065619023797,41.98015030964378,0.0006314771227697411
ep_0000007.npz,1,1,1383,14.788954870810835,6936.613,6824.696,61.9014892957548,215.0,1116.9068491383266,1028.6462198258632,179.29115566748234,0.1924959097223449,0.20901257969566717,1.1991667921352693,14296.347610271869,2,1799.023446047679,9237.041400355567,1,2120.0226907169117,75752.91629036053,13,28,-33.25928003678647,37.08674529014283,0.0009774990207301417
ep_0000008.npz,1,1,103,1.1032212348361212,6885.1455,6817.261,37.78881172237652,250.0,169.93500422300818,169.93500422300818,384.07621575353915,1.471150697545053,1.471150697545053,0.6509124745189232,14415.368552742724,2,0.0,14415.368552742724,2,0.0,4235.581055586312,0,28,17.255065383240527,20.69773499347771,6.412987138436454e-05
ep_0000009.npz,1,1,90,0.9104740433483802,6909.9725,7081.797,92.70103308815487,195.0,468.13455167068355,468.13455167068355,897.8377663933501,0.4165469079436285,0.4165469079436285,0.21718845798091424,17352.715704211692,2,0.0,17352.715704211692,2,0.0,5400.0,0,25,-46.05843366829494,53.31882185723171,5.027795434186732e-05
ep_0000010.npz,1,1,1115,11.55269624526804,6709.127,6969.814,145.50693924712323,135.0,1239.4678908999886,1239.4678908999886,145.6302422091548,0.10891770653451564,0.10891770653451564,0.92700525627165,12928.09872254421,1,0.0,12928.09872254421,1,61785.435267857145,3151.6610622924036,0,15,-2.59212348805552,16.686441549943684,0.0008053065165454023
ep_0000011.npz,1,1,1094,10.873822768945157,6813.232,7165.5615,190.3846160299763,245.0,1300.3351474021922,1300.3351474021922,191.3835567289107,0.18841296452646125,0.18841296452646125,1.2801517757716012,18109.546585805052,2,0.0,18109.546585805052,2,43510.41688550419,20602.467008873296,3,29,-20.119932955367744,47.13570887461533,0.0007945966165991818
ep_0000012.npz,1,1,1189,11.858631877619784,6782.183,7149.215,199.34660618108046,255.0,694.3707706620852,694.3707706620852,198.14456225880963,0.3672389604718766,0.3672389604718766,1.2869391776037122,17611.418665983307,2,0.0,17611.418665983307,2,56284.40068605567,15010.371706882084,2,34,-7.7453714726562195,91.71809511332509,0.0008912368495068149
ep_0000013.npz,1,1,1095,11.019385206925511,6769.616,7106.646,184.13646947350935,280.0,1275.5516582270272,1275.5516582270272,222.09631296748006,0.21951286582088753,0.21951286582088753,1.2607143101965783,12589.373838068317,1,0.0,12589.373838068317,1,5359.7992712710075,54094.71608835901,9,30,-7.090719971640026,56.709054648160844,0.0008082812020136658
ep_0000014.npz,1,1,1213,12.457487775422578,6732.453,7011.007,154.3889014498809,270.0,1701.3059588817496,1502.0243936882855,212.0163635258764,0.15870161306991962,0.17975740016911668,1.2734866097589999,12687.74638688098,1,3669.3740712149815,8220.546791197045,1,11008.739495798318,41057.26518306881,7,28,-13.737442428601828,28.67873910009643,0.0008929691075973048
