seed_dir,e_max,success_n,total
puffer_orbital_177765503091,0.05,195,200
puffer_orbital_177765503091,0.10,188,200
puffer_orbital_177765503091,0.20,184,200
puffer_orbital_177765503091,0.30,186,200
puffer_orbital_177765503091,0.50,169,200
puffer_orbital_177765503091,0.70,129,200
puffer_orbital_177765655537,0.05,195,200
puffer_orbital_177765655537,0.10,186,200
puffer_orbital_177765655537,0.20,182,200
puffer_orbital_177765655537,0.30,181,200
puffer_orbital_177765655537,0.50,169,200
puffer_orbital_177765655537,0.70,129,200
puffer_orbital_177765658166,0.05,180,200
puffer_orbital_177765658166,0.10,181,200
puffer_orbital_177765658166,0.20,173,200
puffer_orbital_177765658166,0.30,177,200
puffer_orbital_177765658166,0.50,160,200
puffer_orbital_177765658166,0.70,121,200
puffer_orbital_177765658729,0.05,191,200
puffer_orbital_177765658729,0.10,189,200
puffer_orbital_177765658729,0.20,183,200
puffer_orbital_177765658729,0.30,185,200
puffer_orbital_177765658729,0.50,169,200
puffer_orbital_177765658729,0.70,131,200
puffer_orbital_177765659007,0.05,176,200
puffer_orbital_177765659007,0.10,181,200
puffer_orbital_177765659007,0.20,180,200
puffer_orbital_177765659007,0.30,177,200
puffer_orbital_177765659007,0.50,167,200
puffer_orbital_177765659007,0.70,120,200
