geometry,di_deg,rho_med_m,zsep_med_m,tilt_rad,range_rel_err,amplification,amp_pred_r_over_z,tilt_for_1pct_rad
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,1e-09,2.9313197739215314e-06,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,1e-08,2.931319742587373e-05,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,1e-07,0.00029313194354331886,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,1e-06,0.002931316364508667,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,1e-05,0.029312856557667827,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,0.0001,0.2930978612440784,2931.319773921531,4186.248945879723,3.411432655340076e-06
TB_5km_di0p02,0.020020020020834372,5312.763307908982,1617.5650914990856,0.001,3.4827470675024883,2931.319773921531,4186.248945879723,3.411432655340076e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,1e-09,1.466376845447943e-06,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,1e-08,1.4663768210267766e-05,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,1e-07,0.0001466376580305623,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,1e-06,0.001466374173083334,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,1e-05,0.014663501013619977,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,0.0001,0.14661094319632104,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p04,0.04004004004655482,13435.477271300744,3235.1299859027727,0.001,1.5494124482929699,1466.376845447943,2095.1984605851053,6.819529393854579e-06
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,1e-09,1.1731925742625022e-05,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,1e-08,0.00011731924120904313,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,1e-07,0.0011731907903329865,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,1e-06,0.011731745730031677,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,1e-05,0.11730124243926815,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,0.0001,1.2399649711198397,11731.92574262502,16763.3396177541,8.523749825373936e-07
G1_10km_di0p005,0.005005005005017728,14587.241764232334,404.39128057381043,0.001,15.742852100296206,11731.92574262502,16763.3396177541,8.523749825373936e-07
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,1e-09,5.8111548626362216e-08,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,1e-08,5.811154687769415e-07,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,1e-07,5.811152193819027e-06,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,1e-06,5.811127184496648e-05,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,1e-05,0.0005810877098499527,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,0.0001,0.0058083774384564075,58.111548626362215,88.16982617392485,0.00017208283441724553
G2_300km_di1p0,1.001001102806879,414594.63554051286,80874.15012566822,0.001,0.05783500321292474,58.111548626362215,88.16982617392485,0.00017208283441724553
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,1e-09,7.864832249730447e-08,78.64832249730446,335.2981077924732,0.00012714829359955813
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,1e-08,7.864821170866228e-07,78.64832249730446,335.2981077924732,0.00012714829359955813
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,1e-07,7.864709290533184e-06,78.64832249730446,335.2981077924732,0.00012714829359955813
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,1e-06,7.86359059435425e-05,78.64832249730446,335.2981077924732,0.00012714829359955813
