trial,n_intervals_analytic,n_components_bruteforce,span_ratio,support_rel_err
0,2,2,107135.85749824064,9.24061458181814e-06
1,1,1,30433.39343156744,3.253037852828622e-05
2,2,2,41338.28529538629,2.394887510028786e-05
3,1,1,8088.761210525246,0.00012240052142218372
4,1,1,17965.444001096126,5.51076329044239e-05
5,1,1,19183.36511637859,5.16076583428227e-05
6,1,1,21581.02083136692,4.587481053610486e-05
7,2,2,131800.6753902821,7.511355433484781e-06
8,1,1,27157.24093249255,3.6455153937968284e-05
9,1,1,9328.656742294948,0.00010613128136498478
10,2,2,114454.27338728934,8.649781758689452e-06
11,2,2,124817.43042639278,7.931592212897756e-06
12,1,1,5222.186696638344,0.0001895845295575847
13,2,2,113841.59107923687,8.696312907733513e-06
14,1,1,4753.084443841222,0.00020829123164951081
15,2,2,72918.37045568945,1.3576934411196806e-05
16,2,2,51956.189896247786,1.9054517028737597e-05
17,1,1,4201.188077994752,0.0002356698363908688
18,1,1,14966.794868459425,6.61471067785885e-05
19,2,2,120487.81369739157,8.21662345802756e-06
20,2,2,85948.6325139535,1.151856015495566e-05
21,1,1,14269.340149142286,6.938165747663281e-05
22,2,2,88258.03951162354,1.1217110009879581e-05
23,1,1,4132.267632607305,0.0002395962941380023
24,2,2,43633.41104662619,2.268936120032776e-05
25,1,1,5658.051255492559,0.00017497525322750484
26,1,1,11772.679146049853,8.409307518541721e-05
27,1,1,14162.059929781628,6.990511991343076e-05
28,1,1,5148.894598113085,0.00019227778644579456
29,1,1,9285.222426412674,0.00010662308473412985
30,1,1,16032.765831957036,6.175051781931612e-05
31,2,2,40122.47090731212,2.4674831883962653e-05
32,2,2,55649.19175300031,1.779022370446282e-05
33,1,1,10349.15085888762,9.566598669076902e-05
34,1,1,22884.253402626746,4.326136201799125e-05
35,2,2,111756.23560812985,8.858583355571248e-06
36,1,1,7942.307684483747,0.00012465511960996735
37,1,1,35992.158611739695,2.7506062928137135e-05
38,2,2,80225.3596305006,1.2340284748138467e-05
39,1,1,5557.770174350449,0.00017813609082413713
40,2,2,69164.95653071119,1.431370646338863e-05
41,2,2,78415.60084766595,1.2625121279754835e-05
42,2,2,83556.50865103971,1.1848342525883229e-05
43,1,1,5293.321092210095,0.00018704167181933873
44,2,2,49677.497983830915,1.992864540012105e-05
45,2,2,116735.67717951223,8.480705394348246e-06
46,1,1,8405.811688706983,0.00011778479186820754
47,2,2,41232.21363070067,2.40105195514898e-05
48,2,2,39752.7192875988,2.4904064953748537e-05
49,1,1,7062.981514337877,0.00014017212237744359
50,1,1,6070.652031965815,0.00016308977125910476
51,2,2,77459.11769970722,1.2781041787946935e-05
52,1,1,11054.592050568252,8.955925650943724e-05
53,2,2,91598.7525217479,1.0808062358339345e-05
54,2,2,112922.8877655397,8.767055938820466e-06
55,2,2,99354.17011017677,9.964395622090878e-06
56,2,2,77688.42164842867,1.2743289490966372e-05
57,1,1,37175.67885026639,2.6630597724475076e-05
58,1,1,17058.793091949927,5.8035832297285286e-05
59,1,1,5212.048949284646,0.0001899497164482378
60,1,1,29433.514724834786,3.363519841528082e-05
61,2,2,119865.39660838939,8.259291380436882e-06
