v_tol_ms,da_m,di_deg,dv_ms,dv_axis,burn_frac,orbits,sigma_drift_m,sigma_range_m,gain
0.0,0.0,0.0,1.0,pro,0.0,1.0,inf,inf,inf
0.0,0.0,0.0,1.0,rad,0.0,1.0,inf,inf,inf
0.0,0.0,0.0,1.0,nor,0.0,1.0,inf,inf,inf
0.0,0.0,0.0,1.0,perp_los,0.0,1.0,inf,inf,inf
0.0,0.0,0.0,1.0,pro,0.05,1.0,inf,274.5597587165138,inf
0.0,0.0,0.0,1.0,rad,0.05,1.0,inf,63.42186327444086,inf
0.0,0.0,0.0,1.0,nor,0.05,1.0,inf,59.89562020561523,inf
0.0,0.0,0.0,1.0,perp_los,0.05,1.0,inf,59.7565973673588,inf
0.0,0.0,0.0,1.0,pro,0.1,1.0,inf,77.98027241586593,inf
0.0,0.0,0.0,1.0,rad,0.1,1.0,inf,31.667966881688397,inf
0.0,0.0,0.0,1.0,nor,0.1,1.0,inf,28.197946108776822,inf
0.0,0.0,0.0,1.0,perp_los,0.1,1.0,inf,27.639361434986196,inf
0.0,0.0,0.0,1.0,pro,0.2,1.0,inf,19.08222390992075,inf
0.0,0.0,0.0,1.0,rad,0.2,1.0,inf,17.02823293088088,inf
0.0,0.0,0.0,1.0,nor,0.2,1.0,inf,12.474088182176008,inf
0.0,0.0,0.0,1.0,perp_los,0.2,1.0,inf,11.18342277882671,inf
0.0,0.0,0.0,1.0,pro,0.35,1.0,inf,8.846467267689285,inf
0.0,0.0,0.0,1.0,rad,0.35,1.0,inf,18.78615049006557,inf
0.0,0.0,0.0,1.0,nor,0.35,1.0,inf,9.261782213580602,inf
0.0,0.0,0.0,1.0,perp_los,0.35,1.0,inf,7.451793794443714,inf
0.0,0.0,0.0,1.0,pro,0.5,1.0,inf,6.6762857451659166,inf
0.0,0.0,0.0,1.0,rad,0.5,1.0,inf,23.79351987679827,inf
0.0,0.0,0.0,1.0,nor,0.5,1.0,inf,9.156993403462243,inf
0.0,0.0,0.0,1.0,perp_los,0.5,1.0,inf,11.051086917652249,inf
0.0,0.0,0.0,1.0,pro,0.75,1.0,inf,8.051125450492107,inf
0.0,0.0,0.0,1.0,rad,0.75,1.0,inf,14.848682604992483,inf
0.0,0.0,0.0,1.0,nor,0.75,1.0,inf,11.211665013190983,inf
0.0,0.0,0.0,1.0,perp_los,0.75,1.0,inf,11.574643531038431,inf
