i_chaser_deg,gauge_tilt_deg,n,dlam_err_deg_med,dlam_err_deg_p95,dlam_err_deg_max,gain_deg_per_deg
0.02,0.001,400,1.2248219389453687e-07,1.7401849742002436e-07,1.7453296358974792e-07,0.00012248219389453686
0.02,0.01,400,1.2683211512685289e-06,1.7374838639647952e-06,1.7453283891200443e-06,0.00012683211512685288
0.02,0.1,400,1.2281208357054202e-05,1.7395733062083446e-05,1.7453179212784766e-05,0.000122812083570542
0.02,0.5,400,6.273981686899567e-05,8.705651376650596e-05,8.726431067191508e-05,0.00012547963373799135
0.02,0.01,400,0.0074503793328934975,0.009982205619282212,0.009999938440237163,0.7450379332893498
0.02,0.1,400,0.08127572830132937,0.0997977166217178,0.09999883444218546,0.8127572830132936
0.1,0.001,400,6.142316461945412e-07,8.716761641537786e-07,8.726570828397544e-07,0.0006142316461945413
0.1,0.01,400,6.084182995921872e-06,8.692618056039684e-06,8.726502891749547e-06,0.0006084182995921872
0.1,0.1,400,6.282110493848912e-05,8.698404881395993e-05,8.726603725510724e-05,0.0006282110493848912
0.1,0.5,400,0.0002944073740358546,0.00043498670730039506,0.0004363311861655948,0.0005888147480717092
0.1,0.01,400,0.007395494771922825,0.009971085220201988,0.009999994316257902,0.7395494771922825
0.1,0.1,400,0.06487874953426054,0.09960584454536005,0.09999995457937585,0.6487874953426054
0.25,0.001,400,1.602052695606722e-06,2.1687193997121292e-06,2.1816645384267196e-06,0.001602052695606722
0.25,0.01,400,1.4889849384804298e-05,2.176153029771413e-05,2.1816615614275376e-05,0.0014889849384804297
0.25,0.1,400,0.00015061887460235255,0.00021789597907053817,0.0002181665527197559,0.0015061887460235254
0.25,0.5,400,0.0007945919504964642,0.0010891923020541173,0.0010908393203758664,0.0015891839009929284
0.25,0.01,400,0.007456001537456543,0.0099857626814923,0.009999993818908415,0.7456001537456542
0.25,0.1,400,0.06843009594390445,0.09975719603998207,0.099997693331032,0.6843009594390445
0.5,0.001,400,3.0828491612042055e-06,4.347362641463617e-06,4.363350653736398e-06,0.0030828491612042053
0.5,0.01,400,3.081358732924922e-05,4.348422926438892e-05,4.363346200959844e-05,0.003081358732924922
0.5,0.1,400,0.00032578897946272114,0.00043422532883506773,0.0004363328018364841,0.003257889794627211
0.5,0.5,400,0.0015773746526515015,0.002177928165500969,0.0021816816316435773,0.003154749305303003
0.5,0.01,400,0.006888686189927858,0.009968179314271602,0.009999991584684943,0.6888686189927857
0.5,0.1,400,0.06761255377444342,0.09967426528351402,0.09999826423848687,0.6761255377444342
1.0,0.001,400,6.341385343903218e-06,8.685483346722693e-06,8.726826697660558e-06,0.006341385343903218
1.0,0.01,400,6.158611916811479e-05,8.692528815781987e-05,8.726705078338426e-05,0.006158611916811479
1.0,0.1,400,0.0006181201876663221,0.0008693676508506573,0.0008726867749715943,0.006181201876663221
1.0,0.5,400,0.0029680135334057105,0.004355704097360131,0.00436338009289964,0.005936027066811421
1.0,0.01,400,0.0066054727529292635,0.009943645952331853,0.009999254360923715,0.6605472752929263
1.0,0.1,400,0.07238806475448933,0.09935961844801461,0.09998680708446683,0.7238806475448933
