block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
leo,6771.0,0.0,51.6,5.0,0.0,0.0,0.0,none,0.25,24,4.999999886396891,4.999999886419358,5.06947820418916e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,nan,nan,1.1213272445203148e+16
leo,6771.0,0.0,51.6,5.0,0.0,0.0,0.0,none,0.5,47,4.999999886396891,4.999999886481325,5.06947820418916e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,nan,nan,3859799371964000.0
leo,6771.0,0.0,51.6,5.0,0.0,0.0,0.0,none,1.0,93,4.999999886396891,4.999999886342673,8.904142336843864e-09,681894.9609080561,1.266239045845971,0.7309331610696629,681894.9609096235,0.42714064404121976,772.6930605191208,0.0008335040318830577,136.3789952802268,0.00014618663553538384,1.0719145953158304e-06,0.5772473716298397,35611220150458.94
leo,6771.0,0.0,51.6,5.0,0.0,0.0,0.0,none,2.0,186,4.999999886396891,4.999999885808713,1.37066391022497e-08,318306.7827972595,0.9684975346183186,0.5168564368770235,318306.7827991526,0.19920315854034923,360.69127791343544,0.0005893747668569125,63.66135800587754,0.00010337128972406468,1.623768216105615e-06,0.5336683041539335,15545800518964.51
leo,6771.0,0.0,51.6,5.0,0.0,0.0,0.0,none,3.0,278,4.999999886396891,4.999999884676358,1.37066391022497e-08,220930.05072715503,0.8561457827168403,0.42351591006955264,220930.05072921983,0.13814925790334734,250.34825715799798,0.00048122151138551216,44.18601114936465,8.470318393841953e-05,1.916968328552949e-06,0.49467733021541416,11249295765907.643
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,pro,0.25,24,4.999999886396891,4.818637472892972,2.551719897700041e-09,186.45413069506228,3.6783562543024315,1.798969549979677,186.49908699354722,0.02526939598217686,0.18876956775651577,0.00195675693705949,0.03729082698628323,0.00035979391817067693,0.009648322315378544,0.4890688735968659,216197.90291505915
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,pro,0.5,47,4.999999886396891,5.235390156696828,4.880920166425651e-09,36.09440548605547,2.791153042276444,1.1071148012924594,36.21908814258638,0.003009780239372396,0.03283205280435612,0.0011452214219818287,0.007218881261228565,0.00022142296528935933,0.030672753474778148,0.3966514141372573,18490.358141082044
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,pro,1.0,93,4.999999886396891,7.850684330013626,8.539067077455827e-09,9.120919438828313,1.9456198008901535,0.8404196099578616,9.363915470571794,0.001440994803927596,0.008235871343328717,0.0010342381096560915,0.0018241839292122556,0.00016808392581054362,0.09214198366670621,0.43195469617103793,3419.6338966235967
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,pro,2.0,186,4.999999886396891,11.759401998566439,9.744478402361154e-09,5.534702966628492,1.0380164286630444,0.7042618933055396,5.675068268253953,0.0009904499807884385,0.0062055121595834825,0.0007873858524325911,0.0011069406184760775,0.0001408523818613616,0.12724474963731364,0.6784689277149711,3967.3960284456207
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,pro,3.0,278,4.999999886396891,15.63403827507386,1.1849090667235085e-08,5.94839710723479,0.7277360346296551,0.6164689044569522,6.0243723151561674,0.0007342946600657911,0.00685892756802278,0.0006816932866984342,0.0011896794484772147,0.00012329378369270187,0.10363613816353427,0.8471050973457338,4399.821599569311
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,nor,0.25,24,4.999999886396891,5.01483170661692,751.9039824365494,53.9652233069218,2.7643586922932863,2.882487664419432,54.112805699585785,0.003787813854170964,0.06033267415245166,0.007872248704677511,0.010793044906609052,0.0005764975459822691,0.05341380036594257,1.0427328669233396,20630.138623532293
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,nor,0.5,47,4.999999886396891,5.030244542744101,882.4692285629982,18.095849503238345,1.9024183688379745,2.027947526744911,18.308236836603747,0.0014672915095035367,0.02022590178247802,0.0023694859480150677,0.003619169982877461,0.0004055895145642281,0.11206699781527248,1.065983991725023,14308.552983917312
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,nor,1.0,93,4.999999886396891,5.022515745788193,882.4692285694978,9.545959220033915,0.8912512387850225,1.0914374090358605,9.64939903926816,0.0008771898884955715,0.010656474594233432,0.0009335009540232032,0.0019091918873848097,0.0002182874867667995,0.11433501693002025,1.2246125015475289,9093.34259009608
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,nor,2.0,186,4.999999886396891,5.026470425240316,882.4692285602465,7.8696748668957595,0.6194240789835258,0.8616838854204354,7.94090472293105,0.0006158821242806371,0.00887995452629709,0.0006793421386937162,0.0015739350091399339,0.0001723367809996859,0.10949421672363598,1.3911049225507308,23540.201398048863
