block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
wide,12000.0,0.0,51.6,10.0,0.0,0.0,0.0,none,0.5,110,9.999999710648957,9.999999710834715,6.208597912233596e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,nan,nan,5856340838660919.0
wide,12000.0,0.0,51.6,10.0,0.0,0.0,0.0,none,1.0,219,9.999999710648957,9.999999711064383,6.208597912233596e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,nan,nan,1634651598028257.0
wide,12000.0,0.0,51.6,10.0,0.0,0.0,0.0,none,1.5,328,9.999999710648957,9.999999710752583,6.671345372949545e-09,1036376.5853316159,0.9704133859919096,0.7797811215043589,1036376.5853323637,0.31118579735988616,497.7537416102013,0.00037558085140602417,103.63766153192813,7.797811440674076e-05,7.524109793110073e-07,0.8035556112071809,73152655317995.66
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,pro,0.5,110,9.999999710648957,48.39026905732217,3.635270596401978e-09,10.042463282198174,3.8914801741956113,2.2254585204438007,10.997606664482593,0.002142597478330376,0.002094077592850901,0.0006224036644097999,0.0010042463572777906,0.00022254585848376768,0.2216048451368273,0.5718797015081323,911.6612303556016
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,pro,1.0,219,9.999999710648957,195.12508303292043,8.070951010073772e-09,5.959220763276169,2.799913017217504,1.2056154676768194,6.693678634752899,0.0008002811040438714,0.0019370617648623242,0.0005491029488158244,0.0005959220935706848,0.00012056155025614296,0.20231092546637167,0.4305903291506303,2527.836606267543
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,pro,1.5,328,9.999999710648957,344.21236945623065,1.1895107073804965e-08,5.432936858446087,2.1221615722944343,0.8666397116571688,5.8967310466568215,0.0007901509678877642,0.002225080474601143,0.000618545182410962,0.0005432937015648686,8.6663973673348e-05,0.15951588141685905,0.40837593280900714,9193.8887121491
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,nor,0.5,110,9.999999710648957,28.871974631892577,52047.97486777444,7.4613778928755,3.0290829526192993,2.935795691527607,8.57125428023998,0.0010226975725881522,0.0030005324554800462,0.001946469128814347,0.0007461378108771254,0.0002935795776475164,0.3934656217226114,0.9692028040991663,312.83091830838646
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,nor,1.0,219,9.999999710648957,25.217154363506996,52047.974867766876,6.345684821204488,1.5084011606154373,1.7180056489465783,6.7449635522531475,0.0006471910939681311,0.002925429753522107,0.0006570236113070769,0.0006345685004817545,0.00017180056986572522,0.27073605093113967,1.1389580529397239,4927.262124321949
wide,12000.0,0.0,51.6,10.0,0.0,0.0,25.0,nor,1.5,328,9.999999710648957,27.053450272600337,52048.454968428334,6.1912755917206965,1.042851130464117,1.1656319256792667,6.385775576945178,0.00046002112071948976,0.0030414092919554287,0.0006490523260395506,0.0006191275770865907,0.00011656319594069489,0.1882700759174752,1.1177356878929656,11538.54257714064
wide,12000.0,0.0,51.6,10.0,0.0,0.1,0.0,none,0.5,110,9.999999710648906,17.203070603326747,20942.087049318492,2740.5575986551726,2.778126857072864,3.462402830156486,2740.5611939471078,0.005733825726908034,1.3152612374302677,2.749569852062772,0.27405576779535085,0.00034624029303414935,0.0012633935633593442,1.2463083970919169,591470839.292197
wide,12000.0,0.0,51.6,10.0,0.0,0.1,0.0,none,1.0,219,9.999999710648906,17.23596136548365,20942.235319566753,1088.5719510757508,1.5340402094507537,1.5732675634714317,1088.5741688645094,0.002514402371008239,0.5228202527444934,1.0925962288016222,0.10885719825737002,0.00015732676089941022,0.0014452582228640873,1.025571268457639,904803418.8248953
wide,12000.0,0.0,51.6,10.0,0.0,0.1,0.0,none,1.5,328,9.999999710648906,17.246991821403654,20942.377409333585,770.604101639563,0.7917158865739955,1.2477401938428572,770.6055184939662,0.0015707958125511018,0.3700230777626319,0.773981660465448,0.07706041239370777,0.00012477402299463573,0.0016191714931027793,1.5759948928677214,1161631878.6231763
wide,12000.0,0.0,51.6,10.0,0.0,0.1,25.0,pro,0.5,110,9.999999710648906,53.62574665752586,20962.959208493354,10.848093483542678,3.904300695481872,4.149499323585467,12.253286937995764,0.002687720473443706,0.0028910916616316207,0.004341107895622791,0.0010848093797433459,0.00041494994436516876,0.38250954694302275,1.0628021884654897,299.8212213786431
