da_m,di_deg,dv_ms,dv_axis,orbits,angles,sigma_range_m,sigma_plane_m,sigma_inplane_m,fim_cond
0.0,0.0,0.0,none,1.0,both,inf,inf,inf,187106704146860.66
0.0,0.0,0.0,none,1.0,inplane,inf,inf,inf,5923045445370389.0
0.0,0.0,0.0,none,1.0,oop,inf,inf,inf,1.1223657662703725e+17
0.0,0.0,1.0,nor,1.0,both,12.474088182176008,1.7631517995219583,0.8849594981759442,17708.889286554608
0.0,0.0,1.0,nor,1.0,inplane,inf,inf,inf,696713793730494.6
0.0,0.0,1.0,nor,1.0,oop,83.72061942833334,1.8042881770846064,17.281679259617537,250370.80179089514
0.0,0.04169392,0.0,none,1.0,both,1718.0865555347918,0.9261936014870048,0.9935683147537674,1970367019.4484386
0.0,0.04169392,0.0,none,1.0,inplane,inf,inf,inf,2140462375060005.2
0.0,0.04169392,0.0,none,1.0,oop,14631.7254933394,1.272607888281525,4.469661973029768,124788647403.26593
0.0,0.04169392,1.0,nor,1.0,both,13.709323118172929,2.144078614842678,0.9766529874385866,145854.22024983927
0.0,0.04169392,1.0,nor,1.0,inplane,inf,inf,inf,5316082186905129.0
0.0,0.04169392,1.0,nor,1.0,oop,14.452564919249218,2.639900634429219,3.411442663437765,138473.13619258645
0.0,0.25,0.0,none,1.0,both,297.8159205223955,1.9036542426729826,1.5886427027648005,305347597.47357076
0.0,0.25,0.0,none,1.0,inplane,inf,inf,inf,3556932666747003.5
0.0,0.25,0.0,none,1.0,oop,561.2526789394229,2.132134649904966,3.9536930074743983,994980758.264908
0.0,0.25,1.0,nor,1.0,both,24.476473824760173,3.807024740982111,1.5569188757607917,2373337.6893628864
0.0,0.25,1.0,nor,1.0,inplane,inf,inf,inf,3594667137072492.5
0.0,0.25,1.0,nor,1.0,oop,24.815965638164663,4.055894042476578,3.4840886647515044,2260885.572060389
0.0,1.0,0.0,none,1.0,both,67.31365458471255,3.389183673450754,2.6533001746103873,60864487.033185646
0.0,1.0,0.0,none,1.0,inplane,inf,inf,inf,2.5601597939081404e+16
0.0,1.0,0.0,none,1.0,oop,105.6342320285824,3.5197359718021346,8.681385784759675,136023193.86956313
0.0,1.0,1.0,nor,1.0,both,34.84612302018047,4.552979438953001,2.6929646808630943,17011189.968142852
0.0,1.0,1.0,nor,1.0,inplane,inf,inf,inf,9772865577224920.0
0.0,1.0,1.0,nor,1.0,oop,39.51221295886654,4.741634382084457,8.527180255637713,19208953.31427554
601.4087963297178,0.0,0.0,none,1.0,both,2354.0562577687306,1.0505472400329954,1.9243363917853051,117212244.90004797
601.4087963297178,0.0,0.0,none,1.0,inplane,inf,inf,inf,3086768417954650.0
