kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,wall_s
diag,LEO,0.0,0.0,30,same_orbit,1337,200,200,4.6
diag,LEO,0.0,0.0,30,same_orbit,42,200,200,4.6
diag,LEO,0.0,0.0,30,same_orbit,31415,200,200,4.6
diag,LEO,0.0,0.0,30,fully_random,42,190,200,5.8
diag,LEO,0.0,0.0,30,fully_random,31415,188,200,3.6
diag,LEO,0.0,0.0,30,fully_random,1337,189,200,3.6
diag,LEO,0.0,0.0,90,same_orbit,42,186,200,6.6
diag,LEO,0.0,0.0,90,same_orbit,1337,193,200,6.4
diag,LEO,0.0,0.0,90,fully_random,42,193,200,4.5
diag,LEO,0.0,0.0,90,same_orbit,31415,193,200,6.4
diag,LEO,0.0,0.0,90,fully_random,1337,194,200,4.3
diag,LEO,0.0,0.0,90,fully_random,31415,197,200,4.3
diag,LEO,0.0,0.0,150,same_orbit,42,200,200,4.9
diag,LEO,0.0,0.0,150,same_orbit,1337,199,200,4.9
diag,LEO,0.0,0.0,150,same_orbit,31415,200,200,4.9
diag,LEO,0.0,0.0,150,fully_random,42,195,200,4.4
diag,LEO,0.0,0.0,150,fully_random,1337,193,200,4.4
diag,LEO,0.0,0.0,150,fully_random,31415,195,200,4.2
diag,LEO,0.0,0.0,180,same_orbit,42,200,200,4.5
diag,LEO,0.0,0.0,180,same_orbit,1337,200,200,4.3
diag,LEO,0.0,0.0,180,same_orbit,31415,200,200,4.6
diag,LEO,0.0,0.0,180,fully_random,42,195,200,4.5
diag,LEO,0.05,0.05,30,same_orbit,42,200,200,1.8
diag,LEO,0.0,0.0,180,fully_random,1337,192,200,4.7
diag,LEO,0.0,0.0,180,fully_random,31415,195,200,4.8
diag,LEO,0.05,0.05,30,same_orbit,1337,200,200,2.2
diag,LEO,0.05,0.05,30,same_orbit,31415,200,200,2.2
diag,LEO,0.05,0.05,30,fully_random,42,171,200,4.0
diag,LEO,0.05,0.05,30,fully_random,1337,176,200,3.9
diag,LEO,0.05,0.05,90,same_orbit,42,200,200,3.6
diag,LEO,0.05,0.05,30,fully_random,31415,170,200,4.1
diag,LEO,0.05,0.05,90,same_orbit,1337,200,200,3.7
diag,LEO,0.05,0.05,90,same_orbit,31415,200,200,3.5
diag,LEO,0.05,0.05,90,fully_random,42,173,200,3.8
diag,LEO,0.05,0.05,90,fully_random,1337,172,200,4.0
diag,LEO,0.05,0.05,90,fully_random,31415,171,200,4.1
diag,LEO,0.05,0.05,150,same_orbit,42,200,200,4.4
diag,LEO,0.05,0.05,150,same_orbit,1337,200,200,4.2
diag,LEO,0.05,0.05,150,same_orbit,31415,200,200,4.4
diag,LEO,0.05,0.05,150,fully_random,42,179,200,4.0
diag,LEO,0.05,0.05,150,fully_random,1337,180,200,4.1
diag,LEO,0.05,0.05,150,fully_random,31415,179,200,4.2
diag,LEO,0.05,0.05,180,same_orbit,42,200,200,3.7
diag,LEO,0.05,0.05,180,same_orbit,1337,200,200,3.8
diag,LEO,0.05,0.05,180,same_orbit,31415,200,200,3.8
diag,LEO,0.05,0.05,180,fully_random,1337,185,200,4.0
diag,LEO,0.05,0.05,180,fully_random,42,184,200,4.0
diag,LEO,0.1,0.1,30,same_orbit,42,0,200,1.8
diag,LEO,0.1,0.1,30,same_orbit,31415,0,200,1.8
diag,LEO,0.1,0.1,30,same_orbit,1337,0,200,1.8
diag,LEO,0.1,0.1,30,fully_random,42,0,200,1.8
diag,LEO,0.05,0.05,180,fully_random,31415,185,200,4.4
diag,LEO,0.1,0.1,30,fully_random,1337,0,200,1.9
diag,LEO,0.1,0.1,30,fully_random,31415,0,200,1.9
diag,LEO,0.1,0.1,90,same_orbit,42,0,200,1.8
diag,LEO,0.1,0.1,90,same_orbit,1337,0,200,1.8
diag,LEO,0.1,0.1,90,same_orbit,31415,0,200,1.8
diag,LEO,0.1,0.1,90,fully_random,42,0,200,1.8
diag,LEO,0.1,0.1,90,fully_random,1337,0,200,1.8
diag,LEO,0.1,0.1,90,fully_random,31415,0,200,1.9
diag,LEO,0.1,0.1,150,same_orbit,1337,0,200,1.8
diag,LEO,0.1,0.1,150,same_orbit,42,0,200,1.9
diag,LEO,0.1,0.1,150,same_orbit,31415,0,200,1.7
diag,LEO,0.1,0.1,150,fully_random,42,0,200,1.9
diag,LEO,0.1,0.1,150,fully_random,1337,0,200,1.9
diag,LEO,0.1,0.1,150,fully_random,31415,0,200,1.9
diag,LEO,0.1,0.1,180,same_orbit,42,0,200,1.9
diag,LEO,0.1,0.1,180,same_orbit,1337,0,200,1.8
diag,LEO,0.1,0.1,180,same_orbit,31415,0,200,1.8
diag,LEO,0.1,0.1,180,fully_random,42,0,200,1.9
diag,LEO,0.1,0.1,180,fully_random,1337,0,200,1.9
diag,LEO,0.1,0.1,180,fully_random,31415,0,200,1.9
diag,LEO,0.2,0.2,30,same_orbit,42,0,200,1.8
diag,LEO,0.2,0.2,30,same_orbit,1337,0,200,1.8
diag,LEO,0.2,0.2,30,same_orbit,31415,0,200,1.9
diag,LEO,0.2,0.2,30,fully_random,42,0,200,1.8
diag,LEO,0.2,0.2,30,fully_random,1337,0,200,1.9
diag,LEO,0.2,0.2,30,fully_random,31415,0,200,1.8
diag,LEO,0.2,0.2,90,same_orbit,42,0,200,1.8
diag,LEO,0.2,0.2,90,same_orbit,1337,0,200,1.8
diag,LEO,0.2,0.2,90,same_orbit,31415,0,200,1.8
diag,LEO,0.2,0.2,90,fully_random,42,0,200,1.9
diag,LEO,0.2,0.2,90,fully_random,1337,0,200,1.9
diag,LEO,0.2,0.2,90,fully_random,31415,0,200,1.8
diag,LEO,0.2,0.2,150,same_orbit,42,0,200,1.9
diag,LEO,0.2,0.2,150,same_orbit,1337,0,200,1.8
diag,LEO,0.2,0.2,150,same_orbit,31415,0,200,1.8
diag,LEO,0.2,0.2,150,fully_random,42,0,200,1.8
diag,LEO,0.2,0.2,150,fully_random,1337,0,200,1.8
diag,LEO,0.2,0.2,150,fully_random,31415,0,200,1.8
diag,LEO,0.2,0.2,180,same_orbit,42,0,200,1.7
diag,LEO,0.2,0.2,180,same_orbit,1337,0,200,1.8
diag,LEO,0.2,0.2,180,fully_random,42,0,200,1.8
diag,LEO,0.2,0.2,180,same_orbit,31415,0,200,1.8
diag,LEO,0.2,0.2,180,fully_random,1337,0,200,1.7
diag,LEO,0.2,0.2,180,fully_random,31415,0,200,1.8
diag,LEO,0.3,0.3,30,same_orbit,1337,0,200,1.8
diag,LEO,0.3,0.3,30,same_orbit,42,0,200,1.8
diag,LEO,0.3,0.3,30,same_orbit,31415,0,200,1.8
diag,LEO,0.3,0.3,30,fully_random,42,0,200,1.8
diag,LEO,0.3,0.3,30,fully_random,31415,0,200,1.8
diag,LEO,0.3,0.3,30,fully_random,1337,0,200,1.9
diag,LEO,0.3,0.3,90,same_orbit,42,0,200,1.8
diag,LEO,0.3,0.3,90,same_orbit,1337,0,200,1.8
diag,LEO,0.3,0.3,90,same_orbit,31415,0,200,1.8
diag,LEO,0.3,0.3,90,fully_random,42,0,200,1.9
diag,LEO,0.3,0.3,90,fully_random,1337,0,200,1.9
diag,LEO,0.3,0.3,90,fully_random,31415,0,200,1.9
diag,LEO,0.3,0.3,150,same_orbit,42,0,200,1.8
diag,LEO,0.3,0.3,150,same_orbit,1337,0,200,1.8
diag,LEO,0.3,0.3,150,same_orbit,31415,0,200,1.8
diag,LEO,0.3,0.3,150,fully_random,42,0,200,1.9
diag,LEO,0.3,0.3,150,fully_random,1337,0,200,1.8
diag,LEO,0.3,0.3,150,fully_random,31415,0,200,1.9
diag,LEO,0.3,0.3,180,same_orbit,42,0,200,1.9
diag,LEO,0.3,0.3,180,same_orbit,1337,0,200,1.9
diag,LEO,0.3,0.3,180,same_orbit,31415,0,200,1.8
diag,LEO,0.3,0.3,180,fully_random,42,0,200,1.9
diag,LEO,0.3,0.3,180,fully_random,1337,0,200,1.9
diag,LEO,0.3,0.3,180,fully_random,31415,0,200,1.9
diag,LEO,0.5,0.5,30,same_orbit,42,0,200,1.8
diag,LEO,0.5,0.5,30,same_orbit,1337,0,200,1.9
diag,LEO,0.5,0.5,30,same_orbit,31415,0,200,2.0
diag,LEO,0.5,0.5,30,fully_random,42,0,200,2.0
diag,LEO,0.5,0.5,30,fully_random,1337,0,200,1.9
diag,LEO,0.5,0.5,30,fully_random,31415,0,200,2.0
diag,LEO,0.5,0.5,90,same_orbit,42,0,200,2.0
diag,LEO,0.5,0.5,90,same_orbit,1337,0,200,1.9
diag,LEO,0.5,0.5,90,same_orbit,31415,0,200,1.8
diag,LEO,0.5,0.5,90,fully_random,42,0,200,1.9
diag,LEO,0.5,0.5,90,fully_random,1337,0,200,1.9
diag,LEO,0.5,0.5,90,fully_random,31415,0,200,1.9
diag,LEO,0.5,0.5,150,same_orbit,42,0,200,1.9
diag,LEO,0.5,0.5,150,same_orbit,1337,0,200,1.8
diag,LEO,0.5,0.5,150,same_orbit,31415,0,200,1.9
diag,LEO,0.5,0.5,150,fully_random,42,0,200,1.9
diag,LEO,0.5,0.5,150,fully_random,1337,0,200,2.0
diag,LEO,0.5,0.5,150,fully_random,31415,0,200,1.9
diag,LEO,0.5,0.5,180,same_orbit,42,0,200,1.9
diag,LEO,0.5,0.5,180,same_orbit,1337,0,200,1.9
diag,LEO,0.5,0.5,180,same_orbit,31415,0,200,1.9
diag,LEO,0.5,0.5,180,fully_random,42,0,200,2.0
diag,LEO,0.5,0.5,180,fully_random,1337,0,200,2.0
diag,LEO,0.5,0.5,180,fully_random,31415,0,200,1.9
diag,MEO_low,0.0,0.0,30,same_orbit,42,115,200,4.7
diag,MEO_low,0.0,0.0,30,same_orbit,1337,118,200,4.6
diag,MEO_low,0.0,0.0,30,same_orbit,31415,111,200,4.8
diag,MEO_low,0.0,0.0,30,fully_random,42,10,200,5.8
diag,MEO_low,0.0,0.0,30,fully_random,1337,10,200,5.9
diag,MEO_low,0.0,0.0,30,fully_random,31415,8,200,5.8
diag,MEO_low,0.0,0.0,90,same_orbit,42,23,200,6.2
diag,MEO_low,0.0,0.0,90,same_orbit,1337,31,200,6.3
diag,MEO_low,0.0,0.0,90,same_orbit,31415,27,200,6.1
diag,MEO_low,0.0,0.0,90,fully_random,42,7,200,6.1
diag,MEO_low,0.0,0.0,90,fully_random,1337,8,200,6.0
diag,MEO_low,0.0,0.0,90,fully_random,31415,9,200,5.8
diag,MEO_low,0.0,0.0,150,same_orbit,42,64,200,5.7
diag,MEO_low,0.0,0.0,150,same_orbit,1337,61,200,5.8
diag,MEO_low,0.0,0.0,150,same_orbit,31415,63,200,5.8
