kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,phys_n,phys_total,causes,wall_s
diag,LEO,0.0,0.0,30,same_orbit,1337,200,200,200,200,success=200,2.7
diag,LEO,0.0,0.0,30,same_orbit,42,200,200,200,200,success=200,2.7
diag,LEO,0.0,0.0,30,same_orbit,31415,200,200,200,200,success=200,2.7
diag,LEO,0.0,0.0,30,fully_random,42,190,200,190,200,"success=190, safety_cap=10",4.2
diag,LEO,0.0,0.0,30,fully_random,31415,188,200,188,200,"success=188, safety_cap=12",3.9
diag,LEO,0.0,0.0,30,fully_random,1337,189,200,189,200,"success=189, safety_cap=11",4.1
diag,LEO,0.0,0.0,90,same_orbit,42,186,200,186,200,"success=186, safety_cap=14",7.0
diag,LEO,0.0,0.0,90,same_orbit,1337,193,200,193,200,"success=193, safety_cap=7",6.1
diag,LEO,0.0,0.0,90,fully_random,42,193,200,193,200,"success=193, safety_cap=7",4.4
diag,LEO,0.0,0.0,90,same_orbit,31415,193,200,193,200,"success=193, safety_cap=7",6.2
diag,LEO,0.0,0.0,90,fully_random,1337,194,200,194,200,"success=194, safety_cap=6",4.3
diag,LEO,0.0,0.0,90,fully_random,31415,197,200,197,200,"success=197, safety_cap=3",4.2
diag,LEO,0.0,0.0,150,same_orbit,42,200,200,200,200,success=200,4.9
diag,LEO,0.0,0.0,150,same_orbit,1337,199,200,199,200,"success=199, safety_cap=1",4.8
diag,LEO,0.0,0.0,150,fully_random,42,195,200,195,200,"success=195, safety_cap=5",4.2
diag,LEO,0.0,0.0,150,same_orbit,31415,200,200,200,200,success=200,4.7
diag,LEO,0.0,0.0,150,fully_random,1337,193,200,193,200,"success=193, safety_cap=7",4.2
diag,LEO,0.0,0.0,150,fully_random,31415,195,200,195,200,"success=195, safety_cap=5",4.2
diag,LEO,0.0,0.0,180,same_orbit,42,200,200,200,200,success=200,4.4
diag,LEO,0.0,0.0,180,same_orbit,1337,200,200,200,200,success=200,4.4
diag,LEO,0.0,0.0,180,same_orbit,31415,200,200,200,200,success=200,4.4
diag,LEO,0.0,0.0,180,fully_random,42,195,200,195,200,"success=195, safety_cap=5",4.2
diag,LEO,0.05,0.05,30,same_orbit,42,200,200,200,200,success=200,1.8
diag,LEO,0.0,0.0,180,fully_random,31415,195,200,195,200,"success=195, safety_cap=5",4.4
diag,LEO,0.0,0.0,180,fully_random,1337,192,200,192,200,"success=192, safety_cap=8",4.4
