seed,e_fixed,phase_gap_deg,relation,success_n,total,wall_s
seed42,0.0,30,fully_random,80,100,2.9
seed42,0.0,30,same_orbit_init,100,100,1.9
seed42,0.0,90,fully_random,88,100,3.4
seed42,0.0,90,same_orbit_init,99,100,2.4
seed42,0.0,150,fully_random,92,100,3.1
seed42,0.0,150,same_orbit_init,1,100,3.9
seed42,0.0,180,fully_random,92,100,2.7
seed42,0.0,180,same_orbit_init,22,100,3.6
seed42,0.05,30,fully_random,8,100,4.0
seed42,0.05,30,same_orbit_init,51,100,3.8
seed42,0.05,90,fully_random,4,100,4.3
seed42,0.05,90,same_orbit_init,34,100,5.4
seed42,0.05,150,fully_random,7,100,4.3
seed42,0.05,150,same_orbit_init,32,100,4.7
seed42,0.05,180,fully_random,8,100,4.2
seed42,0.05,180,same_orbit_init,29,100,4.5
seed42,0.1,30,fully_random,1,100,4.3
seed42,0.1,30,same_orbit_init,34,100,4.1
seed42,0.1,90,fully_random,1,100,4.5
seed42,0.1,90,same_orbit_init,20,100,5.6
seed42,0.1,150,fully_random,0,100,4.3
seed42,0.1,150,same_orbit_init,19,100,5.3
seed42,0.1,180,fully_random,1,100,4.4
seed42,0.1,180,same_orbit_init,13,100,5.7
seed42,0.2,30,fully_random,0,100,4.1
seed42,0.2,30,same_orbit_init,9,100,5.6
seed42,0.2,90,fully_random,0,100,4.2
seed42,0.2,90,same_orbit_init,5,100,6.2
seed42,0.2,150,fully_random,0,100,4.3
seed42,0.2,150,same_orbit_init,2,100,6.6
seed42,0.2,180,fully_random,0,100,4.3
seed42,0.2,180,same_orbit_init,2,100,6.5
seed42,0.5,30,fully_random,0,100,4.7
seed42,0.5,30,same_orbit_init,0,100,6.7
seed42,0.5,90,fully_random,0,100,4.6
seed42,0.5,90,same_orbit_init,0,100,6.5
seed42,0.5,150,fully_random,0,100,4.6
seed42,0.5,150,same_orbit_init,0,100,7.7
seed42,0.5,180,fully_random,0,100,4.7
seed42,0.5,180,same_orbit_init,0,100,7.5
seed42,0.7,30,fully_random,13,100,5.1
seed42,0.7,30,same_orbit_init,0,100,7.3
seed42,0.7,90,fully_random,13,100,5.0
seed42,0.7,90,same_orbit_init,0,100,7.1
seed42,0.7,150,fully_random,13,100,5.0
seed42,0.7,150,same_orbit_init,0,100,8.2
seed42,0.7,180,fully_random,13,100,4.8
seed42,0.7,180,same_orbit_init,0,100,8.6
seedA,0.0,30,fully_random,79,100,2.8
seedA,0.0,30,same_orbit_init,100,100,1.6
seedA,0.0,90,fully_random,98,100,2.8
seedA,0.0,90,same_orbit_init,100,100,3.5
seedA,0.0,150,fully_random,98,100,2.6
seedA,0.0,150,same_orbit_init,100,100,3.2
seedA,0.0,180,fully_random,98,100,2.7
seedA,0.0,180,same_orbit_init,100,100,3.1
seedA,0.05,30,fully_random,4,100,3.9
seedA,0.05,30,same_orbit_init,60,100,2.7
seedA,0.05,90,fully_random,3,100,3.8
seedA,0.05,90,same_orbit_init,21,100,3.8
seedA,0.05,150,fully_random,3,100,3.9
seedA,0.05,150,same_orbit_init,42,100,3.9
seedA,0.05,180,fully_random,5,100,4.0
seedA,0.05,180,same_orbit_init,47,100,3.5
seedA,0.1,30,fully_random,2,100,3.8
seedA,0.1,30,same_orbit_init,40,100,3.1
seedA,0.1,90,fully_random,1,100,3.7
seedA,0.1,90,same_orbit_init,4,100,3.9
seedA,0.1,150,fully_random,0,100,4.1
seedA,0.1,150,same_orbit_init,13,100,4.0
seedA,0.1,180,fully_random,0,100,4.0
seedA,0.1,180,same_orbit_init,19,100,3.8
seedA,0.2,30,fully_random,0,100,3.9
seedA,0.2,30,same_orbit_init,4,100,3.8
seedA,0.2,90,fully_random,0,100,3.8
seedA,0.2,90,same_orbit_init,0,100,3.8
seedA,0.2,150,fully_random,0,100,3.8
seedA,0.2,150,same_orbit_init,0,100,3.7
seedA,0.2,180,fully_random,0,100,3.8
seedA,0.2,180,same_orbit_init,0,100,3.8
seedA,0.5,30,fully_random,0,100,3.8
seedA,0.5,30,same_orbit_init,0,100,3.8
seedA,0.5,90,fully_random,0,100,3.7
seedA,0.5,90,same_orbit_init,0,100,3.8
seedA,0.5,150,fully_random,0,100,3.9
seedA,0.5,150,same_orbit_init,0,100,3.7
seedA,0.5,180,fully_random,0,100,3.9
seedA,0.5,180,same_orbit_init,0,100,3.9
seedA,0.7,30,fully_random,13,100,3.8
seedA,0.7,30,same_orbit_init,0,100,4.1
seedA,0.7,90,fully_random,13,100,4.0
seedA,0.7,90,same_orbit_init,0,100,3.9
seedA,0.7,150,fully_random,13,100,4.0
seedA,0.7,150,same_orbit_init,0,100,3.7
seedA,0.7,180,fully_random,13,100,3.9
seedA,0.7,180,same_orbit_init,0,100,4.0
seedB,0.0,30,fully_random,86,100,2.7
seedB,0.0,30,same_orbit_init,100,100,1.7
seedB,0.0,90,fully_random,66,100,3.3
seedB,0.0,90,same_orbit_init,100,100,2.3
seedB,0.0,150,fully_random,75,100,3.3
seedB,0.0,150,same_orbit_init,96,100,2.8
seedB,0.0,180,fully_random,91,100,3.2
seedB,0.0,180,same_orbit_init,100,100,3.2
seedB,0.05,30,fully_random,7,100,3.9
seedB,0.05,30,same_orbit_init,60,100,4.0
seedB,0.05,90,fully_random,5,100,3.9
seedB,0.05,90,same_orbit_init,57,100,3.9
seedB,0.05,150,fully_random,7,100,4.0
seedB,0.05,150,same_orbit_init,47,100,3.3
seedB,0.05,180,fully_random,6,100,4.0
seedB,0.05,180,same_orbit_init,50,100,3.6
seedB,0.1,30,fully_random,2,100,4.3
seedB,0.1,30,same_orbit_init,50,100,5.3
seedB,0.1,90,fully_random,1,100,4.2
seedB,0.1,90,same_orbit_init,54,100,4.6
seedB,0.1,150,fully_random,1,100,4.3
seedB,0.1,150,same_orbit_init,7,100,3.8
seedB,0.1,180,fully_random,1,100,4.3
seedB,0.1,180,same_orbit_init,18,100,3.6
seedB,0.2,30,fully_random,0,100,4.8
seedB,0.2,30,same_orbit_init,8,100,8.4
seedB,0.2,90,fully_random,0,100,4.6
seedB,0.2,90,same_orbit_init,9,100,7.6
seedB,0.2,150,fully_random,0,100,4.5
seedB,0.2,150,same_orbit_init,0,100,4.9
seedB,0.2,180,fully_random,1,100,4.7
seedB,0.2,180,same_orbit_init,14,100,7.8
seedB,0.5,30,fully_random,0,100,5.7
seedB,0.5,30,same_orbit_init,0,100,11.3
seedB,0.5,90,fully_random,0,100,6.0
seedB,0.5,90,same_orbit_init,0,100,10.2
seedB,0.5,150,fully_random,0,100,5.8
seedB,0.5,150,same_orbit_init,1,100,10.5
seedB,0.5,180,fully_random,0,100,6.0
seedB,0.5,180,same_orbit_init,1,100,10.9
seedB,0.7,30,fully_random,13,100,6.3
seedB,0.7,30,same_orbit_init,0,100,11.2
seedB,0.7,90,fully_random,13,100,6.4
seedB,0.7,90,same_orbit_init,0,100,11.6
seedB,0.7,150,fully_random,13,100,6.6
seedB,0.7,150,same_orbit_init,0,100,11.1
seedB,0.7,180,fully_random,13,100,6.9
seedB,0.7,180,same_orbit_init,0,100,11.8
seedC,0.0,30,fully_random,93,100,2.1
seedC,0.0,30,same_orbit_init,100,100,2.1
seedC,0.0,90,fully_random,97,100,3.0
seedC,0.0,90,same_orbit_init,100,100,2.2
seedC,0.0,150,fully_random,97,100,2.8
seedC,0.0,150,same_orbit_init,100,100,3.1
seedC,0.0,180,fully_random,96,100,2.9
seedC,0.0,180,same_orbit_init,100,100,3.2
seedC,0.05,30,fully_random,5,100,3.9
seedC,0.05,30,same_orbit_init,62,100,2.7
