e_fixed,phase_gap_deg,relation,n_seeds,mean_pct,std_pct,min_pct,max_pct
0,30,fully_random,5,84.6,5.004,79,93
0,30,same_orbit_init,5,100,0,100,100
0,90,fully_random,5,87.4,11.52,66,98
0,90,same_orbit_init,5,97.6,4.317,89,100
0,150,fully_random,5,91.4,8.452,75,98
0,150,same_orbit_init,5,75.4,37.92,1,100
0,180,fully_random,5,93.4,3.072,90,98
0,180,same_orbit_init,5,76.2,31.41,22,100
0.05,30,fully_random,5,5.8,1.47,4,8
0.05,30,same_orbit_init,5,58.4,3.826,51,62
0.05,90,fully_random,5,5,1.414,3,7
0.05,90,same_orbit_init,5,40.8,12.54,21,57
0.05,150,fully_random,5,5.6,2.154,3,8
0.05,150,same_orbit_init,5,30,13.58,13,47
0.05,180,fully_random,5,5.6,1.625,3,8
0.05,180,same_orbit_init,5,36.6,10.17,24,50
0.1,30,fully_random,5,1,0.8944,0,2
0.1,30,same_orbit_init,5,38,6.542,33,50
0.1,90,fully_random,5,0.6,0.4899,0,1
0.1,90,same_orbit_init,5,24.6,16.24,4,54
0.1,150,fully_random,5,0.2,0.4,0,1
0.1,150,same_orbit_init,5,14.2,8.612,4,28
0.1,180,fully_random,5,0.4,0.4899,0,1
0.1,180,same_orbit_init,5,24.6,9.972,13,38
0.2,30,fully_random,5,0,0,0,0
0.2,30,same_orbit_init,5,11.4,8.015,4,27
0.2,90,fully_random,5,0,0,0,0
0.2,90,same_orbit_init,5,6.8,7.414,0,20
0.2,150,fully_random,5,0,0,0,0
0.2,150,same_orbit_init,5,0.8,0.7483,0,2
0.2,180,fully_random,5,0.2,0.4,0,1
0.2,180,same_orbit_init,5,7,5.292,0,14
0.5,30,fully_random,5,0,0,0,0
0.5,30,same_orbit_init,5,0,0,0,0
0.5,90,fully_random,5,0,0,0,0
0.5,90,same_orbit_init,5,0,0,0,0
0.5,150,fully_random,5,0,0,0,0
0.5,150,same_orbit_init,5,0.2,0.4,0,1
0.5,180,fully_random,5,0,0,0,0
0.5,180,same_orbit_init,5,0.6,0.8,0,2
0.7,30,fully_random,5,13,0,13,13
0.7,30,same_orbit_init,5,0,0,0,0
0.7,90,fully_random,5,13,0,13,13
0.7,90,same_orbit_init,5,0,0,0,0
0.7,150,fully_random,5,13,0,13,13
0.7,150,same_orbit_init,5,0,0,0,0
0.7,180,fully_random,5,13,0,13,13
0.7,180,same_orbit_init,5,0,0,0,0
