seed,e_fixed,phase_gap_deg,success_n,total
seed42,0.0,30,80,100
seed42,0.0,90,88,100
seed42,0.0,150,92,100
seed42,0.0,180,92,100
seed42,0.01,30,96,100
seed42,0.01,90,95,100
seed42,0.01,150,95,100
seed42,0.01,180,95,100
seed42,0.025,30,99,100
seed42,0.025,90,99,100
seed42,0.025,150,98,100
seed42,0.025,180,99,100
seed42,0.05,30,88,100
seed42,0.05,90,91,100
seed42,0.05,150,91,100
seed42,0.05,180,90,100
seed42,0.075,30,15,100
seed42,0.075,90,14,100
seed42,0.075,150,14,100
seed42,0.075,180,14,100
seed42,0.1,30,1,100
seed42,0.1,90,0,100
seed42,0.1,150,0,100
seed42,0.1,180,0,100
seedA,0.0,30,79,100
seedA,0.0,90,98,100
seedA,0.0,150,98,100
seedA,0.0,180,98,100
seedA,0.01,30,100,100
seedA,0.01,90,99,100
seedA,0.01,150,98,100
seedA,0.01,180,99,100
seedA,0.025,30,100,100
seedA,0.025,90,99,100
seedA,0.025,150,100,100
seedA,0.025,180,100,100
seedA,0.05,30,82,100
seedA,0.05,90,82,100
seedA,0.05,150,83,100
seedA,0.05,180,83,100
seedA,0.075,30,16,100
seedA,0.075,90,11,100
seedA,0.075,150,14,100
seedA,0.075,180,14,100
seedA,0.1,30,3,100
seedA,0.1,90,0,100
seedA,0.1,150,0,100
seedA,0.1,180,0,100
seedB,0.0,30,86,100
seedB,0.0,90,66,100
seedB,0.0,150,75,100
seedB,0.0,180,91,100
seedB,0.01,30,93,100
seedB,0.01,90,91,100
seedB,0.01,150,90,100
seedB,0.01,180,92,100
seedB,0.025,30,92,100
seedB,0.025,90,92,100
seedB,0.025,150,92,100
seedB,0.025,180,94,100
seedB,0.05,30,86,100
seedB,0.05,90,80,100
seedB,0.05,150,77,100
seedB,0.05,180,77,100
seedB,0.075,30,22,100
seedB,0.075,90,18,100
seedB,0.075,150,17,100
seedB,0.075,180,20,100
seedB,0.1,30,5,100
seedB,0.1,90,0,100
seedB,0.1,150,0,100
seedB,0.1,180,1,100
seedC,0.0,30,93,100
seedC,0.0,90,97,100
seedC,0.0,150,97,100
seedC,0.0,180,96,100
seedC,0.01,30,95,100
seedC,0.01,90,96,100
seedC,0.01,150,94,100
seedC,0.01,180,94,100
seedC,0.025,30,99,100
seedC,0.025,90,97,100
seedC,0.025,150,98,100
seedC,0.025,180,99,100
seedC,0.05,30,92,100
seedC,0.05,90,89,100
seedC,0.05,150,87,100
seedC,0.05,180,90,100
seedC,0.075,30,14,100
seedC,0.075,90,14,100
seedC,0.075,150,14,100
seedC,0.075,180,10,100
seedC,0.1,30,1,100
seedC,0.1,90,0,100
seedC,0.1,150,0,100
seedC,0.1,180,0,100
seedD,0.0,30,85,100
seedD,0.0,90,88,100
seedD,0.0,150,95,100
seedD,0.0,180,90,100
seedD,0.01,30,94,100
seedD,0.01,90,95,100
seedD,0.01,150,91,100
seedD,0.01,180,91,100
seedD,0.025,30,99,100
seedD,0.025,90,99,100
seedD,0.025,150,98,100
seedD,0.025,180,95,100
seedD,0.05,30,87,100
seedD,0.05,90,86,100
seedD,0.05,150,81,100
seedD,0.05,180,83,100
seedD,0.075,30,15,100
seedD,0.075,90,12,100
seedD,0.075,150,9,100
seedD,0.075,180,9,100
seedD,0.1,30,0,100
seedD,0.1,90,0,100
seedD,0.1,150,0,100
seedD,0.1,180,0,100
