gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.995,30.0,50.0,coast-only (tau=1),799,795,0.18223908064989014,0.018223908064989015,0.1859298816493647,0.01859298816493647,0,1
0.995,30.0,50.0,legacy D10 (warp-5min),167,795,4.329666890532575,0.4329666890532575,0.1859298816493647,0.01859298816493647,1,1
0.995,30.0,50.0,D16 (warp 5/30min),37,795,8.307187014821327,0.8307187014821328,0.1859298816493647,0.01859298816493647,1,1
0.995,30.0,50.0,D16 (warp 5/30/60min),25,795,8.822202429488012,0.8822202429488012,0.1859298816493647,0.01859298816493647,1,1
0.995,30.0,100.0,coast-only (tau=1),454,449,1.027255933745512,0.10272559337455121,1.053327092659341,0.1053327092659341,1,1
0.995,30.0,100.0,legacy D10 (warp-5min),102,449,5.99727876386733,0.599727876386733,1.053327092659341,0.1053327092659341,1,1
0.995,30.0,100.0,D16 (warp 5/30min),32,449,8.518018596003468,0.8518018596003469,1.053327092659341,0.1053327092659341,1,1
0.995,30.0,100.0,D16 (warp 5/30/60min),26,449,8.778091417340573,0.8778091417340572,1.053327092659341,0.1053327092659341,1,1
0.995,30.0,200.0,coast-only (tau=1),287,277,2.3725980767521664,0.23725980767521665,2.49455662467844,0.249455662467844,1,1
0.995,30.0,200.0,legacy D10 (warp-5min),67,277,7.147372386831305,0.7147372386831304,2.49455662467844,0.249455662467844,1,1
0.995,30.0,200.0,D16 (warp 5/30min),22,277,8.955869907338784,0.8955869907338783,2.49455662467844,0.249455662467844,1,1
0.995,30.0,200.0,D16 (warp 5/30/60min),18,277,9.137248860125931,0.9137248860125932,2.49455662467844,0.249455662467844,1,1
0.995,30.0,340.0,coast-only (tau=1),224,208,3.2536444083941913,0.3253644408394191,3.52533826617924,0.352533826617924,1,1
0.995,30.0,340.0,legacy D10 (warp-5min),64,208,7.255664080186092,0.7255664080186092,3.52533826617924,0.352533826617924,1,1
0.995,30.0,340.0,D16 (warp 5/30min),34,208,8.433051360508335,0.8433051360508335,3.52533826617924,0.352533826617924,1,1
0.995,30.0,340.0,D16 (warp 5/30/60min),32,208,8.518018596003468,0.8518018596003469,3.52533826617924,0.352533826617924,1,1
0.995,90.0,50.0,coast-only (tau=1),2202,2198,0.00016085101365235087,1.6085101365235087e-05,0.0001641086523533226,1.6410865235332258e-05,0,0
0.995,90.0,50.0,legacy D10 (warp-5min),446,2198,1.0692863247165258,0.10692863247165259,0.0001641086523533226,1.6410865235332258e-05,1,1
0.995,90.0,50.0,D16 (warp 5/30min),81,2198,6.662995813682113,0.6662995813682113,0.0001641086523533226,1.6410865235332258e-05,1,1
0.995,90.0,50.0,D16 (warp 5/30/60min),45,2198,7.980656776819048,0.7980656776819048,0.0001641086523533226,1.6410865235332258e-05,1,1
0.995,90.0,100.0,coast-only (tau=1),1162,1157,0.029540634996138865,0.0029540634996138865,0.030290359153576103,0.0030290359153576103,0,0
0.995,90.0,100.0,legacy D10 (warp-5min),242,1157,2.972935866185493,0.2972935866185493,0.030290359153576103,0.0030290359153576103,1,1
0.995,90.0,100.0,D16 (warp 5/30min),52,1157,7.7054888931188215,0.7705488893118821,0.030290359153576103,0.0030290359153576103,1,1
0.995,90.0,100.0,D16 (warp 5/30/60min),34,1157,8.433051360508335,0.8433051360508335,0.030290359153576103,0.0030290359153576103,1,1
0.995,90.0,200.0,coast-only (tau=1),648,637,0.38846896028887273,0.03884689602888727,0.4104898613852035,0.04104898613852035,0,1
0.995,90.0,200.0,legacy D10 (warp-5min),140,637,4.9571413690105075,0.4957141369010507,0.4104898613852035,0.04104898613852035,1,1
0.995,90.0,200.0,D16 (warp 5/30min),35,637,8.390886103705792,0.8390886103705792,0.4104898613852035,0.04104898613852035,1,1
0.995,90.0,200.0,D16 (warp 5/30/60min),25,637,8.822202429488012,0.8822202429488012,0.4104898613852035,0.04104898613852035,1,1
0.995,90.0,340.0,coast-only (tau=1),441,426,1.096424190539723,0.10964241905397229,1.1820406108847166,0.11820406108847166,1,1
0.995,90.0,340.0,legacy D10 (warp-5min),105,426,5.907768628656765,0.5907768628656764,1.1820406108847166,0.11820406108847166,1,1
0.995,90.0,340.0,D16 (warp 5/30min),40,426,8.183201210226743,0.8183201210226743,1.1820406108847166,0.11820406108847166,1,1
0.995,90.0,340.0,D16 (warp 5/30/60min),34,426,8.433051360508335,0.8433051360508335,1.1820406108847166,0.11820406108847166,1,1
0.995,180.0,50.0,coast-only (tau=1),4307,4304,4.207351262675467e-09,4.2073512626754674e-10,4.271097933215957e-09,4.2710979332159574e-10,0,0
0.995,180.0,50.0,legacy D10 (warp-5min),867,4304,0.1296017919974355,0.01296017919974355,4.271097933215957e-09,4.2710979332159574e-10,0,1
0.995,180.0,50.0,D16 (warp 5/30min),152,4304,4.667757370159045,0.46677573701590447,4.271097933215957e-09,4.2710979332159574e-10,1,1
0.995,180.0,50.0,D16 (warp 5/30/60min),81,4304,6.662995813682113,0.6662995813682113,4.271097933215957e-09,4.2710979332159574e-10,1,1
0.995,180.0,100.0,coast-only (tau=1),2224,2219,0.00014405607527340287,1.4405607527340288e-05,0.0001477121347884466,1.477121347884466e-05,0,0
