da_km,gamma,warpset,tau_used,decisions_to_cap,Phi_magnitude,undiscounted_leak,timeout_return,FLAG_leak_flips_timeout_positive
50,0.995,coast-only (tau=1),1,2000,0.05,0.5000000000000004,-9.5,0
50,0.995,legacy D10 (warp-5min),5,400,0.05,0.49502493756250043,-9.504975062437499,0
50,0.995,D16 (warp 5/30min),30,66,0.05,0.460732166681503,-9.539267833318497,0
50,0.995,D16 (warp 5/30/60min),60,33,0.05,0.42856941980043756,-9.571430580199562,0
50,0.997,coast-only (tau=1),1,2000,0.05,0.3000000000000003,-9.7,0
50,0.997,legacy D10 (warp-5min),5,400,0.05,0.29820539190485995,-9.70179460809514,0
50,0.997,D16 (warp 5/30min),30,66,0.05,0.2844350335051839,-9.715564966494815,0
50,0.997,D16 (warp 5/30/60min),60,33,0.05,0.27217695952259385,-9.727823040477405,0
50,0.999,coast-only (tau=1),1,2000,0.05,0.1000000000000001,-9.9,0
50,0.999,legacy D10 (warp-5min),5,400,0.05,0.09980019990001976,-9.90019980009998,0
50,0.999,D16 (warp 5/30min),30,66,0.05,0.09757780803181702,-9.902422191968183,0
50,0.999,D16 (warp 5/30/60min),60,33,0.05,0.09613516733177249,-9.903864832668228,0
167,0.995,coast-only (tau=1),1,2000,0.167,1.6700000000000015,-8.329999999999998,0
167,0.995,legacy D10 (warp-5min),5,400,0.167,1.6533832914587516,-8.346616708541248,0
167,0.995,D16 (warp 5/30min),30,66,0.167,1.53884543671622,-8.46115456328378,0
167,0.995,D16 (warp 5/30/60min),60,33,0.167,1.4314218621334613,-8.568578137866538,0
167,0.997,coast-only (tau=1),1,2000,0.167,1.002000000000001,-8.998,0
167,0.997,legacy D10 (warp-5min),5,400,0.167,0.9960060089622323,-9.003993991037767,0
167,0.997,D16 (warp 5/30min),30,66,0.167,0.9500130119073142,-9.049986988092686,0
167,0.997,D16 (warp 5/30/60min),60,33,0.167,0.9090710448054634,-9.090928955194537,0
167,0.999,coast-only (tau=1),1,2000,0.167,0.3340000000000003,-9.666,0
167,0.999,legacy D10 (warp-5min),5,400,0.167,0.333332667666066,-9.666667332333933,0
167,0.999,D16 (warp 5/30min),30,66,0.167,0.3259098788262688,-9.674090121173732,0
167,0.999,D16 (warp 5/30/60min),60,33,0.167,0.3210914588881201,-9.67890854111188,0
500,0.995,coast-only (tau=1),1,2000,0.5,5.000000000000004,-4.999999999999996,0
500,0.995,legacy D10 (warp-5min),5,400,0.5,4.950249375625004,-5.049750624374996,0
500,0.995,D16 (warp 5/30min),30,66,0.5,4.60732166681503,-5.39267833318497,0
500,0.995,D16 (warp 5/30/60min),60,33,0.5,4.285694198004375,-5.714305801995625,0
500,0.997,coast-only (tau=1),1,2000,0.5,3.0000000000000027,-6.999999999999997,0
500,0.997,legacy D10 (warp-5min),5,400,0.5,2.9820539190485995,-7.0179460809514005,0
500,0.997,D16 (warp 5/30min),30,66,0.5,2.844350335051839,-7.155649664948161,0
500,0.997,D16 (warp 5/30/60min),60,33,0.5,2.721769595225938,-7.278230404774062,0
500,0.999,coast-only (tau=1),1,2000,0.5,1.0000000000000009,-9.0,0
500,0.999,legacy D10 (warp-5min),5,400,0.5,0.9980019990001976,-9.001998000999802,0
500,0.999,D16 (warp 5/30min),30,66,0.5,0.9757780803181701,-9.02422191968183,0
500,0.999,D16 (warp 5/30/60min),60,33,0.5,0.9613516733177248,-9.038648326682274,0
1000,0.995,coast-only (tau=1),1,2000,1.0,10.000000000000009,8.881784197001252e-15,1
1000,0.995,legacy D10 (warp-5min),5,400,1.0,9.900498751250009,-0.09950124874999133,0
1000,0.995,D16 (warp 5/30min),30,66,1.0,9.21464333363006,-0.7853566663699407,0
1000,0.995,D16 (warp 5/30/60min),60,33,1.0,8.57138839600875,-1.42861160399125,0
1000,0.997,coast-only (tau=1),1,2000,1.0,6.000000000000005,-3.9999999999999947,0
1000,0.997,legacy D10 (warp-5min),5,400,1.0,5.964107838097199,-4.035892161902801,0
1000,0.997,D16 (warp 5/30min),30,66,1.0,5.688700670103678,-4.311299329896322,0
1000,0.997,D16 (warp 5/30/60min),60,33,1.0,5.443539190451876,-4.556460809548124,0
1000,0.999,coast-only (tau=1),1,2000,1.0,2.0000000000000018,-7.999999999999998,0
1000,0.999,legacy D10 (warp-5min),5,400,1.0,1.9960039980003952,-8.003996001999605,0
1000,0.999,D16 (warp 5/30min),30,66,1.0,1.9515561606363403,-8.04844383936366,0
1000,0.999,D16 (warp 5/30/60min),60,33,1.0,1.9227033466354495,-8.07729665336455,0
5000,0.995,coast-only (tau=1),1,2000,5.0,50.00000000000004,40.00000000000004,1
5000,0.995,legacy D10 (warp-5min),5,400,5.0,49.50249375625005,39.50249375625005,1
5000,0.995,D16 (warp 5/30min),30,66,5.0,46.0732166681503,36.0732166681503,1
5000,0.995,D16 (warp 5/30/60min),60,33,5.0,42.85694198004375,32.85694198004375,1
5000,0.997,coast-only (tau=1),1,2000,5.0,30.00000000000003,20.00000000000003,1
5000,0.997,legacy D10 (warp-5min),5,400,5.0,29.820539190485995,19.820539190485995,1
5000,0.997,D16 (warp 5/30min),30,66,5.0,28.44350335051839,18.44350335051839,1
5000,0.997,D16 (warp 5/30/60min),60,33,5.0,27.21769595225938,17.21769595225938,1
